merged,gen,predicted.value,weight
ID_2019_1,1,33.4532576001,1.381122552
ID_2019_1,2,30.5878339974,1.3860755114
ID_2019_1,3,25.2725019221,1.3856522291
ID_2019_1,4,28.6187370799,1.6343112022
ID_2019_1,5,33.509766729,1.3860477999
ID_2019_1,6,26.1392914863,1.3819085414
ID_2019_1,7,22.1093328061,1.3859817349
ID_2019_1,8,25.959230995,1.6341695998
ID_2019_1,9,28.2844499294,1.6343104295
ID_2019_1,10,28.9682602729,1.3860778339
ID_2019_1,11,26.676241887,1.3860771786
ID_2019_1,12,26.2444235899,1.6343109842
ID_2019_1,13,29.2483976467,1.6334467171
ID_2019_1,14,31.1077430507,1.3860477999
ID_2019_1,15,24.6000536794,1.6329240419
ID_2019_1,16,25.4432818233,1.3860761134
ID_2019_1,17,27.8870569656,1.6333779937
ID_2019_1,18,33.9707965518,1.3860700059
ID_2019_1,19,28.535724318,1.3819686006
ID_2019_1,20,31.7073999232,1.3860771786
ID_2019_1,21,28.2259854454,1.6269909156
ID_2019_1,22,35.1527930814,1.625478553
ID_2019_1,23,30.7407112047,1.3796254446
ID_2019_1,24,28.6331814196,1.6343085978
ID_2019_1,25,26.214628286,1.6343085978
ID_2019_1,26,28.2291373683,1.6341695998
ID_2019_1,27,28.9987223628,1.3860477999
ID_2019_1,28,22.6337136172,1.6343009262
ID_2019_1,29,30.2660610543,1.3860583068
ID_2019_1,30,27.6407819357,1.628186311
ID_2019_1,31,28.3103530497,1.6343085978
ID_2019_1,32,28.3324110322,0.8739422614
ID_2019_1,33,28.3746127666,1.386046948
ID_2019_1,34,35.1922879987,1.3796254446
ID_2019_1,35,28.9446798665,1.6326625363
ID_2019_1,36,23.9621757853,1.3859817349
ID_2019_1,37,31.8599523178,1.3860771785
ID_2019_1,38,31.8422435111,1.6343012096
ID_2019_1,39,33.8721361366,1.3859873262
ID_2019_1,40,21.932865631,1.3860761134
ID_2019_1,41,29.304783826,1.6343047054
ID_2019_1,42,31.5268194656,1.6343112022
ID_2019_1,43,23.3097209706,1.6343106298
ID_2019_1,44,28.02611093,1.3827484497
ID_2019_1,45,26.2724647218,1.6343109842
ID_2019_1,46,32.452720172,1.3860771786
ID_2019_1,47,25.8505013372,1.6272655519
ID_2019_1,48,27.0772011236,1.3860761134
ID_2019_1,49,30.557621397,1.6329440242
ID_2019_1,50,25.7098254404,1.0305773855
ID_2019_1,51,27.1092876971,1.6332034868
ID_2019_1,52,29.6798736174,1.6343109842
ID_2019_1,53,31.9217809784,1.3860477999
ID_2019_1,54,20.0358156265,1.3819085414
ID_2019_1,55,33.2779358812,1.3860700059
ID_2019_1,56,33.5300733825,1.6321644355
ID_2019_1,57,22.8833882476,1.3649012061
ID_2019_1,58,27.8612870054,1.3819686343
ID_2019_1,59,26.8611587271,1.3860755114
ID_2019_1,60,29.2302417469,1.6328445264
ID_2019_1,61,27.9196819474,1.625478553
ID_2019_1,62,32.7176676994,1.6329440354
ID_2019_1,63,28.8977608375,1.6343104295
ID_2019_1,64,25.5838158891,1.6343112022
ID_2019_1,65,27.9510032465,1.626076436
ID_2019_1,66,26.7428260974,1.6343009262
ID_2019_1,67,23.5566146433,1.0305773855
ID_2019_1,68,31.2778991039,1.386046948
ID_2019_1,69,30.1749932758,1.3860778339
ID_2019_1,70,31.0500999631,1.3860477999
ID_2019_1,71,26.983476665,1.6342792293
ID_2019_1,72,31.2847974278,1.3860761134
ID_2019_1,73,24.7279183393,1.6343104295
