gen,ST0_MS_ID_2018_1,ST0_MS_ID_2019_1,ST0_MS_OR_2018_1,ST0_MS_OR_2019_1,ST0_MS_OR_2020_1,ST0_MS_WA_2018_1,ST0_MS_WA_2019_1,ST0_MS_WA_2019_2,ST0_MS_WA_2020_1,ST0_MS_WA_2020_2,ST0_MS_WA_2020_3,ST0_MS_WA_2020_4,ST0_MS_WA_2020_5,ST1_MS_ID_2018_1,ST1_MS_ID_2019_1,ST1_MS_OR_2018_1,ST1_MS_OR_2019_1,ST1_MS_OR_2020_1,ST1_MS_WA_2018_1,ST1_MS_WA_2019_1,ST1_MS_WA_2019_2,ST1_MS_WA_2020_1,ST1_MS_WA_2020_2,ST1_MS_WA_2020_3,ST1_MS_WA_2020_4,ST1_MS_WA_2020_5,ST3_MS_ID,ST3_MS_OR,ST3_MS_WA,ST4_MS,ST0_DM_ID_2018_1,ST0_DM_ID_2019_1,ST0_DM_OR_2018_1,ST0_DM_OR_2019_1,ST0_DM_OR_2020_1,ST0_DM_WA_2018_1,ST0_DM_WA_2019_1,ST0_DM_WA_2020_1,ST1_DM_ID_2018_1,ST1_DM_ID_2019_1,ST1_DM_OR_2018_1,ST1_DM_OR_2019_1,ST1_DM_OR_2020_1,ST1_DM_WA_2018_1,ST1_DM_WA_2019_1,ST1_DM_WA_2020_1,ST3_DM_ID,ST3_DM_OR,ST3_DM_WA,ST4_DM,ST0_PH_ID_2019_1,ST0_PH_OR_2018_1,ST0_PH_OR_2019_1,ST0_PH_OR_2019_2,ST0_PH_OR_2019_4,ST0_PH_OR_2020_2,ST0_PH_OR_2020_3,ST0_PH_WA_2018_1,ST0_PH_WA_2018_3,ST0_PH_WA_2019_1,ST0_PH_WA_2019_2,ST0_PH_WA_2019_3,ST0_PH_WA_2019_4,ST0_PH_WA_2019_5,ST0_PH_WA_2020_1,ST0_PH_WA_2020_2,ST0_PH_WA_2020_3,ST0_PH_WA_2020_4,ST0_PH_WA_2020_5,ST1_PH_ID_2019_1,ST1_PH_OR_2018_1,ST1_PH_OR_2019_1,ST1_PH_OR_2019_2,ST1_PH_OR_2019_4,ST1_PH_OR_2020_2,ST1_PH_OR_2020_3,ST1_PH_WA_2018_1,ST1_PH_WA_2018_3,ST1_PH_WA_2019_1,ST1_PH_WA_2019_2,ST1_PH_WA_2019_3,ST1_PH_WA_2019_4,ST1_PH_WA_2019_5,ST1_PH_WA_2020_1,ST1_PH_WA_2020_2,ST1_PH_WA_2020_3,ST1_PH_WA_2020_4,ST1_PH_WA_2020_5,ST3_PH_ID,ST3_PH_OR,ST3_PH_WA,ST4_PH,ST0_Yi_ID_2018_1,ST0_Yi_ID_2018_2,ST0_Yi_ID_2018_3,ST0_Yi_ID_2019_1,ST0_Yi_ID_2019_2,ST0_Yi_ID_2019_3,ST0_Yi_ID_2019_4,ST0_Yi_OR_2018_1,ST0_Yi_OR_2018_2,ST0_Yi_OR_2018_3,ST0_Yi_OR_2019_1,ST0_Yi_OR_2019_2,ST0_Yi_OR_2019_3,ST0_Yi_OR_2019_4,ST0_Yi_OR_2020_1,ST0_Yi_OR_2020_2,ST0_Yi_OR_2020_3,ST0_Yi_OR_2020_4,ST0_Yi_WA_2018_1,ST0_Yi_WA_2018_2,ST0_Yi_WA_2018_3,ST0_Yi_WA_2019_1,ST0_Yi_WA_2019_2,ST0_Yi_WA_2019_3,ST0_Yi_WA_2019_4,ST0_Yi_WA_2019_5,ST0_Yi_WA_2020_1,ST0_Yi_WA_2020_2,ST0_Yi_WA_2020_3,ST0_Yi_WA_2020_4,ST0_Yi_WA_2020_5,ST1_Yi_ID_2018_1,ST1_Yi_ID_2018_2,ST1_Yi_ID_2018_3,ST1_Yi_ID_2019_1,ST1_Yi_ID_2019_2,ST1_Yi_ID_2019_3,ST1_Yi_ID_2019_4,ST1_Yi_OR_2018_1,ST1_Yi_OR_2018_2,ST1_Yi_OR_2018_3,ST1_Yi_OR_2019_1,ST1_Yi_OR_2019_2,ST1_Yi_OR_2019_3,ST1_Yi_OR_2019_4,ST1_Yi_OR_2020_1,ST1_Yi_OR_2020_2,ST1_Yi_OR_2020_3,ST1_Yi_OR_2020_4,ST1_Yi_WA_2018_1,ST1_Yi_WA_2018_2,ST1_Yi_WA_2018_3,ST1_Yi_WA_2019_1,ST1_Yi_WA_2019_2,ST1_Yi_WA_2019_3,ST1_Yi_WA_2019_4,ST1_Yi_WA_2019_5,ST1_Yi_WA_2020_1,ST1_Yi_WA_2020_2,ST1_Yi_WA_2020_3,ST1_Yi_WA_2020_4,ST1_Yi_WA_2020_5,ST3_Yi_ID,ST3_Yi_OR,ST3_Yi_WA,ST4_Yi,ST0_R_FD_ID_2019_4,ST0_R_FD_WA_2018_3,ST0_R_FD_WA_2019_5,ST0_R_FD_OR_2018_3,ST0_R_FD_OR_2019_4,ST0_R_FD_OR_2020_4,ST1_R_FD_ID_2019_4,ST1_R_FD_OR_2018_3,ST1_R_FD_OR_2019_4,ST1_R_FD_OR_2020_4,ST1_R_FD_WA_2018_3,ST1_R_FD_WA_2019_5,ST3_R_FD_ID,ST3_R_FD_OR,ST3_R_FD_WA,ST4_R_FD
1,2.57,2.147,2.295,3.55,3.892,3.509,2.638,3.149,3.802,3.256,3.546,4.353,2.029,3.193,2.84,1.919,3.031,3.45,3.442,2.493,2.844,3.513,2.994,3.384,4.101,1.864,2.371,3.253,3.272,3.129,19.723,16.353,20.841,19.888,22.415,21.016,17.164,18.996,19.878,16.621,20.641,19.874,22.129,21.171,17.131,18.919,18.25,20.881,19.073,19.545,32.86,21.992,30.246,32.605,28.458,23.039,28.695,24.112,26.055,27.546,14.1,22.683,14.641,16.635,22.038,19.645,21.584,27.068,15.823,28.589,22.179,29.33,30.628,26.621,22.257,27.433,28.899,29.311,32.461,20.038,26.38,20.324,23.101,28.845,24.538,25.828,31.795,20.313,32.227,27.72,21.037,23.736,2.172,2.585,2.116,8.443,6.743,5.964,4.767,4.177,6.164,4.328,6.34,5.175,3.139,4.11,5.732,2.305,3.546,2.618,4.044,4.536,2.475,6.014,3.68,3.59,2.479,1.993,4.752,2.842,2.755,4.636,0.914,2.577,2.795,2.166,8.336,6.773,5.926,4.625,4.013,5.878,3.924,6.414,4.955,3.386,3.559,5.689,2.392,3.414,2.473,4.3,4.504,2.42,6.011,3.573,3.321,2.591,2.222,5.379,3.085,3.171,4.364,1.031,4.705,4.347,3.418,4.038,9.888,13.465,13.568,46.947,72.928,60.252,19.693,29.845,55.103,45.106,20.88,20.883,10.061,60.402,13.464,36.366
2,1.766,2.18,2.499,2.774,3.685,4.334,2.514,1.866,3.922,2.498,4.338,3.482,1.588,2.476,2.859,2.041,2.33,3.369,3.976,2.406,1.691,3.639,2.352,4.077,3.332,1.376,2.022,3.033,3.049,2.887,19.923,18.49,23.153,21.351,23.224,23.384,21.351,19.764,20.103,18.491,22.896,21.318,23.053,23.147,20.982,19.817,19.297,22.422,21.315,21.226,31.343,25.384,30.411,31.344,28.05,25.792,30.31,NA,21.562,32.961,22.3,22.833,22.512,21.691,25.504,21.087,24.721,28.397,18.225,27.307,24.159,29.148,30.071,26.766,24.707,28.954,29.806,27.159,36.463,26.871,27.749,27.353,27.239,31.049,26.315,28.713,33.181,22.919,30.945,28.613,23.688,25.733,2.648,3.321,1.723,8.047,5.894,6.203,5.434,4.617,5.774,3.468,7.588,4.988,2.509,3.391,8.49,3.062,3.212,2.337,4.094,2.972,2.934,6.889,3.609,4.32,3.29,2.635,6.792,4.38,3.532,5.124,1.863,2.878,3.387,1.802,8.066,6.205,6.146,5.137,4.445,5.585,3.232,7.226,4.812,3.007,3.147,8.249,2.905,3.087,2.207,4.358,3.552,2.831,6.711,3.711,4.037,3.296,2.827,7.101,4.381,4.003,4.995,1.73,4.766,4.511,3.999,4.354,12.373,13.805,12.614,44.709,73.563,69.01,21.178,27.673,56.383,51.726,20.964,20.414,11.546,62.311,13.271,37.503
3,1.911,2.385,2.555,3.204,3.973,2.976,3.148,1.704,2.86,3.216,2.925,3.256,2.118,2.606,3.014,2.136,2.73,3.34,2.867,2.886,1.628,2.779,2.892,2.833,3.097,1.984,2.165,3.189,2.813,2.8,21.063,18.48,21.24,20.394,22.384,24.647,19.521,18.854,21.034,18.364,21.084,20.383,22.224,24.096,19.392,18.986,19.699,21.23,20.825,20.695,25.771,27.168,28.83,33.031,29.293,27.376,28.312,29.023,24.347,26.017,23.1,22.569,19.479,20.838,27.104,21.018,22.773,30.3,14.207,22.742,25.213,28.261,31.441,27.843,26.31,27.345,32.147,28.818,32.923,27.14,27.157,24.723,26.131,31.722,26.108,27.377,34.852,20.167,26.379,29.047,23.323,25.291,1.802,1.709,2.511,6.833,7.878,6.692,4.233,3.558,4.852,2.962,7.438,5.814,4.265,3.44,6.356,3.411,3.457,1.871,5.903,5.817,2.667,7.104,5.471,4.084,3.638,2.945,6.821,4.335,3.616,4.56,1.25,2.47,2.113,2.44,7.365,7.752,6.597,4.24,3.421,4.823,2.818,7.219,5.556,4.046,3.192,6.299,3.209,3.335,1.88,5.528,5.541,2.735,7.085,4.777,4.048,3.43,2.732,7.434,4.498,4.132,4.928,1.258,4.674,4.32,4.353,4.413,9.66,15.903,10.6,41.523,74.403,52.939,19.317,24.51,56.441,40.386,21.632,18.86,9.684,57.496,12.828,34.638
4,1.762,2.288,2.573,1.957,3.694,3.233,2.777,1.974,3.517,2.37,3.875,3.899,2.045,2.46,2.934,2.113,1.553,3.253,3.07,2.586,1.807,3.28,2.249,3.65,3.683,1.817,2.051,2.76,2.96,2.774,20.849,18.28,16.435,19.962,20.403,23.743,14.758,18.835,20.842,18.251,16.56,19.938,20.453,23.605,14.865,18.703,19.547,18.984,19.058,19.152,29.051,28.483,31.798,25.611,17.587,22.489,26.896,20.955,20.611,30.106,11.45,14.178,15.129,15.971,22.907,13.444,17.144,22.854,6.802,25.329,25.484,30.517,24.347,16.268,21.155,25.394,26.75,24.454,33.697,17.082,19.237,19.445,20.244,28.598,19.1,22.159,27.726,12.411,28.966,25.173,17.626,20.606,2.169,2.743,2.269,7.409,5.777,4.707,3.199,3.748,4.007,3.139,6.391,3.72,4.452,2.848,7.042,3.222,3.546,2.449,4.989,4.839,2.555,3.147,1.105,2.467,2.308,2.637,5.428,1.844,2.489,4.355,0.964,2.243,2.844,2.305,7.273,5.796,4.743,3.254,3.595,3.926,2.975,6.226,3.618,3.945,2.696,6.825,2.9,3.383,2.284,4.733,4.488,2.286,3.341,1.757,2.798,2.459,2.167,5.315,2.263,2.72,3.984,1.128,4.028,4.008,2.915,3.554,7.185,8.177,9.243,31.124,47.829,49.561,16.932,14.17,30.728,30.861,15.669,16.697,7.3,42.303,8.765,25.29
5,2.236,2.286,2.376,3.504,4.385,3.568,2.501,2.264,2.779,2.982,3.588,3.897,2.19,2.897,2.945,1.906,3,3.886,3.429,2.34,2.069,2.767,2.749,3.419,3.731,1.987,2.275,3.384,3.004,2.979,18.044,18.57,18.079,19.653,23.222,26.498,11.912,19.108,18.297,18.381,18.142,19.658,23.147,25.326,12.399,18.821,18.339,20.316,18.849,19.271,31.94,21.492,35.783,37.583,29.56,29.688,32.267,30.42,17.016,26.325,20.85,17.649,16.044,17.634,27.252,20.614,19.487,24.38,13.677,27.93,21.401,34.48,36.096,28.209,28.347,30.947,33.2,22.995,32.77,25.04,22.876,21.383,23.21,32.121,25.33,25.061,29.413,18.537,31.568,31.225,21.045,24.814,3.369,5.836,0.347,7.348,6.753,5.77,5.03,4.021,4.612,3.274,5.754,5.679,3.629,2.879,6.529,3.366,4.811,2.172,5.729,4.259,2.661,4.424,3.895,3.122,2.498,1.968,5.287,3.314,2.719,3.281,1.09,3.396,5.515,0.444,7.438,6.79,5.782,4.836,3.865,4.511,3.114,5.674,5.44,3.661,2.747,6.391,3.131,4.534,2.114,5.4,4.308,2.474,4.86,3.723,3.216,2.599,2.22,5.823,3.29,3.178,3.885,1.125,4.849,4.263,3.427,4.045,9.466,7.135,8.195,39.199,73.81,60.269,18.826,22.154,55.584,44.726,14.907,16.55,9.194,57.872,8.311,33.239
6,2.727,2.672,2.315,2.523,3.872,3.503,2.724,1.93,2.75,3.363,3.067,3.291,2.675,3.297,3.276,1.949,2.133,3.357,3.257,2.544,1.821,2.672,3.051,2.927,3.132,2.453,2.64,2.933,2.925,2.883,22.677,19.111,20.442,19.803,21.31,23.124,17.017,18.848,22.593,19.027,20.411,19.842,21.495,22.74,17.086,18.857,20.81,20.583,19.561,20.256,25.809,31.012,40.803,34.467,28.082,34.376,35.741,27.511,17.365,32.406,22.1,21.866,19.755,20.97,25.442,19.703,21.478,26.523,8.489,22.834,26.911,38.503,33.168,26.855,32.419,34.039,32.214,23.799,37.191,26.054,26.355,24.564,25.383,32.238,25.005,26.615,31.549,15.602,26.472,33.294,22.265,25.969,2.945,3.565,2.587,5.023,6.378,5.397,3.39,4.665,4.092,2.961,7.26,5.24,3.467,3.235,6.073,3.978,3.808,3.674,4.744,4.278,2.657,6.214,4.461,3.792,2.471,2.232,6.351,4.247,3.505,3.34,0.306,3,3.604,2.626,5.658,6.451,5.424,3.614,4.484,4.109,2.946,6.796,5.063,3.653,3.284,5.945,3.767,3.675,3.432,4.76,4.381,2.872,6.19,4.224,3.675,2.776,2.705,6.414,4.112,3.658,3.994,1.076,4.302,4.443,3.792,4.138,8.969,14.029,7.123,39.156,72.957,49.651,18.431,22.12,54.714,36.832,19.45,16.218,8.799,54.939,10.416,32.408
7,2.575,2.766,2.676,2.738,3.696,3.792,2.778,2.614,4.284,3.207,3.669,4.62,2.027,3.198,3.343,2.233,2.311,3.268,3.658,2.596,2.391,3.883,2.965,3.501,4.354,1.828,2.625,3.057,3.34,3.164,21.2,17.313,18.29,19.162,19.334,21.644,15.518,19.32,21.084,17.221,18.336,19.163,19.428,21.622,15.6,19.073,19.152,18.976,18.765,18.941,21.016,24.524,34.856,26.611,14.598,22.424,23.957,24.826,21.598,27.408,15.05,15.841,15.854,19.935,26.63,19.278,19.329,23.676,10.624,18.598,22.066,33.455,25.326,13.359,21.096,22.989,29.171,25.696,33.538,20.058,21.033,20.63,22.849,31.197,23.708,23.916,28.58,15.736,22.236,24.36,19.727,21.322,2.681,3.391,1.992,6.365,7.101,3.494,4.912,3.879,4.423,1.995,5.573,4.169,3.202,2.173,6.077,2.22,2.713,1.903,4.116,3.222,2.01,5.144,2.209,2.87,3.166,2.568,4.945,2.191,2.403,3.745,0.618,2.84,3.417,2.01,6.486,6.674,3.613,4.61,3.721,4.334,1.85,5.462,3.98,3.239,2.047,5.917,2.072,2.597,1.753,4.193,3.454,2.099,5.235,2.462,2.924,2.918,2.184,5.134,2.39,2.767,3.864,0.878,4.198,3.517,2.997,3.453,8.267,7.535,13.339,29.463,39.709,28.327,17.681,12.502,22.027,14.261,16.308,19.238,8.049,33.314,10.355,21.45
8,1.857,2.085,2.691,2.919,3.817,3.08,3.096,0.98,3.05,1.459,4.042,4.272,NA,2.515,2.773,2.145,2.458,3.377,2.956,2.878,0.903,2.984,1.566,3.814,4.007,1.134,1.998,3.113,2.922,2.816,20.054,17.343,17.309,18.914,20.26,18.799,11.472,17.363,20.068,17.103,17.575,18.9,20.422,18.924,11.652,17.313,18.585,18.965,15.963,17.744,26.158,20.977,33.507,20.131,14.14,14.175,23.055,17.994,14.09,18.58,8.35,9.133,10.6,13.224,18.484,8.657,16.599,18.145,NA,22.848,19.801,31.752,19.103,12.704,13.1,21.577,23.464,18.65,24.517,14.105,14.625,15.302,16.947,24.274,14.762,20.208,22.976,14.349,26.486,20.985,14.126,17.099,2.383,1.886,2.082,7.242,6.383,3.743,1.732,4.289,4.201,0.748,6.389,3.322,3.358,2.558,5.354,1.397,3.565,1.641,3.04,3.603,1.148,2.33,0.425,2.049,1.853,1.229,4.137,1.159,1.892,4.071,0.599,2.66,2.178,2.034,7.191,6.104,3.854,1.905,4.12,4.114,0.888,6.246,3.172,3.212,2.271,5.225,1.289,3.362,1.452,3.436,3.55,1.476,2.562,1.15,2.222,2.003,1.619,4.247,1.271,1.953,3.636,0.66,3.666,3.37,2.172,2.935,6.169,5.776,5.532,19.925,36.84,30.345,15.526,3.014,19.476,14.201,12.787,13.428,5.894,29.281,5.689,17.519
9,1.012,2.081,2.572,2.581,4.347,3.412,3.245,1.363,3.939,2.702,3.76,3.775,0.491,1.773,2.781,2.022,2.149,3.686,3.327,2.935,1.199,3.696,2.458,3.618,3.611,0.389,1.631,3.072,2.847,2.712,18.48,15.277,21.478,18.879,20.089,20.188,19.704,18.026,18.798,15.723,21.073,18.896,20.254,20.553,19.287,18.152,17.26,20.074,19.331,19.092,28.853,19.486,34.496,18.575,13.254,18.541,22.002,25.969,17.715,27.532,10.1,10.427,12.158,9.794,24.267,14.812,16.252,17.613,8.923,25.115,18.653,32.776,18.571,11.887,17.207,20.892,28.394,21.844,31.986,15.453,15.838,16.807,16.587,29.137,19.519,20.847,22.735,13.363,28.753,21.309,16.093,18.407,2.552,1.556,0.431,7.928,5.828,4.511,1.575,3.466,6.091,1.584,6.93,2.921,3.599,2.363,8.264,1.835,3.213,1.406,3.111,2.292,1.554,3.908,1.486,3.05,2.495,2.018,7.124,2.116,2.866,4.64,0.539,2.728,1.92,0.608,7.931,5.911,4.571,1.799,3.322,5.814,1.46,6.708,2.861,3.4,2.101,7.958,1.629,3.019,1.198,3.517,2.784,1.776,4.345,1.892,3.035,2.578,2.09,6.817,2.36,2.84,4.39,0.648,3.601,3.744,2.887,3.352,6.948,5.717,5.779,17.186,33.74,17.717,15.908,0.388,15.84,4.275,12.866,13.455,6.275,23.885,5.742,14.902
10,1.895,2.486,2.48,3.005,3.73,2.724,2.599,1.762,3.104,2.602,4.315,3.708,1.537,2.571,3.103,2.012,2.544,3.31,2.701,2.451,1.599,2.981,2.392,4.042,3.51,1.375,2.192,3.076,2.824,2.785,19.42,16.652,18.012,18.9,21.128,20.586,15.107,17.914,19.536,16.68,18.379,18.906,21.067,20.764,15.203,17.913,18.108,19.451,17.96,18.556,29.473,19.363,29.263,23.203,17.247,22.447,30.531,23.894,20.292,26.716,13.499,15.101,17.781,15.668,28.301,16.915,16.513,22.555,12.03,25.677,19.136,28.333,22.858,16.053,21.135,28.609,28.465,24.658,32.154,18.884,20.332,22.214,21.109,31.158,21.858,22.227,27.498,16.78,29.315,23.999,18.995,21.118,1.93,3.086,1.959,7.633,6.896,4.809,3.315,4.118,5.218,3.177,6.265,4.497,3.413,2.801,6.906,2.371,3.621,2.278,6.028,5.36,3.581,5.97,2.536,3.666,2.249,2.275,6.34,2.242,3.27,4.47,0.817,2.463,3.182,1.986,7.72,6.821,4.858,3.389,3.958,5.077,2.952,6.25,4.34,3.463,2.669,6.741,2.271,3.453,2.111,5.667,5.127,2.479,5.951,2.826,3.443,2.495,2.319,6.465,2.82,3.277,4.432,0.962,4.308,4.091,3.594,3.932,7.673,4.482,7.192,40.069,46.661,42.538,16.931,22.918,29.487,25.988,12.94,15.257,7.299,43.181,6.681,25.034
