,ST1_MS_ID_2018_1,ST1_MS_ID_2019_1,ST1_MS_OR_2018_1,ST1_MS_OR_2019_1,ST1_MS_OR_2020_1,ST1_MS_WA_2018_1,ST1_MS_WA_2019_1,ST1_MS_WA_2019_2,ST1_MS_WA_2020_1,ST1_MS_WA_2020_2,ST1_MS_WA_2020_3,ST1_MS_WA_2020_4,ST1_MS_WA_2020_5
ST1_MS_ID_2018_1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_MS_ID_2019_1,0.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_MS_OR_2018_1,0.02,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_MS_OR_2019_1,0.05,0.03,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_MS_OR_2020_1,0.06,0.15,-0.27,0.01,1,NA,NA,NA,NA,NA,NA,NA,NA
ST1_MS_WA_2018_1,0.12,0.14,0.17,0.13,0.4,1,NA,NA,NA,NA,NA,NA,NA
ST1_MS_WA_2019_1,0.06,-0.03,0.15,0.08,-0.05,0.19,1,NA,NA,NA,NA,NA,NA
ST1_MS_WA_2019_2,0.18,-0.02,0.06,0.19,-0.03,0.14,-0.09,1,NA,NA,NA,NA,NA
ST1_MS_WA_2020_1,-0.02,0.09,0.13,0.03,0.1,0.38,0.27,-0.02,1,NA,NA,NA,NA
ST1_MS_WA_2020_2,0.16,0.06,0.24,0.14,0.04,0.26,0.06,0.37,0.15,1,NA,NA,NA
ST1_MS_WA_2020_3,-0.09,0.03,-0.06,0.01,0.33,0.25,0.01,-0.21,0.26,0,1,NA,NA
ST1_MS_WA_2020_4,0.01,-0.01,0.06,0.06,0.27,0.32,0.14,0.3,0.17,0.26,0.24,1,NA
ST1_MS_WA_2020_5,0.24,0.01,0.19,0.13,-0.22,-0.06,-0.05,0.32,-0.34,0.36,-0.41,0.03,1
