,ST1_PH_ID_2019_1,ST1_PH_OR_2018_1,ST1_PH_OR_2019_1,ST1_PH_OR_2019_2,ST1_PH_OR_2020_2,ST1_PH_OR_2020_3,ST1_PH_WA_2018_1,ST1_PH_WA_2018_3,ST1_PH_WA_2019_1,ST1_PH_WA_2019_2,ST1_PH_WA_2019_3,ST1_PH_WA_2019_4,ST1_PH_WA_2019_5,ST1_PH_WA_2020_1,ST1_PH_WA_2020_2,ST1_PH_WA_2020_3,ST1_PH_WA_2020_4,ST1_PH_WA_2020_5
ST1_PH_ID_2019_1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_OR_2018_1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_OR_2019_1,0.01,0.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_OR_2019_2,0.14,0.47,0.27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_OR_2020_2,0.09,0.43,0.16,0.64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_OR_2020_3,0.1,0.57,0.39,0.57,0.64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_WA_2018_1,0.12,0.39,0.28,0.62,0.57,0.56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_WA_2018_3,0.12,0.41,0.16,0.51,0.42,0.37,0.53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_WA_2019_1,0.13,0.26,0.18,0.5,0.47,0.43,0.69,0.52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_WA_2019_2,0.05,0.56,0.19,0.57,0.53,0.53,0.52,0.56,0.47,1,NA,NA,NA,NA,NA,NA,NA,NA
ST1_PH_WA_2019_3,0.09,0.56,0.14,0.62,0.58,0.58,0.58,0.61,0.62,0.78,1,NA,NA,NA,NA,NA,NA,NA
ST1_PH_WA_2019_4,0.11,0.52,0.15,0.61,0.62,0.61,0.57,0.6,0.59,0.76,0.85,1,NA,NA,NA,NA,NA,NA
ST1_PH_WA_2019_5,0.12,0.53,0.13,0.63,0.6,0.58,0.65,0.69,0.65,0.79,0.87,0.9,1,NA,NA,NA,NA,NA
ST1_PH_WA_2020_1,0.05,0.3,0.32,0.53,0.51,0.47,0.69,0.39,0.73,0.42,0.55,0.53,0.55,1,NA,NA,NA,NA
ST1_PH_WA_2020_2,0.13,0.5,0.23,0.62,0.59,0.59,0.66,0.6,0.63,0.73,0.77,0.76,0.81,0.64,1,NA,NA,NA
ST1_PH_WA_2020_3,0.12,0.55,0.21,0.62,0.59,0.59,0.64,0.59,0.66,0.78,0.81,0.81,0.85,0.66,0.8,1,NA,NA
ST1_PH_WA_2020_4,0.06,0.43,0.17,0.53,0.56,0.47,0.49,0.49,0.55,0.56,0.6,0.59,0.62,0.56,0.64,0.65,1,NA
ST1_PH_WA_2020_5,0.15,0.56,0.06,0.5,0.56,0.54,0.44,0.56,0.36,0.72,0.75,0.82,0.81,0.34,0.67,0.73,0.48,1
