,ST1_Yi_ID_2018_1,ST1_Yi_ID_2018_2,ST1_Yi_ID_2018_3,ST1_Yi_ID_2019_1,ST1_Yi_ID_2019_2,ST1_Yi_ID_2019_3,ST1_Yi_ID_2019_4,ST1_Yi_OR_2018_1,ST1_Yi_OR_2018_2,ST1_Yi_OR_2018_3,ST1_Yi_OR_2019_1,ST1_Yi_OR_2019_2,ST1_Yi_OR_2019_3,ST1_Yi_OR_2019_4,ST1_Yi_OR_2020_1,ST1_Yi_OR_2020_2,ST1_Yi_OR_2020_3,ST1_Yi_OR_2020_4,ST1_Yi_WA_2018_1,ST1_Yi_WA_2018_2,ST1_Yi_WA_2018_3,ST1_Yi_WA_2019_1,ST1_Yi_WA_2019_2,ST1_Yi_WA_2019_3,ST1_Yi_WA_2019_4,ST1_Yi_WA_2019_5,ST1_Yi_WA_2020_1,ST1_Yi_WA_2020_2,ST1_Yi_WA_2020_3,ST1_Yi_WA_2020_4,ST1_Yi_WA_2020_5
ST1_Yi_ID_2018_1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_ID_2018_2,0.18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_ID_2018_3,0.23,0.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_ID_2019_1,0.05,0.1,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_ID_2019_2,-0.02,0.08,0.27,0.34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_ID_2019_3,-0.09,0.06,0.27,0.11,0.17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_ID_2019_4,-0.14,0.1,0.24,0.18,0.56,0.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2018_1,-0.15,-0.1,0.07,0.01,0.18,0.04,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2018_2,0.02,0.1,0.08,0.29,0.23,0.14,0.18,0.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2018_3,0.06,0.05,0.33,0.15,0.5,0.26,0.52,0.28,0.37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2019_1,-0.12,0.11,-0.01,0.26,0.32,0.13,0.05,0.14,0.13,0.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2019_2,0.04,0.05,0.38,0.23,0.66,0.3,0.65,0.26,0.23,0.71,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2019_3,0,0.07,0.34,0.26,0.54,0.14,0.49,0.16,0.21,0.5,0.13,0.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2019_4,0.03,0.09,0.38,0.19,0.57,0.21,0.6,0.17,0.21,0.6,0.14,0.75,0.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2020_1,0.12,0.06,0.1,0.26,0.22,-0.05,0.04,-0.02,-0.07,0.05,0.36,0.23,0.25,0.26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2020_2,0.04,0.05,0.43,0.23,0.55,0.29,0.59,0.14,0.11,0.63,0.13,0.84,0.7,0.76,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2020_3,0,0.05,0.3,0.14,0.33,0.18,0.31,0.17,0.18,0.45,0.21,0.58,0.51,0.49,0.17,0.72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_OR_2020_4,0.04,0.06,0.48,0.21,0.59,0.26,0.6,0.14,0.2,0.71,0.12,0.77,0.65,0.83,0.22,0.87,0.67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_WA_2018_1,0.09,0.06,0.21,0.23,0.34,0.16,0.33,0.15,0.19,0.36,0.15,0.42,0.36,0.41,0.14,0.44,0.34,0.42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_WA_2018_2,0.07,0.14,0.29,0.35,0.49,0.2,0.45,0.12,0.21,0.47,0.11,0.55,0.51,0.56,0.21,0.56,0.39,0.55,0.45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_WA_2018_3,0.05,0.08,0.34,0.21,0.45,0.19,0.56,0.11,0.17,0.57,-0.06,0.68,0.61,0.73,0.19,0.78,0.55,0.77,0.47,0.76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_WA_2019_1,0.08,0.01,0.23,0.14,0.38,0.18,0.42,0.14,0.22,0.44,0.03,0.51,0.43,0.49,0.08,0.47,0.35,0.52,0.43,0.42,0.58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_WA_2019_2,0.13,0.06,0.37,0.19,0.48,0.28,0.57,0.1,0.21,0.56,-0.05,0.7,0.6,0.73,0.14,0.72,0.46,0.71,0.49,0.63,0.84,0.69,1,NA,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_WA_2019_3,0.04,0.06,0.26,0.24,0.45,0.2,0.52,0.12,0.17,0.48,-0.04,0.64,0.59,0.67,0.21,0.7,0.46,0.65,0.41,0.74,0.95,0.58,0.82,1,NA,NA,NA,NA,NA,NA,NA
ST1_Yi_WA_2019_4,0.18,0.05,0.28,0.21,0.3,0.13,0.36,0.06,0.1,0.35,-0.09,0.48,0.49,0.54,0.18,0.55,0.29,0.49,0.37,0.58,0.8,0.54,0.78,0.85,1,NA,NA,NA,NA,NA,NA
ST1_Yi_WA_2019_5,0.07,0.04,0.27,0.16,0.32,0.13,0.44,0.06,0.09,0.42,-0.15,0.54,0.53,0.62,0.16,0.66,0.42,0.62,0.36,0.67,0.95,0.54,0.8,0.97,0.88,1,NA,NA,NA,NA,NA
ST1_Yi_WA_2020_1,0,0.08,0.21,0.27,0.46,0.12,0.47,0.14,0.22,0.47,0.11,0.58,0.6,0.57,0.3,0.68,0.54,0.61,0.38,0.64,0.81,0.54,0.7,0.87,0.68,0.83,1,NA,NA,NA,NA
ST1_Yi_WA_2020_2,0.03,0.06,0.31,0.23,0.49,0.21,0.55,0.11,0.17,0.52,-0.01,0.69,0.64,0.71,0.23,0.77,0.52,0.71,0.41,0.71,0.95,0.58,0.84,0.98,0.83,0.96,0.88,1,NA,NA,NA
ST1_Yi_WA_2020_3,0.05,0.06,0.29,0.26,0.47,0.19,0.53,0.12,0.18,0.5,-0.02,0.66,0.62,0.68,0.24,0.74,0.49,0.68,0.42,0.74,0.96,0.59,0.84,0.99,0.86,0.98,0.89,0.99,1,NA,NA
ST1_Yi_WA_2020_4,0.06,0.05,0.25,0.34,0.46,0.19,0.46,0.12,0.17,0.41,0.04,0.56,0.56,0.57,0.27,0.63,0.41,0.56,0.36,0.72,0.86,0.48,0.71,0.93,0.81,0.9,0.84,0.9,0.94,1,NA
