"","BLUE_ID_2018_1","BLUE_ID_2019_1","BLUE_OR_2018_1","BLUE_OR_2019_1","BLUE_OR_2020_1","BLUE_WA_2018_1","BLUE_WA_2019_1","BLUE_WA_2019_2","BLUE_WA_2020_1","BLUE_WA_2020_2","BLUE_WA_2020_3","BLUE_WA_2020_4","BLUE_WA_2020_5"
"BLUE_ID_2018_1",0.303703054652977,0.00496958978455611,0.00698200673738994,0.00687779812074336,0.00338526334738373,0.025659800115206,0.00319125856531863,0.0120879926288873,0.0106076615465427,0.0168638740878063,0.00845559665300839,0.013955420816963,0.00560085351106801
"BLUE_ID_2019_1",0.00496958978455611,0.0635537272374341,0.00497040959592284,0.00489622469068862,0.00240992970351272,0.0182669140147178,0.00227181994987021,0.00860530171595432,0.00755147119221305,0.0120051963200771,0.0060194411612781,0.00993470217843191,0.0039871826372911
"BLUE_OR_2018_1",0.00698200673738994,0.00497040959592284,0.0396410456269398,0.00687893272084557,0.00338582179938719,0.0256640330995598,0.00319178501320658,0.0120899867318592,0.0106094114458075,0.0168666560469345,0.0084569915355941,0.0139577229813486,0.00560177745923493
"BLUE_OR_2019_1",0.00687779812074336,0.00489622469068862,0.00687893272084557,0.101950619810604,0.00333528735861725,0.025280989443564,0.00314414663166817,0.0119095399291004,0.0104510626885252,0.0166149159727389,0.00833076831323647,0.0137493996356215,0.00551816919276582
"BLUE_OR_2020_1",0.00338526334738373,0.00240992970351272,0.00338582179938719,0.00333528735861725,0.00735070733089151,0.0124433438502324,0.00154755405205698,0.00586189479516578,0.0051440299409152,0.00817788848624918,0.00410041762367068,0.00676747671534881,0.0027160517923014
"BLUE_WA_2018_1",0.025659800115206,0.0182669140147178,0.0256640330995598,0.025280989443564,0.0124433438502324,0.126774467018614,0.0117302329444912,0.0444323035773767,0.0389909931741441,0.0619871963827494,0.0310805647346677,0.051296481833346,0.0205872745902805
"BLUE_WA_2019_1",0.00319125856531863,0.00227181994987021,0.00319178501320658,0.00314414663166817,0.00154755405205698,0.0117302329444912,0.0571696287276888,0.00552595767432005,0.00484923266660717,0.00770922495531485,0.00386542833455942,0.0063796419413403,0.00256039860317796
"BLUE_WA_2019_2",0.0120879926288873,0.00860530171595432,0.0120899867318592,0.0119095399291004,0.00586189479516578,0.0444323035773767,0.00552595767432005,0.111897478783005,0.0183681414495019,0.0292013487866584,0.014641643182235,0.0241650944865266,0.00969839290948788
"BLUE_WA_2020_1",0.0106076615465427,0.00755147119221305,0.0106094114458075,0.0104510626885252,0.0051440299409152,0.0389909931741441,0.00484923266660717,0.0183681414495019,0.0354186340694749,0.025625265843658,0.0128485845525114,0.0212057660376729,0.00851069922754464
"BLUE_WA_2020_2",0.0168638740878063,0.0120051963200771,0.0168666560469345,0.0166149159727389,0.00817788848624918,0.0619871963827494,0.00770922495531485,0.0292013487866584,0.025625265843658,0.205292596571192,0.0204264541387734,0.0337125545367112,0.0135301602094649
"BLUE_WA_2020_3",0.00845559665300839,0.0060194411612781,0.0084569915355941,0.00833076831323647,0.00410041762367068,0.0310805647346677,0.00386542833455942,0.014641643182235,0.0128485845525114,0.0204264541387734,0.0601334105879636,0.0169035751702567,0.00678406259357343
"BLUE_WA_2020_4",0.013955420816963,0.00993470217843191,0.0139577229813486,0.0137493996356215,0.00676747671534881,0.051296481833346,0.0063796419413403,0.0241650944865266,0.0212057660376729,0.0337125545367112,0.0169035751702567,0.127496800923772,0.0111966608894773
"BLUE_WA_2020_5",0.00560085351106801,0.0039871826372911,0.00560177745923493,0.00551816919276582,0.0027160517923014,0.0205872745902805,0.00256039860317796,0.00969839290948788,0.00851069922754464,0.0135301602094649,0.00678406259357343,0.0111966608894773,0.249073050443921
