"","BLUE_ID_2018_1","BLUE_ID_2018_2","BLUE_ID_2018_3","BLUE_ID_2019_1","BLUE_ID_2019_2","BLUE_ID_2019_3","BLUE_ID_2019_4","BLUE_OR_2018_1","BLUE_OR_2018_2","BLUE_OR_2018_3","BLUE_OR_2019_1","BLUE_OR_2019_2","BLUE_OR_2019_3","BLUE_OR_2019_4","BLUE_OR_2020_1","BLUE_OR_2020_2","BLUE_OR_2020_3","BLUE_OR_2020_4","BLUE_WA_2018_1","BLUE_WA_2018_2","BLUE_WA_2018_3","BLUE_WA_2019_1","BLUE_WA_2019_2","BLUE_WA_2019_3","BLUE_WA_2019_4","BLUE_WA_2019_5","BLUE_WA_2020_1","BLUE_WA_2020_2","BLUE_WA_2020_3","BLUE_WA_2020_4","BLUE_WA_2020_5"
"BLUE_ID_2018_1",0.463523783540166,0.000870819994477619,0.00113218556008055,0.00105094726595472,0.00186509226338314,0.000831841365756903,0.00263054703741526,0.000372054361066382,0.000606703746597482,0.00222471462627254,0.000307787207906136,0.00223052096357382,0.00111730306519909,0.00199099072104871,0.00146507030701827,0.0125341022096453,0.00141400657032239,0.00244971260322866,0.000923085602826921,0.00232853985637524,0.00242241965317721,0.00304404447994648,0.00309500424700524,0.00305382991651575,0.00226622750438484,0.00226781858045782,0.00514480713381383,0.00553473851943677,0.00370463355009504,0.00244051432145687,0.0020800298191876
"BLUE_ID_2018_2",0.000870819994477619,0.412963981597518,0.0444702962933944,0.0412793961993419,0.0732576076674785,0.0326732942978705,0.10332335112916,0.014613653677666,0.0238302768775666,0.087382953896311,0.0120893507332213,0.0876110168122067,0.0438857375600039,0.0782026819668459,0.0575454350779046,0.492317919153603,0.0555397395622756,0.0962204864116886,0.0362572105750572,0.0914610298833148,0.0951484664016273,0.119564817576246,0.12156642934383,0.119949172649247,0.089013508157676,0.0890760028819382,0.202079151757413,0.217394984129902,0.145511617035156,0.0958591937665566,0.0816999841896823
"BLUE_ID_2018_3",0.00113218556008055,0.0444702962933944,0.229036595266746,0.0536688828944203,0.0952449485463639,0.0424797687684031,0.134334543199989,0.0189997562972778,0.0309826319384033,0.113609838113485,0.0157178158720542,0.11390635121815,0.057057484524947,0.101674224115108,0.074816966832324,0.640080892227309,0.072209287271549,0.12509984381398,0.0471393520155729,0.11891189683363,0.12370607060803,0.155450679603075,0.158053049730675,0.15595039397155,0.11572978253524,0.11581103425757,0.262730643604842,0.282643328617487,0.189185081504706,0.124630113768304,0.106221197199148
"BLUE_ID_2019_1",0.00105094726595472,0.0412793961993419,0.0536688828944203,0.214941605762255,0.0884107886552422,0.0394316960219538,0.124695567473285,0.0176364569894438,0.0287595191776069,0.105457932834287,0.0145900073273675,0.105733170081303,0.0529634094251125,0.0943787410998581,0.069448586443605,0.594152838010304,0.067028017058594,0.116123490232741,0.0437569377904083,0.110379550201914,0.114829725154117,0.144296546855827,0.146712187778158,0.144760404961621,0.107425763791132,0.107501185416745,0.243878796298539,0.262362676158628,0.175610386827973,0.115687464969174,0.098599452880267
"BLUE_ID_2019_2",0.00186509226338314,0.0732576076674785,0.0952449485463639,0.0884107886552422,0.378593674113189,0.0699785360931615,0.221294393835566,0.0312990199889995,0.0510388660348679,0.187153800207976,0.0258925549078397,0.187642257504202,0.0939929607899347,0.167491810060782,0.123248830340878,1.05442955830279,0.11895310078411,0.20608172288586,0.0776544445054431,0.195888082862352,0.203785707360681,0.256079807134015,0.26036679025991,0.256903005587878,0.190646065150426,0.190779914197832,0.432806165365861,0.465609087492537,0.311651768316874,0.205307918745479,0.174982211475414
"BLUE_ID_2019_3",0.000831841365756903,0.0326732942978705,0.0424797687684031,0.0394316960219538,0.0699785360931615,0.201380531439011,0.0986985118197919,0.0139595343595898,0.0227636138236485,0.0834716200522978,0.0115482213187694,0.0836894746820034,0.0419213753711082,0.0747022647455138,0.0549696534436999,0.470281358779544,0.0530537345309582,0.0919135772468185,0.0346343076118544,0.0873671579593306,0.0908895417458616,0.114212996692574,0.116125014649236,0.114580147712175,0.0850291893459705,0.0850888867542898,0.193033920505834,0.207664203456649,0.138998395782851,0.0915684563615948,0.0780430248060978
"BLUE_ID_2019_4",0.00263054703741526,0.10332335112916,0.134334543199989,0.124695567473285,0.221294393835566,0.0986985118197919,1.05385246747641,0.044144488678923,0.0719857888410939,0.263963817953474,0.0365191497177627,0.264652743600058,0.132568725632561,0.236232326623619,0.173831532028339,1.48717927000841,0.167772786902993,0.290659972295145,0.109524699097397,0.27628274812733,0.287421646258306,0.361177830836284,0.367224239897471,0.362338879164309,0.26888934757932,0.269078129776335,0.610434667726862,0.65670027684068,0.439557147893637,0.289568590260604,0.24679687275206
"BLUE_OR_2018_1",0.000372054361066382,0.014613653677666,0.0189997562972778,0.0176364569894438,0.0312990199889995,0.0139595343595898,0.044144488678923,0.332797410175303,0.0101813905215125,0.0373340176915525,0.00516512676704699,0.037431456660564,0.0187500059155266,0.0334117832127936,0.0245860570680167,0.210340862651072,0.0237291316778175,0.0411098181259289,0.015490748260373,0.0390763593526843,0.0406518018626103,0.0510835902843892,0.0519387709095631,0.0512478044526616,0.0380306654806977,0.0380573661017822,0.0863375096675885,0.092881137815406,0.0621692566168365,0.0409554572877591,0.0349059916051422
"BLUE_OR_2018_2",0.000606703746597482,0.0238302768775666,0.0309826319384033,0.0287595191776069,0.0510388660348679,0.0227636138236485,0.0719857888410939,0.0101813905215125,0.0265737875006246,0.060880050818596,0.00842269864069468,0.0610389431573242,0.0305753675486289,0.0544841189271478,0.0400921330272053,0.342999848374799,0.0386947570004917,0.0670371947998536,0.0252605425191881,0.0637212625453761,0.066290314203799,0.0833012829801502,0.0846958138433914,0.0835690646850862,0.0620160644444591,0.0620596047669056,0.140789347118757,0.151459948324029,0.101378521150798,0.0667854807799531,0.0569207032672344
"BLUE_OR_2018_3",0.00222471462627254,0.087382953896311,0.113609838113485,0.105457932834287,0.187153800207976,0.0834716200522978,0.263963817953474,0.0373340176915525,0.060880050818596,0.49730636476389,0.0308850917168823,0.223822961990723,0.112116445251198,0.199787156345379,0.147013357415878,1.25774199313614,0.141889336174099,0.24581787834988,0.0926275776689764,0.233658726494239,0.243079150930706,0.305456466475655,0.310570054821929,0.306438391968881,0.227405956213723,0.227565613695192,0.516258753164194,0.55538665159176,0.371743672358916,0.244894871256465,0.208721837975314
