env,id,block,position,row,col,resp,cov1,cov2
ID_2018_1,80,1,1,1,4,2,1.5,2.2
ID_2018_1,132,1,2,1,3,2.3,1.5,2.2
ID_2018_1,202,1,3,1,2,2.2,1.5,2.2
ID_2018_1,103,1,4,1,1,2.3,1.5,2.2
ID_2018_1,201,1,5,2,4,1.5,1.5,2.2
ID_2018_1,104,1,6,2,3,1.8,1.5,2.2
ID_2018_1,43,1,7,2,2,1.9,1.5,2.2
ID_2018_1,154,1,8,2,1,1.8,1.5,2.2
ID_2018_1,40,1,9,3,4,2.1,1.5,2.2
ID_2018_1,78,1,10,3,3,2.4,1.5,2.2
ID_2018_1,91,1,11,3,2,1.8,1.5,2.2
ID_2018_1,48,1,12,3,1,2.5,1.5,2.2
ID_2018_1,72,1,13,4,4,2.2,1.5,2.2
ID_2018_1,178,1,14,4,3,1.8,1.5,2.2
ID_2018_1,110,1,15,4,2,2.4,1.5,2.2
ID_2018_1,16,1,16,4,1,2.3,1.5,2.2
ID_2018_1,44,1,17,5,4,2.1,1.5,2.2
ID_2018_1,51,1,18,5,3,2,1.5,2.2
ID_2018_1,130,1,19,5,2,2,1.5,2.2
ID_2018_1,166,1,20,5,1,1.9,1.5,2.2
ID_2018_1,54,2,1,6,4,2.4,2.2,1.8
ID_2018_1,15,2,2,6,3,2,2.2,1.8
ID_2018_1,201,2,3,6,2,2.2,2.2,1.8
ID_2018_1,6,2,4,6,1,2.4,2.2,1.8
ID_2018_1,33,2,5,7,4,2.2,2.2,1.8
ID_2018_1,100,2,6,7,3,2,2.2,1.8
ID_2018_1,179,2,7,7,2,2,2.2,1.8
ID_2018_1,126,2,8,7,1,2.6,2.2,1.8
ID_2018_1,92,2,9,8,4,3.2,2.2,1.8
ID_2018_1,174,2,10,8,3,2,2.2,1.8
ID_2018_1,28,2,11,8,2,1.4,2.2,1.8
ID_2018_1,144,2,12,8,1,2.2,2.2,1.8
ID_2018_1,202,2,13,9,4,1.8,2.2,1.8
ID_2018_1,66,2,14,9,3,2.2,2.2,1.8
ID_2018_1,90,2,15,9,2,1.8,2.2,1.8
ID_2018_1,68,2,16,9,1,2,2.2,1.8
ID_2018_1,149,2,17,10,4,1.8,2.2,1.8
ID_2018_1,102,2,18,10,3,2.2,2.2,1.8
ID_2018_1,168,2,19,10,2,2.4,2.2,1.8
ID_2018_1,164,2,20,10,1,1.9,2.2,1.8
ID_2018_1,186,3,1,11,4,2.2,2,2.4
ID_2018_1,159,3,2,11,3,2,2,2.4
ID_2018_1,147,3,3,11,2,2,2,2.4
ID_2018_1,109,3,4,11,1,1.8,2,2.4
ID_2018_1,29,3,5,12,4,2,2,2.4
ID_2018_1,75,3,6,12,3,2,2,2.4
ID_2018_1,161,3,7,12,2,1.9,2,2.4
ID_2018_1,127,3,8,12,1,2.2,2,2.4
ID_2018_1,120,3,9,13,4,2,2,2.4
ID_2018_1,155,3,10,13,3,2.4,2,2.4
ID_2018_1,41,3,11,13,2,2,2,2.4
ID_2018_1,151,3,12,13,1,2.6,2,2.4
ID_2018_1,150,3,13,14,4,1.9,2,2.4
ID_2018_1,201,3,14,14,3,2,2,2.4
ID_2018_1,195,3,15,14,2,2,2,2.4
ID_2018_1,108,3,16,14,1,2.3,2,2.4
ID_2018_1,162,3,17,15,4,2.1,2,2.4
ID_2018_1,60,3,18,15,3,1.8,2,2.4
ID_2018_1,134,3,19,15,2,2,2,2.4
ID_2018_1,202,3,20,15,1,2.4,2,2.4
ID_2018_1,34,4,1,16,4,1.9,2.3,2.2
ID_2018_1,97,4,2,16,3,1.5,2.3,2.2
ID_2018_1,56,4,3,16,2,1.8,2.3,2.2
ID_2018_1,23,4,4,16,1,2.1,2.3,2.2
ID_2018_1,202,4,5,17,4,2.2,2.3,2.2
ID_2018_1,129,4,6,17,3,2,2.3,2.2
ID_2018_1,187,4,7,17,2,2.5,2.3,2.2
