env,id,block,position,row,col,resp,cov1,cov2
WA_2018_1,123,1,1,1,4,4.1,5.2,4.4
WA_2018_1,29,1,2,1,3,4.8,5.2,4.4
WA_2018_1,162,1,3,1,2,3.8,5.2,4.4
WA_2018_1,201,1,4,1,1,5.2,5.2,4.4
WA_2018_1,126,1,5,2,4,5,5.2,4.4
WA_2018_1,191,1,6,2,3,4.2,5.2,4.4
WA_2018_1,159,1,7,2,2,3.7,5.2,4.4
WA_2018_1,139,1,8,2,1,2.7,5.2,4.4
WA_2018_1,77,1,9,3,4,4.1,5.2,4.4
WA_2018_1,69,1,10,3,3,3,5.2,4.4
WA_2018_1,121,1,11,3,2,4,5.2,4.4
WA_2018_1,84,1,12,3,1,3.7,5.2,4.4
WA_2018_1,133,1,13,4,4,4.5,5.2,4.4
WA_2018_1,125,1,14,4,3,4,5.2,4.4
WA_2018_1,202,1,15,4,2,4.4,5.2,4.4
WA_2018_1,32,1,16,4,1,4.4,5.2,4.4
WA_2018_1,37,1,17,5,4,5,5.2,4.4
WA_2018_1,13,1,18,5,3,4.1,5.2,4.4
WA_2018_1,116,1,19,5,2,3,5.2,4.4
WA_2018_1,164,1,20,5,1,3.9,5.2,4.4
WA_2018_1,35,2,1,6,4,5.3,4.5,5.2
WA_2018_1,146,2,2,6,3,4.3,4.5,5.2
WA_2018_1,43,2,3,6,2,4,4.5,5.2
WA_2018_1,24,2,4,6,1,3.4,4.5,5.2
WA_2018_1,202,2,5,7,4,5.2,4.5,5.2
WA_2018_1,104,2,6,7,3,4.2,4.5,5.2
WA_2018_1,76,2,7,7,2,3.8,4.5,5.2
WA_2018_1,107,2,8,7,1,4.4,4.5,5.2
WA_2018_1,158,2,9,8,4,4.9,4.5,5.2
WA_2018_1,195,2,10,8,3,3.6,4.5,5.2
WA_2018_1,78,2,11,8,2,5.4,4.5,5.2
WA_2018_1,3,2,12,8,1,3.5,4.5,5.2
WA_2018_1,82,2,13,9,4,5,4.5,5.2
WA_2018_1,201,2,14,9,3,4.5,4.5,5.2
WA_2018_1,34,2,15,9,2,3,4.5,5.2
WA_2018_1,156,2,16,9,1,5.1,4.5,5.2
WA_2018_1,6,2,17,10,4,4.6,4.5,5.2
WA_2018_1,52,2,18,10,3,3.6,4.5,5.2
WA_2018_1,90,2,19,10,2,2.7,4.5,5.2
WA_2018_1,140,2,20,10,1,2.9,4.5,5.2
WA_2018_1,91,3,1,11,4,4.7,4.8,4.8
WA_2018_1,201,3,2,11,3,4.8,4.8,4.8
WA_2018_1,40,3,3,11,2,4.3,4.8,4.8
WA_2018_1,177,3,4,11,1,4.9,4.8,4.8
WA_2018_1,119,3,5,12,4,4.7,4.8,4.8
