env,id,block,position,row,col,resp,cov1,cov2
OR_2018_1,34,1,1,1,2,16.65,17.16,19.01
OR_2018_1,90,1,2,1,1,18.01,17.16,19.01
OR_2018_1,201,1,3,2,2,17.16,17.16,19.01
OR_2018_1,55,1,4,2,1,20.05,17.16,19.01
OR_2018_1,10,1,5,3,2,16.99,17.16,19.01
OR_2018_1,192,1,6,3,1,19.21,17.16,19.01
OR_2018_1,145,1,7,4,2,16.91,17.16,19.01
OR_2018_1,48,1,8,4,1,18.32,17.16,19.01
OR_2018_1,74,1,9,5,2,15.89,17.16,19.01
OR_2018_1,159,1,10,5,1,18.4,17.16,19.01
OR_2018_1,176,1,11,6,2,17.75,17.16,19.01
OR_2018_1,95,1,12,6,1,19.34,17.16,19.01
OR_2018_1,190,1,13,7,2,19.25,17.16,19.01
OR_2018_1,81,1,14,7,1,27.06,17.16,19.01
OR_2018_1,167,1,15,8,2,18.38,17.16,19.01
OR_2018_1,123,1,16,8,1,21.83,17.16,19.01
OR_2018_1,46,1,17,9,2,18.09,17.16,19.01
OR_2018_1,160,1,18,9,1,20.82,17.16,19.01
OR_2018_1,18,1,19,10,2,16.49,17.16,19.01
OR_2018_1,202,1,20,10,1,19.01,17.16,19.01
OR_2018_1,178,2,1,11,2,18.07,20.66,19.28
OR_2018_1,121,2,2,11,1,20.46,20.66,19.28
OR_2018_1,173,2,3,12,2,15.89,20.66,19.28
OR_2018_1,65,2,4,12,1,24.11,20.66,19.28
OR_2018_1,181,2,5,13,2,19.06,20.66,19.28
OR_2018_1,25,2,6,13,1,19.31,20.66,19.28
OR_2018_1,153,2,7,14,2,18.35,20.66,19.28
OR_2018_1,40,2,8,14,1,19.75,20.66,19.28
OR_2018_1,78,2,9,15,2,17.73,20.66,19.28
OR_2018_1,201,2,10,15,1,20.66,20.66,19.28
OR_2018_1,179,2,11,16,2,18.36,20.66,19.28
OR_2018_1,21,2,12,16,1,20.58,20.66,19.28
OR_2018_1,59,2,13,17,2,19.56,20.66,19.28
OR_2018_1,92,2,14,17,1,26.56,20.66,19.28
OR_2018_1,27,2,15,18,2,19.39,20.66,19.28
OR_2018_1,193,2,16,18,1,23.79,20.66,19.28
OR_2018_1,202,2,17,19,2,19.28,20.66,19.28
OR_2018_1,94,2,18,19,1,23.57,20.66,19.28
OR_2018_1,99,2,19,20,2,18.06,20.66,19.28
OR_2018_1,51,2,20,20,1,21.71,20.66,19.28
OR_2018_1,139,3,1,21,2,17.9,21.87,18.62
OR_2018_1,113,3,2,21,1,21.18,21.87,18.62
OR_2018_1,183,3,3,22,2,19.16,21.87,18.62
OR_2018_1,37,3,4,22,1,21.68,21.87,18.62
OR_2018_1,189,3,5,23,2,19.26,21.87,18.62
OR_2018_1,84,3,6,23,1,21.13,21.87,18.62
OR_2018_1,133,3,7,24,2,20.41,21.87,18.62
OR_2018_1,187,3,8,24,1,19.78,21.87,18.62
OR_2018_1,202,3,9,25,2,18.62,21.87,18.62
OR_2018_1,110,3,10,25,1,21.4,21.87,18.62
OR_2018_1,144,3,11,26,2,20.22,21.87,18.62
OR_2018_1,79,3,12,26,1,20.64,21.87,18.62
OR_2018_1,195,3,13,27,2,20.39,21.87,18.62
OR_2018_1,77,3,14,27,1,23.06,21.87,18.62
OR_2018_1,54,3,15,28,2,21.68,21.87,18.62
OR_2018_1,161,3,16,28,1,23.63,21.87,18.62
OR_2018_1,104,3,17,29,2,20.98,21.87,18.62
OR_2018_1,177,3,18,29,1,22.31,21.87,18.62
OR_2018_1,4,3,19,30,2,18.3,21.87,18.62
OR_2018_1,201,3,20,30,1,21.87,21.87,18.62
OR_2018_1,108,4,1,31,2,19.6,20.1,21.18
OR_2018_1,197,4,2,31,1,19.2,20.1,21.18
OR_2018_1,100,4,3,32,2,18.39,20.1,21.18
OR_2018_1,49,4,4,32,1,19.86,20.1,21.18
OR_2018_1,15,4,5,33,2,18.49,20.1,21.18
OR_2018_1,201,4,6,33,1,20.1,20.1,21.18
OR_2018_1,13,4,7,34,2,18.3,20.1,21.18
OR_2018_1,63,4,8,34,1,22.45,20.1,21.18
OR_2018_1,191,4,9,35,2,21.37,20.1,21.18
OR_2018_1,44,4,10,35,1,19.19,20.1,21.18
OR_2018_1,102,4,11,36,2,22.25,20.1,21.18
OR_2018_1,115,4,12,36,1,21.6,20.1,21.18
OR_2018_1,202,4,13,37,2,21.18,20.1,21.18
OR_2018_1,112,4,14,37,1,22.72,20.1,21.18
OR_2018_1,131,4,15,38,2,24.05,20.1,21.18
OR_2018_1,85,4,16,38,1,21.35,20.1,21.18
OR_2018_1,126,4,17,39,2,19.4,20.1,21.18
OR_2018_1,67,4,18,39,1,21.96,20.1,21.18
OR_2018_1,47,4,19,40,2,19.26,20.1,21.18
OR_2018_1,182,4,20,40,1,20.13,20.1,21.18
OR_2018_1,75,5,1,41,2,18.92,21.52,18.76
OR_2018_1,171,5,2,41,1,20.23,21.52,18.76
OR_2018_1,154,5,3,42,2,20.19,21.52,18.76
OR_2018_1,119,5,4,42,1,19.12,21.52,18.76
OR_2018_1,201,5,5,43,2,21.52,21.52,18.76
OR_2018_1,17,5,6,43,1,18.32,21.52,18.76
OR_2018_1,22,5,7,44,2,19.92,21.52,18.76
OR_2018_1,202,5,8,44,1,18.76,21.52,18.76
OR_2018_1,82,5,9,45,2,20.88,21.52,18.76
OR_2018_1,50,5,10,45,1,19.77,21.52,18.76
OR_2018_1,134,5,11,46,2,21.9,21.52,18.76
OR_2018_1,62,5,12,46,1,20.98,21.52,18.76
OR_2018_1,29,5,13,47,2,21.22,21.52,18.76
OR_2018_1,122,5,14,47,1,20.85,21.52,18.76
OR_2018_1,137,5,15,48,2,19.91,21.52,18.76
OR_2018_1,71,5,16,48,1,20.51,21.52,18.76
OR_2018_1,41,5,17,49,2,19.51,21.52,18.76
OR_2018_1,39,5,18,49,1,18.51,21.52,18.76
OR_2018_1,28,5,19,50,2,16.54,21.52,18.76
OR_2018_1,38,5,20,50,1,19.51,21.52,18.76
OR_2018_1,201,6,1,51,2,18.26,18.26,20.22
OR_2018_1,116,6,2,51,1,18.79,18.26,20.22
OR_2018_1,60,6,3,52,2,18.02,18.26,20.22
OR_2018_1,156,6,4,52,1,19.01,18.26,20.22
OR_2018_1,188,6,5,53,2,18.69,18.26,20.22
OR_2018_1,140,6,6,53,1,19.18,18.26,20.22
OR_2018_1,76,6,7,54,2,17.46,18.26,20.22
OR_2018_1,109,6,8,54,1,19.44,18.26,20.22
OR_2018_1,101,6,9,55,2,18.28,18.26,20.22
OR_2018_1,185,6,10,55,1,20.06,18.26,20.22
OR_2018_1,146,6,11,56,2,20.81,18.26,20.22
OR_2018_1,202,6,12,56,1,20.22,18.26,20.22
OR_2018_1,129,6,13,57,2,21.54,18.26,20.22
OR_2018_1,87,6,14,57,1,22.78,18.26,20.22
OR_2018_1,150,6,15,58,2,18.81,18.26,20.22
OR_2018_1,155,6,16,58,1,20.63,18.26,20.22
OR_2018_1,98,6,17,59,2,20.45,18.26,20.22
OR_2018_1,3,6,18,59,1,20.26,18.26,20.22
OR_2018_1,88,6,19,60,2,20.86,18.26,20.22
OR_2018_1,69,6,20,60,1,19.14,18.26,20.22
OR_2018_1,149,7,1,61,2,18.17,19.36,18.71
OR_2018_1,165,7,2,61,1,18.79,19.36,18.71
OR_2018_1,138,7,3,62,2,19.37,19.36,18.71
OR_2018_1,201,7,4,62,1,19.36,19.36,18.71
OR_2018_1,31,7,5,63,2,18.76,19.36,18.71
OR_2018_1,152,7,6,63,1,18.04,19.36,18.71
OR_2018_1,70,7,7,64,2,19.65,19.36,18.71
OR_2018_1,151,7,8,64,1,18.58,19.36,18.71
OR_2018_1,142,7,9,65,2,17.9,19.36,18.71
OR_2018_1,117,7,10,65,1,19.35,19.36,18.71
OR_2018_1,111,7,11,66,2,19.7,19.36,18.71
OR_2018_1,166,7,12,66,1,19.44,19.36,18.71
OR_2018_1,186,7,13,67,2,21.56,19.36,18.71
OR_2018_1,24,7,14,67,1,22.03,19.36,18.71
OR_2018_1,143,7,15,68,2,20.05,19.36,18.71
OR_2018_1,168,7,16,68,1,22.17,19.36,18.71
OR_2018_1,132,7,17,69,2,18.81,19.36,18.71
OR_2018_1,174,7,18,69,1,20.36,19.36,18.71
OR_2018_1,202,7,19,70,2,18.71,19.36,18.71
OR_2018_1,20,7,20,70,1,18.76,19.36,18.71
OR_2018_1,58,8,1,71,2,19.42,21.35,21.67
OR_2018_1,66,8,2,71,1,18.77,21.35,21.67
OR_2018_1,36,8,3,72,2,19.49,21.35,21.67
OR_2018_1,19,8,4,72,1,19.66,21.35,21.67
OR_2018_1,169,8,5,73,2,18.8,21.35,21.67
OR_2018_1,118,8,6,73,1,22.97,21.35,21.67
OR_2018_1,201,8,7,74,2,21.35,21.35,21.67
OR_2018_1,91,8,8,74,1,22.07,21.35,21.67
