env,id,block,position,row,col,resp,cov1,cov2
WA_2018_1,123,1,1,1,4,18.75,20.98,20.36
WA_2018_1,29,1,2,1,3,20.73,20.98,20.36
WA_2018_1,162,1,3,1,2,20.48,20.98,20.36
WA_2018_1,201,1,4,1,1,20.98,20.98,20.36
WA_2018_1,126,1,5,2,4,21.12,20.98,20.36
WA_2018_1,191,1,6,2,3,22.66,20.98,20.36
WA_2018_1,159,1,7,2,2,19.26,20.98,20.36
WA_2018_1,139,1,8,2,1,19.86,20.98,20.36
WA_2018_1,77,1,9,3,4,20.85,20.98,20.36
WA_2018_1,69,1,10,3,3,20.83,20.98,20.36
WA_2018_1,121,1,11,3,2,20.95,20.98,20.36
WA_2018_1,84,1,12,3,1,19.31,20.98,20.36
WA_2018_1,133,1,13,4,4,20.91,20.98,20.36
WA_2018_1,125,1,14,4,3,21.52,20.98,20.36
WA_2018_1,202,1,15,4,2,20.36,20.98,20.36
WA_2018_1,32,1,16,4,1,20.93,20.98,20.36
WA_2018_1,37,1,17,5,4,20.58,20.98,20.36
WA_2018_1,13,1,18,5,3,20.69,20.98,20.36
WA_2018_1,116,1,19,5,2,20.39,20.98,20.36
WA_2018_1,164,1,20,5,1,20.03,20.98,20.36
WA_2018_1,35,2,1,6,4,20.78,18.08,21.04
WA_2018_1,146,2,2,6,3,21.32,18.08,21.04
WA_2018_1,43,2,3,6,2,19.89,18.08,21.04
WA_2018_1,24,2,4,6,1,20.44,18.08,21.04
WA_2018_1,202,2,5,7,4,21.04,18.08,21.04
WA_2018_1,104,2,6,7,3,20.91,18.08,21.04
WA_2018_1,76,2,7,7,2,20.03,18.08,21.04
WA_2018_1,107,2,8,7,1,21.36,18.08,21.04
WA_2018_1,158,2,9,8,4,19.18,18.08,21.04
WA_2018_1,195,2,10,8,3,20.29,18.08,21.04
WA_2018_1,78,2,11,8,2,19.73,18.08,21.04
WA_2018_1,3,2,12,8,1,21.57,18.08,21.04
WA_2018_1,82,2,13,9,4,22.14,18.08,21.04
WA_2018_1,201,2,14,9,3,18.08,18.08,21.04
WA_2018_1,34,2,15,9,2,21.13,18.08,21.04
WA_2018_1,156,2,16,9,1,20.16,18.08,21.04
WA_2018_1,6,2,17,10,4,22.87,18.08,21.04
WA_2018_1,52,2,18,10,3,20.69,18.08,21.04
WA_2018_1,90,2,19,10,2,20.57,18.08,21.04
WA_2018_1,140,2,20,10,1,21.81,18.08,21.04
WA_2018_1,91,3,1,11,4,21.17,19.67,19.05
WA_2018_1,201,3,2,11,3,19.67,19.67,19.05
WA_2018_1,40,3,3,11,2,19.95,19.67,19.05
WA_2018_1,177,3,4,11,1,19.12,19.67,19.05
WA_2018_1,119,3,5,12,4,22.4,19.67,19.05
WA_2018_1,189,3,6,12,3,19.43,19.67,19.05
WA_2018_1,145,3,7,12,2,19.39,19.67,19.05
WA_2018_1,186,3,8,12,1,20.83,19.67,19.05
WA_2018_1,114,3,9,13,4,22.81,19.67,19.05
WA_2018_1,50,3,10,13,3,19.8,19.67,19.05
WA_2018_1,111,3,11,13,2,19.32,19.67,19.05
WA_2018_1,202,3,12,13,1,19.05,19.67,19.05
WA_2018_1,66,3,13,14,4,20.79,19.67,19.05
WA_2018_1,12,3,14,14,3,20.33,19.67,19.05
WA_2018_1,197,3,15,14,2,20.37,19.67,19.05
WA_2018_1,185,3,16,14,1,20.42,19.67,19.05
WA_2018_1,26,3,17,15,4,21.03,19.67,19.05
WA_2018_1,182,3,18,15,3,20.23,19.67,19.05
WA_2018_1,33,3,19,15,2,22.03,19.67,19.05
WA_2018_1,36,3,20,15,1,21.83,19.67,19.05
WA_2018_1,149,4,1,16,4,19.96,19.74,18.38
WA_2018_1,115,4,2,16,3,20.34,19.74,18.38
WA_2018_1,136,4,3,16,2,19.59,19.74,18.38
WA_2018_1,22,4,4,16,1,21.84,19.74,18.38
WA_2018_1,53,4,5,17,4,19.98,19.74,18.38
WA_2018_1,165,4,6,17,3,19.04,19.74,18.38
WA_2018_1,202,4,7,17,2,18.38,19.74,18.38
WA_2018_1,56,4,8,17,1,21.41,19.74,18.38
WA_2018_1,73,4,9,18,4,21.56,19.74,18.38
WA_2018_1,131,4,10,18,3,20.49,19.74,18.38
WA_2018_1,89,4,11,18,2,20.21,19.74,18.38
WA_2018_1,94,4,12,18,1,21.38,19.74,18.38
WA_2018_1,201,4,13,19,4,19.74,19.74,18.38
WA_2018_1,190,4,14,19,3,19.58,19.74,18.38
WA_2018_1,68,4,15,19,2,19.87,19.74,18.38
WA_2018_1,196,4,16,19,1,19.91,19.74,18.38
WA_2018_1,100,4,17,20,4,20.72,19.74,18.38
WA_2018_1,120,4,18,20,3,19.67,19.74,18.38
WA_2018_1,61,4,19,20,2,19.36,19.74,18.38
WA_2018_1,179,4,20,20,1,19.3,19.74,18.38
WA_2018_1,124,5,1,21,4,21.2,19.4,19
WA_2018_1,174,5,2,21,3,20.56,19.4,19
WA_2018_1,128,5,3,21,2,19.58,19.4,19
WA_2018_1,103,5,4,21,1,20.1,19.4,19
WA_2018_1,181,5,5,22,4,22.04,19.4,19
WA_2018_1,108,5,6,22,3,19.58,19.4,19
WA_2018_1,14,5,7,22,2,19.22,19.4,19
WA_2018_1,201,5,8,22,1,19.4,19.4,19
WA_2018_1,127,5,9,23,4,20.91,19.4,19
WA_2018_1,17,5,10,23,3,19.37,19.4,19
WA_2018_1,172,5,11,23,2,18.84,19.4,19
