env,id,block,position,row,col,resp,cov1,cov2
WA_2018_1,123,1,1,1,4,19,24,23
WA_2018_1,29,1,2,1,3,21,24,23
WA_2018_1,162,1,3,1,2,21,24,23
WA_2018_1,201,1,4,1,1,24,24,23
WA_2018_1,126,1,5,2,4,20,24,23
WA_2018_1,191,1,6,2,3,23,24,23
WA_2018_1,159,1,7,2,2,24,24,23
WA_2018_1,139,1,8,2,1,23,24,23
WA_2018_1,77,1,9,3,4,20,24,23
WA_2018_1,69,1,10,3,3,29,24,23
WA_2018_1,121,1,11,3,2,24,24,23
WA_2018_1,84,1,12,3,1,23,24,23
WA_2018_1,133,1,13,4,4,24,24,23
WA_2018_1,125,1,14,4,3,20,24,23
WA_2018_1,202,1,15,4,2,23,24,23
WA_2018_1,32,1,16,4,1,23,24,23
WA_2018_1,37,1,17,5,4,22,24,23
WA_2018_1,13,1,18,5,3,23,24,23
WA_2018_1,116,1,19,5,2,23,24,23
WA_2018_1,164,1,20,5,1,24,24,23
WA_2018_1,35,2,1,6,4,21,24,25
WA_2018_1,146,2,2,6,3,26,24,25
WA_2018_1,43,2,3,6,2,23,24,25
WA_2018_1,24,2,4,6,1,23,24,25
WA_2018_1,202,2,5,7,4,25,24,25
WA_2018_1,104,2,6,7,3,24,24,25
WA_2018_1,76,2,7,7,2,24,24,25
WA_2018_1,107,2,8,7,1,25,24,25
WA_2018_1,158,2,9,8,4,21,24,25
WA_2018_1,195,2,10,8,3,24,24,25
WA_2018_1,78,2,11,8,2,23,24,25
WA_2018_1,3,2,12,8,1,30,24,25
WA_2018_1,82,2,13,9,4,25,24,25
WA_2018_1,201,2,14,9,3,24,24,25
WA_2018_1,34,2,15,9,2,23,24,25
WA_2018_1,156,2,16,9,1,27,24,25
WA_2018_1,6,2,17,10,4,29,24,25
WA_2018_1,52,2,18,10,3,19,24,25
WA_2018_1,90,2,19,10,2,20,24,25
WA_2018_1,140,2,20,10,1,21,24,25
WA_2018_1,91,3,1,11,4,23,22,23
WA_2018_1,201,3,2,11,3,22,22,23
WA_2018_1,40,3,3,11,2,23,22,23
WA_2018_1,177,3,4,11,1,21,22,23
WA_2018_1,119,3,5,12,4,20,22,23
WA_2018_1,189,3,6,12,3,24,22,23
WA_2018_1,145,3,7,12,2,23,22,23
WA_2018_1,186,3,8,12,1,26,22,23
WA_2018_1,114,3,9,13,4,22,22,23
WA_2018_1,50,3,10,13,3,22,22,23
WA_2018_1,111,3,11,13,2,23,22,23
WA_2018_1,202,3,12,13,1,23,22,23
WA_2018_1,66,3,13,14,4,21,22,23
WA_2018_1,12,3,14,14,3,19,22,23
WA_2018_1,197,3,15,14,2,25,22,23
WA_2018_1,185,3,16,14,1,25,22,23
WA_2018_1,26,3,17,15,4,24,22,23
WA_2018_1,182,3,18,15,3,24,22,23
WA_2018_1,33,3,19,15,2,20,22,23
WA_2018_1,36,3,20,15,1,23,22,23
WA_2018_1,149,4,1,16,4,25,25,23
WA_2018_1,115,4,2,16,3,24,25,23
WA_2018_1,136,4,3,16,2,23,25,23
WA_2018_1,22,4,4,16,1,23,25,23
WA_2018_1,53,4,5,17,4,23,25,23
WA_2018_1,165,4,6,17,3,23,25,23
WA_2018_1,202,4,7,17,2,23,25,23
WA_2018_1,56,4,8,17,1,NA,25,23
WA_2018_1,73,4,9,18,4,25,25,23
WA_2018_1,131,4,10,18,3,27,25,23
WA_2018_1,89,4,11,18,2,26,25,23
WA_2018_1,94,4,12,18,1,24,25,23
WA_2018_1,201,4,13,19,4,25,25,23
WA_2018_1,190,4,14,19,3,25,25,23
WA_2018_1,68,4,15,19,2,25,25,23
WA_2018_1,196,4,16,19,1,27,25,23
WA_2018_1,100,4,17,20,4,21,25,23
WA_2018_1,120,4,18,20,3,23,25,23
WA_2018_1,61,4,19,20,2,28,25,23
WA_2018_1,179,4,20,20,1,26,25,23
WA_2018_1,124,5,1,21,4,22,25,21
WA_2018_1,174,5,2,21,3,26,25,21
WA_2018_1,128,5,3,21,2,23,25,21
WA_2018_1,103,5,4,21,1,27,25,21
WA_2018_1,181,5,5,22,4,26,25,21
WA_2018_1,108,5,6,22,3,24,25,21
WA_2018_1,14,5,7,22,2,23,25,21
WA_2018_1,201,5,8,22,1,25,25,21
WA_2018_1,127,5,9,23,4,18,25,21
WA_2018_1,17,5,10,23,3,18,25,21
WA_2018_1,172,5,11,23,2,28,25,21
WA_2018_1,23,5,12,23,1,25,25,21
WA_2018_1,99,5,13,24,4,17,25,21
WA_2018_1,202,5,14,24,3,21,25,21
WA_2018_1,67,5,15,24,2,24,25,21
WA_2018_1,138,5,16,24,1,23,25,21
WA_2018_1,130,5,17,25,4,22,25,21
WA_2018_1,87,5,18,25,3,23,25,21
WA_2018_1,161,5,19,25,2,24,25,21
WA_2018_1,106,5,20,25,1,27,25,21
WA_2018_1,188,6,1,26,4,23,23,26
WA_2018_1,151,6,2,26,3,23,23,26
WA_2018_1,19,6,3,26,2,21,23,26
WA_2018_1,202,6,4,26,1,26,23,26
WA_2018_1,154,6,5,27,4,25,23,26
WA_2018_1,5,6,6,27,3,32,23,26
WA_2018_1,80,6,7,27,2,24,23,26
WA_2018_1,176,6,8,27,1,24,23,26
WA_2018_1,183,6,9,28,4,23,23,26
WA_2018_1,117,6,10,28,3,24,23,26
WA_2018_1,118,6,11,28,2,22,23,26
WA_2018_1,79,6,12,28,1,21,23,26
WA_2018_1,201,6,13,29,4,23,23,26
WA_2018_1,46,6,14,29,3,21,23,26
WA_2018_1,113,6,15,29,2,23,23,26
WA_2018_1,25,6,16,29,1,NA,23,26
WA_2018_1,71,6,17,30,4,22,23,26
WA_2018_1,41,6,18,30,3,23,23,26
WA_2018_1,95,6,19,30,2,24,23,26
WA_2018_1,171,6,20,30,1,NA,23,26
WA_2018_1,38,7,1,31,4,17,23,24
WA_2018_1,202,7,2,31,3,24,23,24
WA_2018_1,150,7,3,31,2,24,23,24
WA_2018_1,143,7,4,31,1,NA,23,24
WA_2018_1,72,7,5,32,4,18,23,24
WA_2018_1,11,7,6,32,3,21,23,24
WA_2018_1,135,7,7,32,2,24,23,24
WA_2018_1,54,7,8,32,1,25,23,24
WA_2018_1,27,7,9,33,4,21,23,24
WA_2018_1,45,7,10,33,3,22,23,24
WA_2018_1,64,7,11,33,2,23,23,24
WA_2018_1,163,7,12,33,1,25,23,24
WA_2018_1,8,7,13,34,4,18,23,24
WA_2018_1,51,7,14,34,3,20,23,24
WA_2018_1,201,7,15,34,2,23,23,24
WA_2018_1,192,7,16,34,1,25,23,24
WA_2018_1,18,7,17,35,4,19,23,24
WA_2018_1,129,7,18,35,3,21,23,24
WA_2018_1,74,7,19,35,2,22,23,24
WA_2018_1,70,7,20,35,1,NA,23,24
WA_2018_1,170,8,1,36,4,22,24,21
WA_2018_1,112,8,2,36,3,19,24,21
WA_2018_1,93,8,3,36,2,21,24,21
WA_2018_1,98,8,4,36,1,25,24,21
WA_2018_1,44,8,5,37,4,21,24,21
WA_2018_1,180,8,6,37,3,19,24,21
WA_2018_1,137,8,7,37,2,22,24,21
WA_2018_1,193,8,8,37,1,27,24,21
WA_2018_1,10,8,9,38,4,22,24,21
WA_2018_1,169,8,10,38,3,21,24,21
WA_2018_1,141,8,11,38,2,28,24,21
WA_2018_1,58,8,12,38,1,18,24,21
WA_2018_1,75,8,13,39,4,20,24,21
WA_2018_1,28,8,14,39,3,18,24,21
WA_2018_1,47,8,15,39,2,21,24,21
WA_2018_1,201,8,16,39,1,24,24,21
