env,id,block,position,row,col,resp,cov1,cov2
OR_2018_1,34,1,1,1,2,3.12,3.16,3.24
OR_2018_1,90,1,2,1,1,3.92,3.16,3.24
OR_2018_1,201,1,3,2,2,3.16,3.16,3.24
OR_2018_1,55,1,4,2,1,4.52,3.16,3.24
OR_2018_1,10,1,5,3,2,3.44,3.16,3.24
OR_2018_1,192,1,6,3,1,4.26,3.16,3.24
OR_2018_1,145,1,7,4,2,3.73,3.16,3.24
OR_2018_1,48,1,8,4,1,4.03,3.16,3.24
OR_2018_1,74,1,9,5,2,3.62,3.16,3.24
OR_2018_1,159,1,10,5,1,3.65,3.16,3.24
OR_2018_1,176,1,11,6,2,3.37,3.16,3.24
OR_2018_1,95,1,12,6,1,3.6,3.16,3.24
OR_2018_1,190,1,13,7,2,3.61,3.16,3.24
OR_2018_1,81,1,14,7,1,4.77,3.16,3.24
OR_2018_1,167,1,15,8,2,4.52,3.16,3.24
OR_2018_1,123,1,16,8,1,3.63,3.16,3.24
OR_2018_1,46,1,17,9,2,4.29,3.16,3.24
OR_2018_1,160,1,18,9,1,4.08,3.16,3.24
OR_2018_1,18,1,19,10,2,3.85,3.16,3.24
OR_2018_1,202,1,20,10,1,3.24,3.16,3.24
OR_2018_1,178,2,1,11,2,4.72,4.2,2.6
OR_2018_1,121,2,2,11,1,3.84,4.2,2.6
OR_2018_1,173,2,3,12,2,3.64,4.2,2.6
OR_2018_1,65,2,4,12,1,3.47,4.2,2.6
OR_2018_1,181,2,5,13,2,4.69,4.2,2.6
OR_2018_1,25,2,6,13,1,3.27,4.2,2.6
OR_2018_1,153,2,7,14,2,4.24,4.2,2.6
OR_2018_1,40,2,8,14,1,4.31,4.2,2.6
OR_2018_1,78,2,9,15,2,4.23,4.2,2.6
OR_2018_1,201,2,10,15,1,4.2,4.2,2.6
OR_2018_1,179,2,11,16,2,4.26,4.2,2.6
OR_2018_1,21,2,12,16,1,4.1,4.2,2.6
OR_2018_1,59,2,13,17,2,3.49,4.2,2.6
OR_2018_1,92,2,14,17,1,4.98,4.2,2.6
OR_2018_1,27,2,15,18,2,3.62,4.2,2.6
OR_2018_1,193,2,16,18,1,4.07,4.2,2.6
