env,id,block,position,row,col,resp,cov1,cov2
WA_2018_1,123,1,1,1,4,3.31,5.22,4.45
WA_2018_1,29,1,2,1,3,3.32,5.22,4.45
WA_2018_1,162,1,3,1,2,4.84,5.22,4.45
WA_2018_1,201,1,4,1,1,5.22,5.22,4.45
WA_2018_1,126,1,5,2,4,3.71,5.22,4.45
WA_2018_1,191,1,6,2,3,3.91,5.22,4.45
WA_2018_1,159,1,7,2,2,3.95,5.22,4.45
WA_2018_1,139,1,8,2,1,5.15,5.22,4.45
WA_2018_1,77,1,9,3,4,3.15,5.22,4.45
WA_2018_1,69,1,10,3,3,3.66,5.22,4.45
WA_2018_1,121,1,11,3,2,4.11,5.22,4.45
WA_2018_1,84,1,12,3,1,4.88,5.22,4.45
WA_2018_1,133,1,13,4,4,3.26,5.22,4.45
WA_2018_1,125,1,14,4,3,4.14,5.22,4.45
WA_2018_1,202,1,15,4,2,4.45,5.22,4.45
WA_2018_1,32,1,16,4,1,5.74,5.22,4.45
WA_2018_1,37,1,17,5,4,3.17,5.22,4.45
WA_2018_1,13,1,18,5,3,4.26,5.22,4.45
WA_2018_1,116,1,19,5,2,4.22,5.22,4.45
WA_2018_1,164,1,20,5,1,5.36,5.22,4.45
WA_2018_1,35,2,1,6,4,2.68,3.58,3.26
WA_2018_1,146,2,2,6,3,4.04,3.58,3.26
WA_2018_1,43,2,3,6,2,4.33,3.58,3.26
WA_2018_1,24,2,4,6,1,5.32,3.58,3.26
WA_2018_1,202,2,5,7,4,3.26,3.58,3.26
WA_2018_1,104,2,6,7,3,4.3,3.58,3.26
WA_2018_1,76,2,7,7,2,4.65,3.58,3.26
WA_2018_1,107,2,8,7,1,5.04,3.58,3.26
WA_2018_1,158,2,9,8,4,3.56,3.58,3.26
WA_2018_1,195,2,10,8,3,3.66,3.58,3.26
WA_2018_1,78,2,11,8,2,4.52,3.58,3.26
WA_2018_1,3,2,12,8,1,5.94,3.58,3.26
WA_2018_1,82,2,13,9,4,4.39,3.58,3.26
WA_2018_1,201,2,14,9,3,3.58,3.58,3.26
WA_2018_1,34,2,15,9,2,4.62,3.58,3.26
WA_2018_1,156,2,16,9,1,5.41,3.58,3.26
WA_2018_1,6,2,17,10,4,4.4,3.58,3.26
WA_2018_1,52,2,18,10,3,4.06,3.58,3.26
WA_2018_1,90,2,19,10,2,4.42,3.58,3.26
WA_2018_1,140,2,20,10,1,5.62,3.58,3.26
WA_2018_1,91,3,1,11,4,3.57,4.34,5.13
WA_2018_1,201,3,2,11,3,4.34,4.34,5.13
WA_2018_1,40,3,3,11,2,4.54,4.34,5.13
WA_2018_1,177,3,4,11,1,5.64,4.34,5.13
WA_2018_1,119,3,5,12,4,3.67,4.34,5.13
WA_2018_1,189,3,6,12,3,4.45,4.34,5.13
WA_2018_1,145,3,7,12,2,4.67,4.34,5.13
WA_2018_1,186,3,8,12,1,4.84,4.34,5.13
WA_2018_1,114,3,9,13,4,3.16,4.34,5.13
WA_2018_1,50,3,10,13,3,4.06,4.34,5.13
WA_2018_1,111,3,11,13,2,4.43,4.34,5.13
WA_2018_1,202,3,12,13,1,5.13,4.34,5.13
WA_2018_1,66,3,13,14,4,3.08,4.34,5.13
WA_2018_1,12,3,14,14,3,3.63,4.34,5.13
WA_2018_1,197,3,15,14,2,4.21,4.34,5.13
WA_2018_1,185,3,16,14,1,5.82,4.34,5.13
WA_2018_1,26,3,17,15,4,3.8,4.34,5.13
WA_2018_1,182,3,18,15,3,4.68,4.34,5.13
WA_2018_1,33,3,19,15,2,4.28,4.34,5.13
WA_2018_1,36,3,20,15,1,5.3,4.34,5.13
WA_2018_1,149,4,1,16,4,3.99,4.45,3.34
WA_2018_1,115,4,2,16,3,4.25,4.45,3.34
WA_2018_1,136,4,3,16,2,4.15,4.45,3.34
WA_2018_1,22,4,4,16,1,4.13,4.45,3.34
WA_2018_1,53,4,5,17,4,3.43,4.45,3.34
WA_2018_1,165,4,6,17,3,4.37,4.45,3.34
WA_2018_1,202,4,7,17,2,3.34,4.45,3.34
WA_2018_1,56,4,8,17,1,NA,4.45,3.34
WA_2018_1,73,4,9,18,4,5.18,4.45,3.34
WA_2018_1,131,4,10,18,3,4.5,4.45,3.34
WA_2018_1,89,4,11,18,2,3.92,4.45,3.34
WA_2018_1,94,4,12,18,1,4.99,4.45,3.34
WA_2018_1,201,4,13,19,4,4.45,4.45,3.34
WA_2018_1,190,4,14,19,3,4.41,4.45,3.34
WA_2018_1,68,4,15,19,2,3.94,4.45,3.34
WA_2018_1,196,4,16,19,1,4.95,4.45,3.34
WA_2018_1,100,4,17,20,4,2.49,4.45,3.34
WA_2018_1,120,4,18,20,3,4.66,4.45,3.34
WA_2018_1,61,4,19,20,2,4.89,4.45,3.34
WA_2018_1,179,4,20,20,1,6.06,4.45,3.34
