env,id,block,position,row,col,resp,cov1,cov2
ID_2018_1,80,1,1,1,4,18.33,18.5,17.28
ID_2018_1,132,1,2,1,3,18.88,18.5,17.28
ID_2018_1,202,1,3,1,2,17.28,18.5,17.28
ID_2018_1,103,1,4,1,1,18.45,18.5,17.28
ID_2018_1,201,1,5,2,4,18.5,18.5,17.28
ID_2018_1,104,1,6,2,3,18.65,18.5,17.28
ID_2018_1,43,1,7,2,2,17.65,18.5,17.28
ID_2018_1,154,1,8,2,1,18.24,18.5,17.28
ID_2018_1,40,1,9,3,4,17.62,18.5,17.28
ID_2018_1,78,1,10,3,3,17.9,18.5,17.28
ID_2018_1,91,1,11,3,2,17.99,18.5,17.28
ID_2018_1,48,1,12,3,1,17.54,18.5,17.28
ID_2018_1,72,1,13,4,4,18.14,18.5,17.28
ID_2018_1,178,1,14,4,3,18.5,18.5,17.28
ID_2018_1,110,1,15,4,2,18.69,18.5,17.28
ID_2018_1,16,1,16,4,1,18.75,18.5,17.28
ID_2018_1,44,1,17,5,4,18.14,18.5,17.28
ID_2018_1,51,1,18,5,3,18.14,18.5,17.28
ID_2018_1,130,1,19,5,2,18.14,18.5,17.28
ID_2018_1,166,1,20,5,1,17.21,18.5,17.28
ID_2018_1,54,2,1,6,4,20.66,19.74,18.18
ID_2018_1,15,2,2,6,3,20,19.74,18.18
ID_2018_1,201,2,3,6,2,19.74,19.74,18.18
ID_2018_1,6,2,4,6,1,20.87,19.74,18.18
ID_2018_1,33,2,5,7,4,18.09,19.74,18.18
ID_2018_1,100,2,6,7,3,19.38,19.74,18.18
ID_2018_1,179,2,7,7,2,18.75,19.74,18.18
ID_2018_1,126,2,8,7,1,19.91,19.74,18.18
ID_2018_1,92,2,9,8,4,19.74,19.74,18.18
ID_2018_1,174,2,10,8,3,18.9,19.74,18.18
ID_2018_1,28,2,11,8,2,17.21,19.74,18.18
ID_2018_1,144,2,12,8,1,20,19.74,18.18
ID_2018_1,202,2,13,9,4,18.18,19.74,18.18
ID_2018_1,66,2,14,9,3,20.24,19.74,18.18
ID_2018_1,90,2,15,9,2,18.78,19.74,18.18
ID_2018_1,68,2,16,9,1,20.98,19.74,18.18
ID_2018_1,149,2,17,10,4,23.13,19.74,18.18
ID_2018_1,102,2,18,10,3,19.64,19.74,18.18
ID_2018_1,168,2,19,10,2,20.26,19.74,18.18
ID_2018_1,164,2,20,10,1,20.35,19.74,18.18
ID_2018_1,186,3,1,11,4,20,20.27,19.32
ID_2018_1,159,3,2,11,3,20.57,20.27,19.32
ID_2018_1,147,3,3,11,2,19.66,20.27,19.32
