env,id,block,position,row,col,resp,cov1,cov2
ID_2018_1,80,1,1,1,4,2.54,2.87,3.17
ID_2018_1,132,1,2,1,3,3.41,2.87,3.17
ID_2018_1,202,1,3,1,2,3.17,2.87,3.17
ID_2018_1,103,1,4,1,1,2.83,2.87,3.17
ID_2018_1,201,1,5,2,4,2.87,2.87,3.17
ID_2018_1,104,1,6,2,3,2.65,2.87,3.17
ID_2018_1,43,1,7,2,2,2.29,2.87,3.17
ID_2018_1,154,1,8,2,1,2.69,2.87,3.17
ID_2018_1,40,1,9,3,4,2.65,2.87,3.17
ID_2018_1,78,1,10,3,3,2.95,2.87,3.17
ID_2018_1,91,1,11,3,2,3.49,2.87,3.17
ID_2018_1,48,1,12,3,1,2.92,2.87,3.17
ID_2018_1,72,1,13,4,4,2.88,2.87,3.17
ID_2018_1,178,1,14,4,3,2.57,2.87,3.17
ID_2018_1,110,1,15,4,2,3.69,2.87,3.17
ID_2018_1,16,1,16,4,1,3.19,2.87,3.17
ID_2018_1,44,1,17,5,4,2.05,2.87,3.17
ID_2018_1,51,1,18,5,3,2.66,2.87,3.17
ID_2018_1,130,1,19,5,2,2.77,2.87,3.17
ID_2018_1,166,1,20,5,1,2.84,2.87,3.17
ID_2018_1,54,2,1,6,4,2.31,3.05,3.84
ID_2018_1,15,2,2,6,3,2.97,3.05,3.84
ID_2018_1,201,2,3,6,2,3.05,3.05,3.84
ID_2018_1,6,2,4,6,1,2.45,3.05,3.84
ID_2018_1,33,2,5,7,4,2.73,3.05,3.84
ID_2018_1,100,2,6,7,3,2.21,3.05,3.84
ID_2018_1,179,2,7,7,2,1.68,3.05,3.84
ID_2018_1,126,2,8,7,1,3.53,3.05,3.84
ID_2018_1,92,2,9,8,4,2.78,3.05,3.84
ID_2018_1,174,2,10,8,3,3.77,3.05,3.84
ID_2018_1,28,2,11,8,2,2.11,3.05,3.84
ID_2018_1,144,2,12,8,1,2.54,3.05,3.84
ID_2018_1,202,2,13,9,4,3.84,3.05,3.84
ID_2018_1,66,2,14,9,3,2.54,3.05,3.84
ID_2018_1,90,2,15,9,2,2.91,3.05,3.84
ID_2018_1,68,2,16,9,1,2.52,3.05,3.84
ID_2018_1,149,2,17,10,4,3.82,3.05,3.84
ID_2018_1,102,2,18,10,3,3.06,3.05,3.84
ID_2018_1,168,2,19,10,2,1.72,3.05,3.84
ID_2018_1,164,2,20,10,1,4,3.05,3.84
ID_2018_1,186,3,1,11,4,3.16,3.34,2.13
ID_2018_1,159,3,2,11,3,2.91,3.34,2.13
ID_2018_1,147,3,3,11,2,2.5,3.34,2.13
ID_2018_1,109,3,4,11,1,3.24,3.34,2.13
