env,id,block,position,row,col,resp,cov1,cov2
ID_2019_4,80,1,1,1,4,7,8,11
ID_2019_4,132,1,2,1,3,6,8,11
ID_2019_4,202,1,3,1,2,11,8,11
ID_2019_4,103,1,4,1,1,10,8,11
ID_2019_4,201,1,5,2,4,8,8,11
ID_2019_4,104,1,6,2,3,16,8,11
ID_2019_4,43,1,7,2,2,6,8,11
ID_2019_4,154,1,8,2,1,8,8,11
ID_2019_4,40,1,9,3,4,6.5,8,11
ID_2019_4,78,1,10,3,3,7,8,11
ID_2019_4,91,1,11,3,2,12,8,11
ID_2019_4,48,1,12,3,1,7,8,11
ID_2019_4,72,1,13,4,4,5.5,8,11
ID_2019_4,178,1,14,4,3,11,8,11
ID_2019_4,110,1,15,4,2,18.5,8,11
ID_2019_4,16,1,16,4,1,5.5,8,11
ID_2019_4,44,1,17,5,4,5.5,8,11
ID_2019_4,51,1,18,5,3,7,8,11
ID_2019_4,130,1,19,5,2,8,8,11
ID_2019_4,166,1,20,5,1,22,8,11
ID_2019_4,54,2,1,6,4,13,8,7
ID_2019_4,15,2,2,6,3,7,8,7
ID_2019_4,201,2,3,6,2,8,8,7
ID_2019_4,6,2,4,6,1,8.5,8,7
ID_2019_4,33,2,5,7,4,5,8,7
ID_2019_4,100,2,6,7,3,5,8,7
ID_2019_4,179,2,7,7,2,7.5,8,7
ID_2019_4,126,2,8,7,1,5,8,7
ID_2019_4,92,2,9,8,4,16,8,7
ID_2019_4,174,2,10,8,3,7,8,7
ID_2019_4,28,2,11,8,2,5.5,8,7
ID_2019_4,144,2,12,8,1,6.5,8,7
ID_2019_4,202,2,13,9,4,7,8,7
ID_2019_4,66,2,14,9,3,12,8,7
ID_2019_4,90,2,15,9,2,5.5,8,7
ID_2019_4,68,2,16,9,1,5,8,7
ID_2019_4,149,2,17,10,4,8,8,7
ID_2019_4,102,2,18,10,3,12,8,7
ID_2019_4,168,2,19,10,2,18,8,7
ID_2019_4,164,2,20,10,1,8,8,7
ID_2019_4,186,3,1,11,4,8,5,9.5
ID_2019_4,159,3,2,11,3,7.5,5,9.5
ID_2019_4,147,3,3,11,2,10,5,9.5
ID_2019_4,109,3,4,11,1,9,5,9.5
ID_2019_4,29,3,5,12,4,6,5,9.5
ID_2019_4,75,3,6,12,3,5,5,9.5
ID_2019_4,161,3,7,12,2,8,5,9.5
ID_2019_4,127,3,8,12,1,5.5,5,9.5
ID_2019_4,120,3,9,13,4,8,5,9.5
ID_2019_4,155,3,10,13,3,13,5,9.5
ID_2019_4,41,3,11,13,2,7,5,9.5
ID_2019_4,151,3,12,13,1,9,5,9.5
ID_2019_4,150,3,13,14,4,8,5,9.5
ID_2019_4,201,3,14,14,3,5,5,9.5
ID_2019_4,195,3,15,14,2,7,5,9.5
ID_2019_4,108,3,16,14,1,9,5,9.5
ID_2019_4,162,3,17,15,4,11,5,9.5
ID_2019_4,60,3,18,15,3,11,5,9.5
ID_2019_4,134,3,19,15,2,8,5,9.5
ID_2019_4,202,3,20,15,1,9.5,5,9.5
ID_2019_4,34,4,1,16,4,14,5,8
ID_2019_4,97,4,2,16,3,6,5,8
ID_2019_4,56,4,3,16,2,8,5,8
ID_2019_4,23,4,4,16,1,5.5,5,8
ID_2019_4,202,4,5,17,4,8,5,8
ID_2019_4,129,4,6,17,3,7,5,8
ID_2019_4,187,4,7,17,2,8,5,8
ID_2019_4,111,4,8,17,1,6,5,8
ID_2019_4,76,4,9,18,4,6,5,8
ID_2019_4,158,4,10,18,3,7.5,5,8
ID_2019_4,201,4,11,18,2,5,5,8
ID_2019_4,39,4,12,18,1,5,5,8
ID_2019_4,87,4,13,19,4,10,5,8
ID_2019_4,172,4,14,19,3,6.5,5,8
ID_2019_4,157,4,15,19,2,10,5,8
ID_2019_4,169,4,16,19,1,12,5,8
ID_2019_4,177,4,17,20,4,7.5,5,8
ID_2019_4,22,4,18,20,3,8,5,8
ID_2019_4,61,4,19,20,2,11,5,8
ID_2019_4,180,4,20,20,1,8,5,8
ID_2019_4,152,5,1,21,4,6,6,7.5
ID_2019_4,202,5,2,21,3,7.5,6,7.5
ID_2019_4,148,5,3,21,2,7,6,7.5
ID_2019_4,201,5,4,21,1,6,6,7.5
ID_2019_4,85,5,5,22,4,5,6,7.5
ID_2019_4,193,5,6,22,3,10,6,7.5
ID_2019_4,79,5,7,22,2,6,6,7.5
ID_2019_4,89,5,8,22,1,7,6,7.5
ID_2019_4,2,5,9,23,4,11,6,7.5
ID_2019_4,73,5,10,23,3,10,6,7.5
ID_2019_4,196,5,11,23,2,9,6,7.5
ID_2019_4,119,5,12,23,1,9,6,7.5
ID_2019_4,59,5,13,24,4,6.5,6,7.5
ID_2019_4,9,5,14,24,3,5,6,7.5
ID_2019_4,63,5,15,24,2,5,6,7.5
ID_2019_4,125,5,16,24,1,5,6,7.5
