,env,loc,year,cut,block,gen,row,col,FDR,cov1,cov2,date_init,date,harv_days1,harv_days2,harv_days3,cut_freq,cons_days,cons_days1
1,OR_2018_3,OR,2018,3,1,34,1,2,4.59756302051311,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
2,OR_2018_3,OR,2018,3,1,90,1,1,0.1,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
3,OR_2018_3,OR,2018,3,1,201,2,2,2.77519423173663,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
4,OR_2018_3,OR,2018,3,1,55,2,1,5.96433961209547,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
5,OR_2018_3,OR,2018,3,1,10,3,2,3.68637862612487,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
6,OR_2018_3,OR,2018,3,1,192,3,1,4.59756302051311,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
7,OR_2018_3,OR,2018,3,1,145,4,2,4.59756302051311,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
8,OR_2018_3,OR,2018,3,1,48,4,1,2.77519423173663,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
9,OR_2018_3,OR,2018,3,1,74,5,2,0.1,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
10,OR_2018_3,OR,2018,3,1,159,5,1,3.68637862612487,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
11,OR_2018_3,OR,2018,3,1,176,6,2,3.23078642893075,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
12,OR_2018_3,OR,2018,3,1,95,6,1,3.23078642893075,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
13,OR_2018_3,OR,2018,3,1,190,7,2,5.05315521770723,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
14,OR_2018_3,OR,2018,3,1,81,7,1,4.14197082331899,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
15,OR_2018_3,OR,2018,3,1,167,8,2,5.05315521770723,2.77519423173663,4.59756302051311,2018-01-01,2018-10-05,50,50,277,50,86,277
