"gen","loc","predicted.value","standard.error","upper.Confidence.limit","lower.Confidence.limit","est.status"
"1","ID",3.97152260442254,0.24073552486598,4.44384542812901,3.49919978071607,"Estimable"
"1","OR",5.15877140618612,0.217149298657063,5.58481808111987,4.73272473125237,"Estimable"
"1","WA",3.39643077939561,0.168148854157772,3.7263386384165,3.06652292037472,"Estimable"
"2","ID",4.23064792686615,0.239952711648697,4.70143487193805,3.75986098179424,"Estimable"
"2","OR",5.16501319036456,0.217317258858255,5.59138940302044,4.73863697770869,"Estimable"
"2","WA",3.13020315065225,0.196571805650835,3.51587680790649,2.74452949339802,"Estimable"
"3","ID",3.31618442718462,0.240829087774895,3.78869082121108,2.84367803315816,"Estimable"
"3","OR",4.74065827272369,0.217359319434815,5.16711700818254,4.31419953726484,"Estimable"
"3","WA",3.94145799177939,0.196549656299065,4.32708819203086,3.55582779152792,"Estimable"
"4","ID",2.41557838096414,0.240037930495695,2.88653252531612,1.94462423661216,"Estimable"
"4","OR",1.92716875405754,0.217097447129892,2.35311369635445,1.50122381176064,"Estimable"
"4","WA",2.0733515015009,0.196573854081676,2.4590291777741,1.6876738252277,"Estimable"
"5","ID",3.813216855743,0.239873855037432,4.28384908423404,3.34258462725197,"Estimable"
"5","OR",4.61041134201115,0.217140911072016,5.03644156051266,4.18438112350965,"Estimable"
"5","WA",2.53520367340718,0.15971530530912,2.84856491925879,2.22184242755558,"Estimable"
"6","ID",3.1850643978828,0.239962822016596,3.65587117948493,2.71425761628068,"Estimable"
"6","OR",3.94719962047807,0.217366827367224,4.37367308649169,3.52072615446445,"Estimable"
"6","WA",2.51772920360739,0.196623074905206,2.90350345107991,2.13195495613487,"Estimable"
"7","ID",3.1795295843455,0.240033335398579,3.65047471312221,2.70858445556879,"Estimable"
"7","OR",0.697789602155414,0.21736710895329,1.12426362064057,0.271315583670253,"Estimable"
"7","WA",2.73082785651555,0.196575602174869,3.11650896254558,2.34514675048551,"Estimable"
"8","ID",2.47274562380905,0.242123756017992,2.94779215544371,1.99769909217439,"Estimable"
"8","OR",0.388775263227735,0.217053905993496,0.814634777864969,-0.0370842514094979,"Estimable"
"8","WA",1.53263211262795,0.280049397908369,2.0820887101576,0.983175515098296,"Estimable"
"9","ID",2.55873547456923,0.239993589057553,3.02960262107043,2.08786832806803,"Estimable"
"9","OR",0.301546392050762,0.217317151005558,0.727922393099766,-0.124829608998241,"Estimable"
