"","env","component","Estimate","SE"
"1","ID_2018_1","VG",0.992586575043535,0.42771197248919
"2","ID_2018_1","h2",0.232149408241148,0.0740528040366944
"3","ID_2019_1","VG",1.2883338068023,0.830687293570551
"4","ID_2019_1","h2",0.455545265006442,0.186535082350874
"5","OR_2018_1","VG",0.339392170804515,0.153974485458161
"6","OR_2018_1","h2",0.164675688207245,0.0942776793344051
"7","OR_2019_1","VG",0.233917090025909,0.408277787606843
"8","OR_2019_1","h2",0.170048665485467,0.288324991340281
"9","OR_2020_1","VG",1.44858390245375,0.483248508465134
"10","OR_2020_1","h2",0.467383752554352,0.115477303206852
"11","WA_2018_1","VG",1.60000011539828e-06,0
"12","WA_2018_1","h2",7.67167235038684e-07,1.56578664397847e-07
"13","WA_2019_1","VG",0.136692987079249,0.381866425693965
"14","WA_2019_1","h2",0.11091682057907,0.343241287305054
"15","WA_2020_1","VG",1.67911669964605,0.956853139483899
"16","WA_2020_1","h2",0.527002339922403,0.154056451212987
