"","env","component","Estimate","SE"
"1","ID_2018_1","VG",0.039507513099745,0.354460810515855
"2","ID_2018_1","h2",0.0280092521967016,0.243107455060768
"3","ID_2019_1","VG",1.65415577955559,0.859243879589747
"4","ID_2019_1","h2",0.496549868801973,0.112559263686736
"5","OR_2018_1","VG",5.72336105408885e-07,0
"6","OR_2018_1","h2",4.39679129815637e-07,4.04179046304875e-08
"7","OR_2019_1","VG",0.982761627238211,0.452457469915633
"8","OR_2019_1","h2",0.398359822094903,0.106499627091389
"9","OR_2020_1","VG",0.167239060362799,0.396842880745812
"10","OR_2020_1","h2",0.131493820747981,0.270250138324247
"11","WA_2018_1","VG",1.02830440457453,0.630349490762559
"12","WA_2018_1","h2",0.319365725992733,0.114740826687416
"13","WA_2019_1","VG",1.41934667342239e-06,0
"14","WA_2019_1","h2",1.26623723580617e-06,7.34565229223237e-08
"15","WA_2019_2","VG",0.264853595075909,0.425564941048562
"16","WA_2019_2","h2",0.201182674373503,0.265158452806967
"17","WA_2020_1","VG",0.418503762785214,0.473681780467114
"18","WA_2020_1","h2",0.216027951892651,0.178925803433336
"19","WA_2020_2","VG",1.42867396191661,0.863234989833831
"20","WA_2020_2","h2",0.533340599541354,0.146867413626938
"21","WA_2020_3","VG",0.778275559181911,0.484252491890606
"22","WA_2020_3","h2",0.330130442388427,0.126922929365517
"23","WA_2020_4","VG",1.36020693979019,0.668965957551786
"24","WA_2020_4","h2",0.458157065540907,0.107391345158959
"25","WA_2020_5","VG",1.65695046606467,1.05619392339766
"26","WA_2020_5","h2",0.363937896110219,0.118176492108873
