"","env","component","Estimate","SE"
"1","ID_2019_1","VG",2.41962089721124e-07,0
"2","ID_2019_1","h2",2.23461795601864e-07,1.23086640005146e-07
"3","OR_2018_1","VG",5.17513128191511e-07,0
"4","OR_2018_1","h2",4.02103005559475e-07,2.42768823179487e-07
"5","OR_2018_3","VG",8.76934476763886,4.22533714982143
"6","OR_2018_3","h2",0.801789854216887,0.118358923717421
"7","OR_2019_1","VG",1.60000011539828e-06,0
"8","OR_2019_1","h2",1.33624528314845e-06,9.30828470660959e-07
"9","OR_2019_2","VG",1.9975338076127,0.977993581003242
"10","OR_2019_2","h2",0.629162495387878,0.443077664125899
"11","OR_2019_3","VG",1.40371948387063,0.63264723119972
"12","OR_2019_3","h2",0.479368077410253,0.363422025073615
"13","OR_2019_4","VG",14.5603177695441,5.52951865195277
"14","OR_2019_4","h2",0.924044428312737,0.0675589312870484
"15","OR_2020_2","VG",1.64855323524822,0.966319069086286
"16","OR_2020_2","h2",0.522997514842169,0.551005863967629
"17","OR_2020_3","VG",1.28557854910962,0.781708690497754
"18","OR_2020_3","h2",0.483592645896698,0.444129035254289
"19","OR_2020_4","VG",5.9517542835902,2.58433829948448
"20","OR_2020_4","h2",0.827465696552879,0.224785177163726
"21","WA_2018_1","VG",1.00722565924084,0.594794577575362
"22","WA_2018_1","h2",0.387316392733874,0.26315912333634
"23","WA_2018_3","VG",0.421505007679918,0.349418213257472
"24","WA_2018_3","h2",0.210106139387316,0.428622371255345
"25","WA_2019_1","VG",0.417868013354442,0.371432159868857
"26","WA_2019_1","h2",0.23615966291976,0.374800446975197
"27","WA_2019_2","VG",5.95145895662626,2.39454876536526
"28","WA_2019_2","h2",0.85333335353075,0.121505987745301
"29","WA_2019_3","VG",2.14730974568237,0.858274859212618
"30","WA_2019_3","h2",0.585449608498201,0.24312605551411
"31","WA_2019_4","VG",2.99129791448951,1.08590744295382
"32","WA_2019_4","h2",0.61292515209477,0.217157100175403
"33","WA_2019_5","VG",1.82720485122592,0.586275151779956
"34","WA_2019_5","h2",0.501717933267673,0.235846777780945
"35","WA_2020_1","VG",3.68348205272983e-07,0
"36","WA_2020_1","h2",3.05656911150357e-07,2.02570428413157e-07
"37","WA_2020_2","VG",1.98873349170203,0.847413430826705
"38","WA_2020_2","h2",0.530754437469786,0.221936971273653
"39","WA_2020_3","VG",1.79679751939143,0.752661532024173
"40","WA_2020_3","h2",0.518380923962634,0.220447853106777
"41","WA_2020_4","VG",3.86701318087709,1.86264546889834
"42","WA_2020_4","h2",0.627645597031796,0.163446404827924
"43","WA_2020_5","VG",2.36676750705722,1.04070820843892
"44","WA_2020_5","h2",0.451153797600088,0.136619283597525
