"","env","component","Estimate","SE"
"1","ID_2018_1","VG",1.01192894248423e-07,0
"2","ID_2018_1","h2",8.2809953429781e-08,5.90252716620666e-09
"3","ID_2018_2","VG",0.404829904451987,0.453568743385711
"4","ID_2018_2","h2",0.261806166291043,0.261684014089852
"5","ID_2018_3","VG",0.777286603332588,0.58804727196479
"6","ID_2018_3","h2",0.388578781898275,0.185811485452086
"7","ID_2019_1","VG",0.164567612693832,0.3890087975091
"8","ID_2019_1","h2",0.153399685569492,0.346091988340441
"9","ID_2019_2","VG",1.31379938308357,0.820603547065324
"10","ID_2019_2","h2",0.553736058858297,0.170565387702909
"11","ID_2019_3","VG",0.993823361795639,0.528915890299608
"12","ID_2019_3","h2",0.417620675098879,0.129458837257355
"13","ID_2019_4","VG",1.78641549905123,0.8563466417154
"14","ID_2019_4","h2",0.586225535087469,0.129877719540595
"15","OR_2018_1","VG",1.02423862485242,0.372391161377412
"16","OR_2018_1","h2",0.321610531247355,0.0772831669949179
"17","OR_2018_2","VG",0.0656547600069072,0.299497261391375
"18","OR_2018_2","h2",0.0479990082197743,0.20896320941859
"19","OR_2018_3","VG",3.30791413130934,1.51014548353188
"20","OR_2018_3","h2",0.689724546805651,0.0943268206991676
"21","OR_2019_1","VG",0.949773746038232,0.39310666928258
"22","OR_2019_1","h2",0.379123724634947,0.103021493440757
"23","OR_2019_2","VG",2.25529280170079,1.15664734378487
"24","OR_2019_2","h2",0.704234415534701,0.122700230516868
"25","OR_2019_3","VG",0.376065008800215,0.431846544527991
"26","OR_2019_3","h2",0.229918534869606,0.199651535295996
"27","OR_2019_4","VG",0.939091992394534,0.672275765563997
"28","OR_2019_4","h2",0.481307059669582,0.191744147727386
"29","OR_2020_1","VG",0.292295636875478,0.426810125387585
"30","OR_2020_1","h2",0.187846845469469,0.24159206647189
"31","OR_2020_2","VG",3.64619738759867,1.47628126358639
"32","OR_2020_2","h2",0.562012560661698,0.0864133943685348
"33","OR_2020_3","VG",0.932374110036478,0.570551435270605
"34","OR_2020_3","h2",0.358377964181873,0.126232114568561
"35","OR_2020_4","VG",2.98912455893336,1.55434273402282
"36","OR_2020_4","h2",0.606982265209085,0.112734772099744
"37","WA_2018_1","VG",0.498416150646845,0.16579494877967
"38","WA_2018_1","h2",0.209635250088227,0.0671784063155823
"39","WA_2018_2","VG",1.08597381273681,0.403155695313874
"40","WA_2018_2","h2",0.360615880223465,0.104722036746273
"41","WA_2018_3","VG",0.381831482634354,0.168900647350725
"42","WA_2018_3","h2",0.164169449785375,0.0824995889931392
"43","WA_2019_1","VG",1.27150896143566,0.399612428887652
"44","WA_2019_1","h2",0.410952376942037,0.0943470711127037
"45","WA_2019_2","VG",1.32566353157925,0.61743706673418
"46","WA_2019_2","h2",0.477459241721536,0.123955745721808
"47","WA_2019_3","VG",1.03183899411038,0.345942227376746
"48","WA_2019_3","h2",0.355304998844441,0.0879346993529946
"49","WA_2019_4","VG",0.41474301580655,0.142351094254116
"50","WA_2019_4","h2",0.182256624635338,0.0575501629795774
"51","WA_2019_5","VG",0.58095028374073,0.198776208229208
"52","WA_2019_5","h2",0.23453772292271,0.0700860635371131
"53","WA_2020_1","VG",2.04711986434485,0.694275512317343
"54","WA_2020_1","h2",0.519465838052765,0.115495741804451
"55","WA_2020_2","VG",2.78964209223344,0.978694574838161
"56","WA_2020_2","h2",0.598205421575893,0.102419026192518
"57","WA_2020_3","VG",1.6045058090984,0.638857630118987
"58","WA_2020_3","h2",0.452549275151951,0.118286621527622
"59","WA_2020_4","VG",0.575350603704427,0.242351598587461
"60","WA_2020_4","h2",0.228442783042253,0.0958495162786318
"61","WA_2020_5","VG",0.385974418545389,0.190637302087259
"62","WA_2020_5","h2",0.16522605847429,0.0903703512699903
