Trait,Env,VG,H2
MSC,ID_2018_1,3.95E-02,2.80E-02
MSC,ID_2019_1,1.65E+00,4.97E-01
MSC,OR_2018_1,5.72E-07,4.40E-07
MSC,OR_2019_1,9.83E-01,3.98E-01
MSC,OR_2020_1,1.67E-01,1.31E-01
MSC,WA_2018_1,1.03E+00,3.19E-01
MSC,WA_2019_1,1.42E-06,1.27E-06
MSC,WA_2019_2,2.65E-01,2.01E-01
MSC,WA_2020_1,4.19E-01,2.16E-01
MSC,WA_2020_2,1.43E+00,5.33E-01
MSC,WA_2020_3,7.78E-01,3.30E-01
MSC,WA_2020_4,1.36E+00,4.58E-01
MSC,WA_2020_5,1.66E+00,3.64E-01
DM,ID_2018_1,9.93E-01,2.32E-01
DM,ID_2019_1,1.29E+00,4.56E-01
DM,OR_2018_1,3.39E-01,1.65E-01
DM,OR_2019_1,2.34E-01,1.70E-01
DM,OR_2020_1,1.45E+00,4.67E-01
DM,WA_2018_1,1.60E-06,7.67E-07
DM,WA_2019_1,1.37E-01,1.11E-01
DM,WA_2020_1,1.68E+00,5.27E-01
PH,ID_2019_1,2.42E-07,2.23E-07
PH,OR_2018_1,5.18E-07,4.02E-07
PH,OR_2019_1,1.60E-06,1.34E-06
PH,OR_2019_2,2.00E+00,6.29E-01
PH,OR_2019_3,1.40E+00,4.79E-01
PH,OR_2020_2,1.65E+00,5.23E-01
PH,OR_2020_3,1.29E+00,4.84E-01
PH,WA_2018_1,1.01E+00,3.87E-01
PH,WA_2018_3,4.22E-01,2.10E-01
PH,WA_2019_1,4.18E-01,2.36E-01
PH,WA_2019_2,5.95E+00,8.53E-01
PH,WA_2019_3,2.15E+00,5.85E-01
PH,WA_2019_4,2.99E+00,6.13E-01
PH,WA_2019_5,1.83E+00,5.02E-01
PH,WA_2020_1,3.68E-07,3.06E-07
PH,WA_2020_2,1.99E+00,5.31E-01
PH,WA_2020_3,1.80E+00,5.18E-01
PH,WA_2020_4,3.87E+00,6.28E-01
PH,WA_2020_5,2.37E+00,4.51E-01
FD,ID_2019_4,6.92E-01,4.46E-01
FD,OR_2018_3,8.77E+00,8.02E-01
FD,OR_2019_4,1.46E+01,9.24E-01
FD,OR_2020_4,5.95E+00,8.27E-01
FD,WA_2018_3,6.92E-01,4.46E-01
FD,WA_2019_5,6.92E-01,4.46E-01
Yi,ID_2018_1,1.01E-07,8.28E-08
Yi,ID_2018_2,4.05E-01,2.62E-01
Yi,ID_2018_3,7.77E-01,3.89E-01
Yi,ID_2019_1,1.65E-01,1.53E-01
Yi,ID_2019_2,1.31E+00,5.54E-01
Yi,ID_2019_3,9.94E-01,4.18E-01
Yi,ID_2019_4,1.79E+00,5.86E-01
Yi,OR_2018_1,1.02E+00,3.22E-01
Yi,OR_2018_2,6.57E-02,4.80E-02
Yi,OR_2018_3,3.31E+00,6.90E-01
Yi,OR_2019_1,9.50E-01,3.79E-01
Yi,OR_2019_2,2.26E+00,7.04E-01
Yi,OR_2019_3,3.76E-01,2.30E-01
Yi,OR_2019_4,9.39E-01,4.81E-01
Yi,OR_2020_1,2.92E-01,1.88E-01
Yi,OR_2020_2,3.65E+00,5.62E-01
Yi,OR_2020_3,9.32E-01,3.58E-01
Yi,OR_2020_4,2.99E+00,6.07E-01
Yi,WA_2018_1,4.98E-01,2.10E-01
Yi,WA_2018_2,1.09E+00,3.61E-01
Yi,WA_2018_3,3.82E-01,1.64E-01
Yi,WA_2019_1,1.27E+00,4.11E-01
Yi,WA_2019_2,1.33E+00,4.77E-01
Yi,WA_2019_3,1.03E+00,3.55E-01
Yi,WA_2019_4,4.15E-01,1.82E-01
Yi,WA_2019_5,5.81E-01,2.35E-01
Yi,WA_2020_1,2.05E+00,5.19E-01
Yi,WA_2020_2,2.79E+00,5.98E-01
Yi,WA_2020_3,1.60E+00,4.53E-01
Yi,WA_2020_4,5.75E-01,2.28E-01
Yi,WA_2020_5,3.86E-01,1.65E-01
Yi,ID_2018_T,1.65E-01,1.16E-01
Yi,ID_2019_T,1.56E+00,5.71E-01
Yi,OR_2018_T,1.68E+00,5.05E-01
Yi,OR_2019_T,2.40E+00,7.34E-01
Yi,OR_2020_T,1.63E+00,4.56E-01
Yi,WA_2018_T,5.78E-01,2.31E-01
Yi,WA_2019_T,1.81E+00,4.91E-01
Yi,WA_2020_T,2.50E+00,5.60E-01
