"","Env","DM","FD","MSC","PH","Yi"
"1","ID_2018_1",0.232,NA,0.028,NA,8.28e-08
"2","ID_2018_2",NA,NA,NA,NA,0.262
"3","ID_2018_3",NA,NA,NA,NA,0.389
"4","ID_2018_T",NA,NA,NA,NA,0.116
"5","ID_2019_1",0.456,NA,0.497,2.23e-07,0.153
"6","ID_2019_2",NA,NA,NA,NA,0.554
"7","ID_2019_3",NA,NA,NA,NA,0.418
"8","ID_2019_4",NA,0.446,NA,NA,0.586
"9","ID_2019_T",NA,NA,NA,NA,0.571
"10","OR_2018_1",0.165,NA,4.4e-07,4.02e-07,0.322
"11","OR_2018_2",NA,NA,NA,NA,0.048
"12","OR_2018_3",NA,0.802,NA,NA,0.69
"13","OR_2018_T",NA,NA,NA,NA,0.505
"14","OR_2019_1",0.17,NA,0.398,1.34e-06,0.379
"15","OR_2019_2",NA,NA,NA,0.629,0.704
"16","OR_2019_3",NA,NA,NA,0.479,0.23
"17","OR_2019_4",NA,0.924,NA,NA,0.481
"18","OR_2019_T",NA,NA,NA,NA,0.734
"19","OR_2020_1",0.467,NA,0.131,NA,0.188
"20","OR_2020_2",NA,NA,NA,0.523,0.562
"21","OR_2020_3",NA,NA,NA,0.484,0.358
"22","OR_2020_4",NA,0.827,NA,NA,0.607
"23","OR_2020_T",NA,NA,NA,NA,0.456
"24","WA_2018_1",7.67e-07,NA,0.319,0.387,0.21
"25","WA_2018_2",NA,NA,NA,NA,0.361
"26","WA_2018_3",NA,0.446,NA,0.21,0.164
"27","WA_2018_T",NA,NA,NA,NA,0.231
"28","WA_2019_1",0.111,NA,1.27e-06,0.236,0.411
"29","WA_2019_2",NA,NA,0.201,0.853,0.477
"30","WA_2019_3",NA,NA,NA,0.585,0.355
"31","WA_2019_4",NA,NA,NA,0.613,0.182
"32","WA_2019_5",NA,0.446,NA,0.502,0.235
"33","WA_2019_T",NA,NA,NA,NA,0.491
"34","WA_2020_1",0.527,NA,0.216,3.06e-07,0.519
"35","WA_2020_2",NA,NA,0.533,0.531,0.598
"36","WA_2020_3",NA,NA,0.33,0.518,0.453
"37","WA_2020_4",NA,NA,0.458,0.628,0.228
"38","WA_2020_5",NA,NA,0.364,0.451,0.165
"39","WA_2020_T",NA,NA,NA,NA,0.56
