trait,fixedDF,varDF,NBound,AIC,BIC,loglik,model,trait1
ID_2018_1,0,1,3,4.65842504722861,5.54879680512477,-1.3292125236143,sar_sar,DM
ID_2018_1,0,1,2,6.00530342305651,6.89567518095267,-2.00265171152826,ar1_id,DM
ID_2018_1,0,2,2,3.16827257318466,4.94901608897699,0.415863713407671,ar1_ar1,DM
ID_2019_1,0,1,3,19.8305574821542,20.7209292400504,-8.91527874107711,sar_sar,DM
ID_2019_1,0,1,2,21.0699347079799,21.9603064658761,-9.53496735398994,ar1_id,DM
ID_2019_1,0,2,2,19.3624084652922,21.1431519810846,-7.68120423264612,ar1_ar1,DM
OR_2018_1,0,1,3,29.5274228920336,30.4177946499298,-13.7637114460168,sar_sar,DM
OR_2018_1,0,2,1,33.3945494027143,35.1752929185067,-14.6972747013572,ar1_id,DM
OR_2018_1,0,2,2,31.5986195923003,33.3793631080927,-13.7993097961502,ar1_ar1,DM
OR_2019_1,0,1,3,23.2195609132478,24.109932671144,-10.6097804566239,sar_sar,DM
OR_2019_1,0,2,1,25.7834344757527,27.564177991545,-10.8917172378763,ar1_id,DM
OR_2019_1,0,2,2,16.8788165796728,18.6595600954651,-6.43940828983641,ar1_ar1,DM
OR_2020_1,0,2,2,31.6432724878996,33.4240160036919,-13.8216362439498,sar_sar,DM
OR_2020_1,0,2,1,32.4640535994179,34.2447971152102,-14.2320267997089,ar1_id,DM
OR_2020_1,0,2,2,31.8716296070797,33.6523731228721,-13.9358148035399,ar1_ar1,DM
WA_2018_1,0,1,3,30.8633073977033,31.7536791555994,-14.4316536988516,sar_sar,DM
WA_2018_1,0,2,1,36.1349576476037,37.9157011633961,-16.0674788238019,ar1_id,DM
WA_2018_1,0,2,2,31.4410962327124,33.2218397485047,-13.7205481163562,ar1_ar1,DM
WA_2019_1,0,1,3,33.4502627312155,34.3406344891116,-15.7251313656077,sar_sar,DM
WA_2019_1,0,2,1,41.1579133607099,42.9386568765023,-18.578956680355,ar1_id,DM
WA_2019_1,0,2,2,30.1990112044863,31.9797547202787,-13.0995056022432,ar1_ar1,DM
WA_2020_1,0,2,2,11.486006000048,13.2667495158403,-3.74300300002399,sar_sar,DM
WA_2020_1,0,2,1,12.6638597840969,14.4446032998893,-4.33192989204847,ar1_id,DM
WA_2020_1,0,3,1,13.4226672214688,16.0937824951573,-3.71133361073441,ar1_ar1,DM
ID_2019_1,0,1,3,44.5956524289554,45.4860241868515,-21.2978262144777,sar_sar,He
ID_2019_1,0,2,1,46.2672601471493,48.0480036629417,-21.1336300735747,ar1_id,He
ID_2019_1,0,2,2,46.3609575817016,48.1417010974939,-21.1804787908508,ar1_ar1,He
