trait,model,DM,FD,He,MS,Yi
ID_2018_1,ar1_ar1,3.16827257318466,NA,NA,-19.8655403072715,14.0830161817425
ID_2018_1,ar1_id,6.00530342305651,NA,NA,-22.8205695457013,14.0191496518505
ID_2018_1,sar_sar,4.65842504722861,NA,NA,-21.8225065619998,12.0129684074229
ID_2018_2,ar1_ar1,NA,NA,NA,NA,18.2117768986769
ID_2018_2,ar1_id,NA,NA,NA,NA,20.0694133577776
ID_2018_2,sar_sar,NA,NA,NA,NA,14.8878610589386
ID_2018_3,ar1_ar1,NA,NA,NA,NA,-4.57213797131789
ID_2018_3,ar1_id,NA,NA,NA,NA,-5.01867558186682
ID_2018_3,sar_sar,NA,NA,NA,NA,-8.51145091718382
ID_2019_1,ar1_ar1,19.3624084652922,NA,46.3609575817016,-57.4298698904046,12.0903022965872
ID_2019_1,ar1_id,21.0699347079799,NA,46.2672601471493,-54.2917192072126,12.0851332494031
ID_2019_1,sar_sar,19.8305574821542,NA,44.5956524289554,-56.0918484684566,12.3549625911245
ID_2019_2,ar1_ar1,NA,NA,NA,NA,-4.3647872451976
ID_2019_2,ar1_id,NA,NA,NA,NA,-5.97449675540984
ID_2019_2,sar_sar,NA,NA,NA,NA,-4.49652905707254
ID_2019_3,ar1_ar1,NA,NA,NA,NA,-14.4445698009816
ID_2019_3,ar1_id,NA,NA,NA,NA,-16.4245386179423
ID_2019_3,sar_sar,NA,NA,NA,NA,-19.7024946606405
ID_2019_4,ar1_ar1,NA,50.5102384912623,NA,NA,0.0831981917279663
ID_2019_4,ar1_id,NA,51.6685239495953,NA,NA,-3.41992466357201
ID_2019_4,sar_sar,NA,46.1895732137798,NA,NA,-2.26884143339432
OR_2018_1,ar1_ar1,31.5986195923003,NA,68.095495940728,-36.377628271811,-29.7661052559717
OR_2018_1,ar1_id,33.3945494027143,NA,71.1661951446822,-31.2493266395976,-20.7884555816404
OR_2018_1,sar_sar,29.5274228920336,NA,65.307627001526,-30.3141788212275,-8.8976618512961
OR_2018_2,ar1_ar1,NA,NA,NA,NA,-1.83822376729898
OR_2018_2,ar1_id,NA,NA,NA,NA,-0.344850727393421
OR_2018_2,sar_sar,NA,NA,NA,NA,-4.89113272025294
OR_2018_3,ar1_ar1,NA,NA,16.8946307507302,NA,-16.0791821612404
OR_2018_3,ar1_id,NA,NA,25.0736973126172,NA,-15.7700573407391
OR_2018_3,sar_sar,NA,NA,26.441330045116,NA,-16.3082594290019
OR_2019_1,ar1_ar1,16.8788165796728,NA,54.3573996077249,-38.2051023058633,9.24256435223892
