trait,fixedDF,varDF,NBound,AIC,BIC,loglik,model
MS,0,13,1,-1953.91621678005,-1878.05882796158,989.958108390024,Diag
MS,0,91,1,-2025.7207218666,-1494.71900013732,1103.8603609333,CORGH
MS,0,26,1,-2009.76512871989,-1858.05035108295,1030.88256435995,FA_1
MS,0,38,2,-2046.76756121113,-1825.030578511,1061.38378060557,FA_2
DM,0,8,1,3031.25702848709,3074.14294771156,-1507.62851424355,Diag
DM,0,36,1,2925.92673603053,3118.91337254063,-1426.96336801526,CORGH
DM,0,16,1,2916.12504021589,3001.89687866482,-1442.06252010795,FA_1
DM,0,22,3,2906.82869464245,3024.76497250973,-1431.41434732122,FA_2
He,0,22,1,15714.6915081279,15854.6901735884,-7835.34575406393,Diag
He,0,253,1,13304.4183294705,14914.4029822664,-6399.20916473523,CORGH
He,0,44,1,13394.1220942731,13674.1194251942,-6653.06104713656,FA_1
He,0,65,2,13271.0006803963,13684.6331010751,-6570.50034019814,FA_2
Yi,0,31,1,4271.14284703799,4479.15671978498,-2104.57142351899,Diag
Yi,0,460,37,1509.99521539916,4596.65268196737,-294.997607699578,CORGH
Yi,0,58,5,1799.19459600072,2188.38184178541,-841.59729800036,FA_1
Yi,0,88,6,1347.73681809186,1938.22781169621,-585.868409045928,FA_2
FD,0,3,1,2242.57511561104,2255.70529645474,-1118.28755780552,Diag
FD,0,6,1,2081.99908382528,2108.25944551267,-1034.99954191264,CORGH
FD,0,6,1,2081.99908380366,2108.25944549105,-1034.99954190183,FA_1
