trait,fixedDF,varDF,NBound,AIC,BIC,loglik,model
MS,0,13,1,-1937.1503188399,-1861.29293002144,981.575159419952,Diag
MS,0,1,1,-1575.90599409695,-1570.07081034168,788.952997048473,US
MS,0,26,1,-1994.95083795972,-1843.23606032279,1023.47541897986,FA_1
MS,0,38,2,-2034.98081347523,-1813.24383077509,1055.49040673761,FA_2
DM,0,8,1,3121.29026702068,3164.17618624515,-1552.64513351034,Diag
DM,0,1,1,3192.48044100052,3197.84118090358,-1595.24022050026,US
DM,0,16,1,3015.6374053924,3101.40924384133,-1491.8187026962,FA_1
DM,0,22,3,3011.47082094409,3129.40709881138,-1483.73541047205,FA_2
He,0,19,1,13359.4729716189,13477.5632338387,-6660.73648580947,Diag
He,0,1,1,13625.2895888133,13631.5048657722,-6811.64479440664,US
He,0,38,1,11654.3460512642,11890.5265757038,-5789.17302563212,FA_1
He,0,56,2,11616.1288291753,11964.1843388757,-5752.06441458764,FA_2
Yi,0,31,1,4159.56154574984,4367.57541849683,-2048.78077287492,Diag
Yi,0,1,1,4818.42808807888,4825.13821300621,-2408.21404403944,US
Yi,0,62,1,1737.85588474725,2153.88363024122,-806.927942373623,FA_1
Yi,0,91,3,1355.626295814,1966.24766420032,-586.813147906998,FA_2
FD,0,6,1,2178.85505563339,2209.28958703662,-1083.4275278167,Diag
FD,0,1,1,2376.87242616373,2381.94484806427,-1187.43621308186,US
FD,0,12,1,1528.00655812422,1588.87562093067,-752.003279062112,FA_1
FD,0,17,2,1470.00247615695,1556.23364846609,-718.001238078477,FA_2
