env,block,id,row,col,resp,cov1,cov2
ID_2018_1,1,103,1,1,2.3,1.5,2.2
ID_2018_1,1,202,1,2,2.2,1.5,2.2
ID_2018_1,1,132,1,3,2.3,1.5,2.2
ID_2018_1,1,80,1,4,2,1.5,2.2
ID_2018_1,1,154,2,1,1.8,1.5,2.2
ID_2018_1,1,43,2,2,1.9,1.5,2.2
ID_2018_1,1,104,2,3,1.8,1.5,2.2
ID_2018_1,1,201,2,4,1.5,1.5,2.2
ID_2018_1,1,48,3,1,2.5,1.5,2.2
ID_2018_1,1,91,3,2,1.8,1.5,2.2
ID_2018_1,1,78,3,3,2.4,1.5,2.2
ID_2018_1,1,40,3,4,2.1,1.5,2.2
ID_2018_1,1,16,4,1,2.3,1.5,2.2
ID_2018_1,1,110,4,2,2.4,1.5,2.2
ID_2018_1,1,178,4,3,1.8,1.5,2.2
ID_2018_1,1,72,4,4,2.2,1.5,2.2
ID_2018_1,1,166,5,1,1.9,1.5,2.2
ID_2018_1,1,130,5,2,2,1.5,2.2
ID_2018_1,1,51,5,3,2,1.5,2.2
ID_2018_1,1,44,5,4,2.1,1.5,2.2
ID_2018_1,2,6,6,1,2.4,2.2,1.8
ID_2018_1,2,201,6,2,2.2,2.2,1.8
ID_2018_1,2,15,6,3,2,2.2,1.8
ID_2018_1,2,54,6,4,2.4,2.2,1.8
ID_2018_1,2,126,7,1,2.6,2.2,1.8
ID_2018_1,2,179,7,2,2,2.2,1.8
ID_2018_1,2,100,7,3,2,2.2,1.8
ID_2018_1,2,33,7,4,2.2,2.2,1.8
ID_2018_1,2,144,8,1,2.2,2.2,1.8
ID_2018_1,2,28,8,2,1.4,2.2,1.8
ID_2018_1,2,174,8,3,2,2.2,1.8
ID_2018_1,2,92,8,4,3.2,2.2,1.8
ID_2018_1,2,68,9,1,2,2.2,1.8
ID_2018_1,2,90,9,2,1.8,2.2,1.8
ID_2018_1,2,66,9,3,2.2,2.2,1.8
ID_2018_1,2,202,9,4,1.8,2.2,1.8
ID_2018_1,2,164,10,1,1.9,2.2,1.8
ID_2018_1,2,168,10,2,2.4,2.2,1.8
ID_2018_1,2,102,10,3,2.2,2.2,1.8
ID_2018_1,2,149,10,4,1.8,2.2,1.8
ID_2018_1,3,109,11,1,1.8,2,2.4
ID_2018_1,3,147,11,2,2,2,2.4
ID_2018_1,3,159,11,3,2,2,2.4
ID_2018_1,3,186,11,4,2.2,2,2.4
ID_2018_1,3,127,12,1,2.2,2,2.4
ID_2018_1,3,161,12,2,1.9,2,2.4
ID_2018_1,3,75,12,3,2,2,2.4
ID_2018_1,3,29,12,4,2,2,2.4
ID_2018_1,3,151,13,1,2.6,2,2.4
ID_2018_1,3,41,13,2,2,2,2.4
ID_2018_1,3,155,13,3,2.4,2,2.4
ID_2018_1,3,120,13,4,2,2,2.4
ID_2018_1,3,108,14,1,2.3,2,2.4
ID_2018_1,3,195,14,2,2,2,2.4
ID_2018_1,3,201,14,3,2,2,2.4
ID_2018_1,3,150,14,4,1.9,2,2.4
ID_2018_1,3,202,15,1,2.4,2,2.4
ID_2018_1,3,134,15,2,2,2,2.4
ID_2018_1,3,60,15,3,1.8,2,2.4
ID_2018_1,3,162,15,4,2.1,2,2.4
ID_2018_1,4,23,16,1,2.1,2.3,2.2
ID_2018_1,4,56,16,2,1.8,2.3,2.2
ID_2018_1,4,97,16,3,1.5,2.3,2.2
ID_2018_1,4,34,16,4,1.9,2.3,2.2
ID_2018_1,4,111,17,1,1.8,2.3,2.2
ID_2018_1,4,187,17,2,2.5,2.3,2.2
ID_2018_1,4,129,17,3,2,2.3,2.2
ID_2018_1,4,202,17,4,2.2,2.3,2.2
ID_2018_1,4,39,18,1,2.2,2.3,2.2
ID_2018_1,4,201,18,2,2.3,2.3,2.2
ID_2018_1,4,158,18,3,1.5,2.3,2.2
ID_2018_1,4,76,18,4,2.1,2.3,2.2
ID_2018_1,4,169,19,1,1.2,2.3,2.2
ID_2018_1,4,157,19,2,3,2.3,2.2
ID_2018_1,4,172,19,3,2.8,2.3,2.2
