env,loc,year,cut,block,id,position,row,col,resp,cov1,cov2
ID_2018_1,ID,2018,1,1,103,4,1,1,2.83,2.87,3.17
ID_2018_1,ID,2018,1,1,202,3,1,2,3.17,2.87,3.17
ID_2018_1,ID,2018,1,1,132,2,1,3,3.41,2.87,3.17
ID_2018_1,ID,2018,1,1,80,1,1,4,2.54,2.87,3.17
ID_2018_1,ID,2018,1,1,154,8,2,1,2.69,2.87,3.17
ID_2018_1,ID,2018,1,1,43,7,2,2,2.29,2.87,3.17
ID_2018_1,ID,2018,1,1,104,6,2,3,2.65,2.87,3.17
ID_2018_1,ID,2018,1,1,201,5,2,4,2.87,2.87,3.17
ID_2018_1,ID,2018,1,1,48,12,3,1,2.92,2.87,3.17
ID_2018_1,ID,2018,1,1,91,11,3,2,3.49,2.87,3.17
ID_2018_1,ID,2018,1,1,78,10,3,3,2.95,2.87,3.17
ID_2018_1,ID,2018,1,1,40,9,3,4,2.65,2.87,3.17
ID_2018_1,ID,2018,1,1,16,16,4,1,3.19,2.87,3.17
ID_2018_1,ID,2018,1,1,110,15,4,2,3.69,2.87,3.17
ID_2018_1,ID,2018,1,1,178,14,4,3,2.57,2.87,3.17
ID_2018_1,ID,2018,1,1,72,13,4,4,2.88,2.87,3.17
ID_2018_1,ID,2018,1,1,166,20,5,1,2.84,2.87,3.17
ID_2018_1,ID,2018,1,1,130,19,5,2,2.77,2.87,3.17
ID_2018_1,ID,2018,1,1,51,18,5,3,2.66,2.87,3.17
ID_2018_1,ID,2018,1,1,44,17,5,4,2.05,2.87,3.17
ID_2018_1,ID,2018,1,2,6,4,6,1,2.45,3.05,3.84
ID_2018_1,ID,2018,1,2,201,3,6,2,3.05,3.05,3.84
ID_2018_1,ID,2018,1,2,15,2,6,3,2.97,3.05,3.84
ID_2018_1,ID,2018,1,2,54,1,6,4,2.31,3.05,3.84
ID_2018_1,ID,2018,1,2,126,8,7,1,3.53,3.05,3.84
ID_2018_1,ID,2018,1,2,179,7,7,2,1.68,3.05,3.84
ID_2018_1,ID,2018,1,2,100,6,7,3,2.21,3.05,3.84
ID_2018_1,ID,2018,1,2,33,5,7,4,2.73,3.05,3.84
ID_2018_1,ID,2018,1,2,144,12,8,1,2.54,3.05,3.84
ID_2018_1,ID,2018,1,2,28,11,8,2,2.11,3.05,3.84
ID_2018_1,ID,2018,1,2,174,10,8,3,3.77,3.05,3.84
ID_2018_1,ID,2018,1,2,92,9,8,4,2.78,3.05,3.84
ID_2018_1,ID,2018,1,2,68,16,9,1,2.52,3.05,3.84
ID_2018_1,ID,2018,1,2,90,15,9,2,2.91,3.05,3.84
ID_2018_1,ID,2018,1,2,66,14,9,3,2.54,3.05,3.84
ID_2018_1,ID,2018,1,2,202,13,9,4,3.84,3.05,3.84
ID_2018_1,ID,2018,1,2,164,20,10,1,4,3.05,3.84
