env,loc,year,cut,block,id,position,row,col,resp,cov1,cov2
ID_2019_4,ID,2019,4,1,103,4,1,1,10,8,11
ID_2019_4,ID,2019,4,1,202,3,1,2,11,8,11
ID_2019_4,ID,2019,4,1,132,2,1,3,6,8,11
ID_2019_4,ID,2019,4,1,80,1,1,4,7,8,11
ID_2019_4,ID,2019,4,1,154,8,2,1,8,8,11
ID_2019_4,ID,2019,4,1,43,7,2,2,6,8,11
ID_2019_4,ID,2019,4,1,104,6,2,3,16,8,11
ID_2019_4,ID,2019,4,1,201,5,2,4,8,8,11
ID_2019_4,ID,2019,4,1,48,12,3,1,7,8,11
ID_2019_4,ID,2019,4,1,91,11,3,2,12,8,11
ID_2019_4,ID,2019,4,1,78,10,3,3,7,8,11
ID_2019_4,ID,2019,4,1,40,9,3,4,6.5,8,11
ID_2019_4,ID,2019,4,1,16,16,4,1,5.5,8,11
ID_2019_4,ID,2019,4,1,110,15,4,2,18.5,8,11
ID_2019_4,ID,2019,4,1,178,14,4,3,11,8,11
ID_2019_4,ID,2019,4,1,72,13,4,4,5.5,8,11
ID_2019_4,ID,2019,4,1,166,20,5,1,22,8,11
ID_2019_4,ID,2019,4,1,130,19,5,2,8,8,11
ID_2019_4,ID,2019,4,1,51,18,5,3,7,8,11
ID_2019_4,ID,2019,4,1,44,17,5,4,5.5,8,11
ID_2019_4,ID,2019,4,2,6,4,6,1,8.5,8,7
ID_2019_4,ID,2019,4,2,201,3,6,2,8,8,7
ID_2019_4,ID,2019,4,2,15,2,6,3,7,8,7
ID_2019_4,ID,2019,4,2,54,1,6,4,13,8,7
ID_2019_4,ID,2019,4,2,126,8,7,1,5,8,7
ID_2019_4,ID,2019,4,2,179,7,7,2,7.5,8,7
ID_2019_4,ID,2019,4,2,100,6,7,3,5,8,7
ID_2019_4,ID,2019,4,2,33,5,7,4,5,8,7
ID_2019_4,ID,2019,4,2,144,12,8,1,6.5,8,7
ID_2019_4,ID,2019,4,2,28,11,8,2,5.5,8,7
ID_2019_4,ID,2019,4,2,174,10,8,3,7,8,7
ID_2019_4,ID,2019,4,2,92,9,8,4,16,8,7
ID_2019_4,ID,2019,4,2,68,16,9,1,5,8,7
ID_2019_4,ID,2019,4,2,90,15,9,2,5.5,8,7
ID_2019_4,ID,2019,4,2,66,14,9,3,12,8,7
ID_2019_4,ID,2019,4,2,202,13,9,4,7,8,7
ID_2019_4,ID,2019,4,2,164,20,10,1,8,8,7
ID_2019_4,ID,2019,4,2,168,19,10,2,18,8,7
ID_2019_4,ID,2019,4,2,102,18,10,3,12,8,7
ID_2019_4,ID,2019,4,2,149,17,10,4,8,8,7
ID_2019_4,ID,2019,4,3,109,4,11,1,9,5,9.5
ID_2019_4,ID,2019,4,3,147,3,11,2,10,5,9.5
ID_2019_4,ID,2019,4,3,159,2,11,3,7.5,5,9.5
ID_2019_4,ID,2019,4,3,186,1,11,4,8,5,9.5
ID_2019_4,ID,2019,4,3,127,8,12,1,5.5,5,9.5
ID_2019_4,ID,2019,4,3,161,7,12,2,8,5,9.5
ID_2019_4,ID,2019,4,3,75,6,12,3,5,5,9.5
ID_2019_4,ID,2019,4,3,29,5,12,4,6,5,9.5
ID_2019_4,ID,2019,4,3,151,12,13,1,9,5,9.5
ID_2019_4,ID,2019,4,3,41,11,13,2,7,5,9.5
ID_2019_4,ID,2019,4,3,155,10,13,3,13,5,9.5
ID_2019_4,ID,2019,4,3,120,9,13,4,8,5,9.5
ID_2019_4,ID,2019,4,3,108,16,14,1,9,5,9.5
ID_2019_4,ID,2019,4,3,195,15,14,2,7,5,9.5
ID_2019_4,ID,2019,4,3,201,14,14,3,5,5,9.5
ID_2019_4,ID,2019,4,3,150,13,14,4,8,5,9.5
ID_2019_4,ID,2019,4,3,202,20,15,1,9.5,5,9.5
ID_2019_4,ID,2019,4,3,134,19,15,2,8,5,9.5
ID_2019_4,ID,2019,4,3,60,18,15,3,11,5,9.5
ID_2019_4,ID,2019,4,3,162,17,15,4,11,5,9.5
ID_2019_4,ID,2019,4,4,23,4,16,1,5.5,5,8
ID_2019_4,ID,2019,4,4,56,3,16,2,8,5,8
ID_2019_4,ID,2019,4,4,97,2,16,3,6,5,8
ID_2019_4,ID,2019,4,4,34,1,16,4,14,5,8
ID_2019_4,ID,2019,4,4,111,8,17,1,6,5,8
ID_2019_4,ID,2019,4,4,187,7,17,2,8,5,8
ID_2019_4,ID,2019,4,4,129,6,17,3,7,5,8
ID_2019_4,ID,2019,4,4,202,5,17,4,8,5,8
ID_2019_4,ID,2019,4,4,39,12,18,1,5,5,8
ID_2019_4,ID,2019,4,4,201,11,18,2,5,5,8
ID_2019_4,ID,2019,4,4,158,10,18,3,7.5,5,8
ID_2019_4,ID,2019,4,4,76,9,18,4,6,5,8
ID_2019_4,ID,2019,4,4,169,16,19,1,12,5,8
ID_2019_4,ID,2019,4,4,157,15,19,2,10,5,8
ID_2019_4,ID,2019,4,4,172,14,19,3,6.5,5,8
ID_2019_4,ID,2019,4,4,87,13,19,4,10,5,8
ID_2019_4,ID,2019,4,4,180,20,20,1,8,5,8
ID_2019_4,ID,2019,4,4,61,19,20,2,11,5,8
ID_2019_4,ID,2019,4,4,22,18,20,3,8,5,8
ID_2019_4,ID,2019,4,4,177,17,20,4,7.5,5,8
ID_2019_4,ID,2019,4,5,201,4,21,1,6,6,7.5
ID_2019_4,ID,2019,4,5,148,3,21,2,7,6,7.5
ID_2019_4,ID,2019,4,5,202,2,21,3,7.5,6,7.5
ID_2019_4,ID,2019,4,5,152,1,21,4,6,6,7.5
ID_2019_4,ID,2019,4,5,89,8,22,1,7,6,7.5
ID_2019_4,ID,2019,4,5,79,7,22,2,6,6,7.5
ID_2019_4,ID,2019,4,5,193,6,22,3,10,6,7.5
ID_2019_4,ID,2019,4,5,85,5,22,4,5,6,7.5
ID_2019_4,ID,2019,4,5,119,12,23,1,9,6,7.5
ID_2019_4,ID,2019,4,5,196,11,23,2,9,6,7.5
ID_2019_4,ID,2019,4,5,73,10,23,3,10,6,7.5
ID_2019_4,ID,2019,4,5,2,9,23,4,11,6,7.5
ID_2019_4,ID,2019,4,5,125,16,24,1,5,6,7.5
ID_2019_4,ID,2019,4,5,63,15,24,2,5,6,7.5
ID_2019_4,ID,2019,4,5,9,14,24,3,5,6,7.5
ID_2019_4,ID,2019,4,5,59,13,24,4,6.5,6,7.5
ID_2019_4,ID,2019,4,5,183,20,25,1,7,6,7.5
ID_2019_4,ID,2019,4,5,191,19,25,2,8,6,7.5
ID_2019_4,ID,2019,4,5,138,18,25,3,6.5,6,7.5
ID_2019_4,ID,2019,4,5,122,17,25,4,9,6,7.5
ID_2019_4,ID,2019,4,6,133,4,26,1,6,7,6
ID_2019_4,ID,2019,4,6,8,3,26,2,6,7,6
ID_2019_4,ID,2019,4,6,26,2,26,3,10,7,6
ID_2019_4,ID,2019,4,6,3,1,26,4,8,7,6
ID_2019_4,ID,2019,4,6,145,8,27,1,9.5,7,6
ID_2019_4,ID,2019,4,6,42,7,27,2,6,7,6
ID_2019_4,ID,2019,4,6,64,6,27,3,7,7,6
ID_2019_4,ID,2019,4,6,96,5,27,4,7,7,6
ID_2019_4,ID,2019,4,6,188,12,28,1,10,7,6
ID_2019_4,ID,2019,4,6,167,11,28,2,9,7,6
ID_2019_4,ID,2019,4,6,74,10,28,3,8,7,6
ID_2019_4,ID,2019,4,6,10,9,28,4,6,7,6
ID_2019_4,ID,2019,4,6,202,16,29,1,6,7,6
ID_2019_4,ID,2019,4,6,201,15,29,2,7,7,6
ID_2019_4,ID,2019,4,6,4,14,29,3,5,7,6
ID_2019_4,ID,2019,4,6,69,13,29,4,10,7,6
ID_2019_4,ID,2019,4,6,83,20,30,1,7,7,6
ID_2019_4,ID,2019,4,6,30,19,30,2,7,7,6
ID_2019_4,ID,2019,4,6,112,18,30,3,7,7,6
ID_2019_4,ID,2019,4,6,153,17,30,4,7,7,6
ID_2019_4,ID,2019,4,7,57,4,31,1,5,5.5,7
ID_2019_4,ID,2019,4,7,47,3,31,2,7.5,5.5,7
ID_2019_4,ID,2019,4,7,170,2,31,3,7,5.5,7
ID_2019_4,ID,2019,4,7,184,1,31,4,9,5.5,7
ID_2019_4,ID,2019,4,7,7,8,32,1,6,5.5,7
ID_2019_4,ID,2019,4,7,93,7,32,2,8,5.5,7
ID_2019_4,ID,2019,4,7,113,6,32,3,8,5.5,7
ID_2019_4,ID,2019,4,7,88,5,32,4,7,5.5,7
ID_2019_4,ID,2019,4,7,107,12,33,1,13,5.5,7
ID_2019_4,ID,2019,4,7,140,11,33,2,6,5.5,7
ID_2019_4,ID,2019,4,7,165,10,33,3,11,5.5,7
ID_2019_4,ID,2019,4,7,36,9,33,4,7,5.5,7
ID_2019_4,ID,2019,4,7,198,16,34,1,12,5.5,7
ID_2019_4,ID,2019,4,7,71,15,34,2,7,5.5,7
ID_2019_4,ID,2019,4,7,202,14,34,3,7,5.5,7
ID_2019_4,ID,2019,4,7,182,13,34,4,8,5.5,7
ID_2019_4,ID,2019,4,7,201,20,35,1,5.5,5.5,7
ID_2019_4,ID,2019,4,7,190,19,35,2,12,5.5,7
ID_2019_4,ID,2019,4,7,65,18,35,3,10,5.5,7
ID_2019_4,ID,2019,4,7,192,17,35,4,10.5,5.5,7
ID_2019_4,ID,2019,4,8,185,4,36,1,11.5,7,13.5
ID_2019_4,ID,2019,4,8,21,3,36,2,8,7,13.5
ID_2019_4,ID,2019,4,8,117,2,36,3,8,7,13.5
ID_2019_4,ID,2019,4,8,135,1,36,4,4.5,7,13.5
ID_2019_4,ID,2019,4,8,46,8,37,1,8,7,13.5
ID_2019_4,ID,2019,4,8,176,7,37,2,7,7,13.5
ID_2019_4,ID,2019,4,8,114,6,37,3,6,7,13.5
ID_2019_4,ID,2019,4,8,20,5,37,4,7,7,13.5
ID_2019_4,ID,2019,4,8,194,12,38,1,8,7,13.5
ID_2019_4,ID,2019,4,8,201,11,38,2,7,7,13.5
ID_2019_4,ID,2019,4,8,171,10,38,3,7,7,13.5
ID_2019_4,ID,2019,4,8,81,9,38,4,6,7,13.5
ID_2019_4,ID,2019,4,8,202,16,39,1,13.5,7,13.5
ID_2019_4,ID,2019,4,8,163,15,39,2,9,7,13.5
ID_2019_4,ID,2019,4,8,45,14,39,3,6,7,13.5
ID_2019_4,ID,2019,4,8,11,13,39,4,6.5,7,13.5
ID_2019_4,ID,2019,4,8,19,20,40,1,5.5,7,13.5
ID_2019_4,ID,2019,4,8,143,19,40,2,8,7,13.5
ID_2019_4,ID,2019,4,8,49,18,40,3,7,7,13.5
ID_2019_4,ID,2019,4,8,141,17,40,4,8.5,7,13.5
ID_2019_4,ID,2019,4,9,86,4,41,1,8,6,12
ID_2019_4,ID,2019,4,9,35,3,41,2,8,6,12
ID_2019_4,ID,2019,4,9,123,2,41,3,9,6,12
ID_2019_4,ID,2019,4,9,1,1,41,4,10,6,12
ID_2019_4,ID,2019,4,9,70,8,42,1,8.5,6,12
ID_2019_4,ID,2019,4,9,181,7,42,2,10,6,12
ID_2019_4,ID,2019,4,9,131,6,42,3,7,6,12
ID_2019_4,ID,2019,4,9,27,5,42,4,5,6,12
ID_2019_4,ID,2019,4,9,53,12,43,1,7.5,6,12
ID_2019_4,ID,2019,4,9,106,11,43,2,6.5,6,12
ID_2019_4,ID,2019,4,9,121,10,43,3,8,6,12
ID_2019_4,ID,2019,4,9,14,9,43,4,7,6,12
ID_2019_4,ID,2019,4,9,5,16,44,1,10,6,12
ID_2019_4,ID,2019,4,9,115,15,44,2,8,6,12
ID_2019_4,ID,2019,4,9,38,14,44,3,6,6,12
ID_2019_4,ID,2019,4,9,201,13,44,4,6,6,12
ID_2019_4,ID,2019,4,9,118,20,45,1,7,6,12
ID_2019_4,ID,2019,4,9,202,19,45,2,12,6,12
ID_2019_4,ID,2019,4,9,175,18,45,3,8.5,6,12
ID_2019_4,ID,2019,4,9,160,17,45,4,13,6,12
ID_2019_4,ID,2019,4,10,201,4,46,1,6,6,12
ID_2019_4,ID,2019,4,10,62,3,46,2,7,6,12
ID_2019_4,ID,2019,4,10,58,2,46,3,6,6,12
ID_2019_4,ID,2019,4,10,128,8,47,1,7,6,12
ID_2019_4,ID,2019,4,10,12,7,47,2,6.5,6,12
ID_2019_4,ID,2019,4,10,82,6,47,3,8,6,12
ID_2019_4,ID,2019,4,10,95,5,47,4,11,6,12
ID_2019_4,ID,2019,4,10,142,12,48,1,6.5,6,12
ID_2019_4,ID,2019,4,10,98,11,48,2,12,6,12
ID_2019_4,ID,2019,4,10,101,10,48,3,7,6,12
ID_2019_4,ID,2019,4,10,136,9,48,4,7,6,12
ID_2019_4,ID,2019,4,10,37,16,49,1,6,6,12
ID_2019_4,ID,2019,4,10,52,15,49,2,6,6,12
ID_2019_4,ID,2019,4,10,139,14,49,3,7.5,6,12
ID_2019_4,ID,2019,4,10,202,13,49,4,12,6,12
ID_2019_4,ID,2019,4,10,124,20,50,1,6.5,6,12
ID_2019_4,ID,2019,4,10,13,19,50,2,7,6,12
ID_2019_4,ID,2019,4,10,116,18,50,3,7,6,12
ID_2019_4,ID,2019,4,10,77,17,50,4,6,6,12
ID_2019_4,ID,2019,4,11,201,4,51,1,6,6,14
ID_2019_4,ID,2019,4,11,197,3,51,2,11,6,14
ID_2019_4,ID,2019,4,11,17,2,51,3,7,6,14
ID_2019_4,ID,2019,4,11,189,1,51,4,8,6,14
ID_2019_4,ID,2019,4,11,84,8,52,1,7,6,14
ID_2019_4,ID,2019,4,11,173,7,52,2,12,6,14
ID_2019_4,ID,2019,4,11,25,6,52,3,15,6,14
ID_2019_4,ID,2019,4,11,156,5,52,4,13,6,14
ID_2019_4,ID,2019,4,11,18,12,53,1,12,6,14
ID_2019_4,ID,2019,4,11,146,11,53,2,11,6,14
ID_2019_4,ID,2019,4,11,94,10,53,3,6.5,6,14
ID_2019_4,ID,2019,4,11,202,9,53,4,14,6,14
ID_2019_4,ID,2019,4,11,99,16,54,1,5,6,14
ID_2019_4,ID,2019,4,11,24,15,54,2,6.5,6,14
ID_2019_4,ID,2019,4,11,31,14,54,3,6,6,14
ID_2019_4,ID,2019,4,11,55,13,54,4,10,6,14
ID_2019_4,ID,2019,4,11,32,20,55,1,7,6,14
ID_2019_4,ID,2019,4,11,50,19,55,2,7,6,14
ID_2019_4,ID,2019,4,11,67,18,55,3,8,6,14
ID_2019_4,ID,2019,4,11,137,17,55,4,6,6,14
WA_2018_3,WA,2018,3,1,201,4,1,1,10,10,9
WA_2018_3,WA,2018,3,1,162,3,1,2,21,10,9
WA_2018_3,WA,2018,3,1,29,2,1,3,7,10,9
WA_2018_3,WA,2018,3,1,123,1,1,4,19,10,9
WA_2018_3,WA,2018,3,1,139,8,2,1,12,10,9
WA_2018_3,WA,2018,3,1,159,7,2,2,18,10,9
WA_2018_3,WA,2018,3,1,191,6,2,3,9,10,9
WA_2018_3,WA,2018,3,1,126,5,2,4,7,10,9
WA_2018_3,WA,2018,3,1,84,12,3,1,17,10,9
WA_2018_3,WA,2018,3,1,121,11,3,2,15,10,9
WA_2018_3,WA,2018,3,1,69,10,3,3,8,10,9
WA_2018_3,WA,2018,3,1,77,9,3,4,12,10,9
WA_2018_3,WA,2018,3,1,32,16,4,1,15,10,9
WA_2018_3,WA,2018,3,1,202,15,4,2,9,10,9
WA_2018_3,WA,2018,3,1,125,14,4,3,6,10,9
WA_2018_3,WA,2018,3,1,133,13,4,4,10,10,9
WA_2018_3,WA,2018,3,1,164,20,5,1,11,10,9
WA_2018_3,WA,2018,3,1,116,19,5,2,9,10,9
WA_2018_3,WA,2018,3,1,13,18,5,3,6,10,9
WA_2018_3,WA,2018,3,1,37,17,5,4,6,10,9
WA_2018_3,WA,2018,3,2,24,4,6,1,6,6,8
WA_2018_3,WA,2018,3,2,43,3,6,2,8,6,8
WA_2018_3,WA,2018,3,2,146,2,6,3,21,6,8
WA_2018_3,WA,2018,3,2,35,1,6,4,8,6,8
WA_2018_3,WA,2018,3,2,107,8,7,1,23,6,8
WA_2018_3,WA,2018,3,2,76,7,7,2,9,6,8
WA_2018_3,WA,2018,3,2,104,6,7,3,19,6,8
WA_2018_3,WA,2018,3,2,202,5,7,4,8,6,8
WA_2018_3,WA,2018,3,2,3,12,8,1,14,6,8
WA_2018_3,WA,2018,3,2,78,11,8,2,8,6,8
WA_2018_3,WA,2018,3,2,195,10,8,3,12,6,8
WA_2018_3,WA,2018,3,2,158,9,8,4,19,6,8
