"","Env","DM","FD","MSC","PH","Yi"
"1","ID_2018_1",0.993,NA,0.0395,NA,1.01e-07
"2","ID_2018_2",NA,NA,NA,NA,0.405
"3","ID_2018_3",NA,NA,NA,NA,0.777
"4","ID_2018_T",NA,NA,NA,NA,0.165
"5","ID_2019_1",1.29,NA,1.65,2.42e-07,0.165
"6","ID_2019_2",NA,NA,NA,NA,1.31
"7","ID_2019_3",NA,NA,NA,NA,0.994
"8","ID_2019_4",NA,0.692,NA,NA,1.79
"9","ID_2019_T",NA,NA,NA,NA,1.56
"10","OR_2018_1",0.339,NA,5.72e-07,5.18e-07,1.02
"11","OR_2018_2",NA,NA,NA,NA,0.0657
"12","OR_2018_3",NA,8.77,NA,NA,3.31
"13","OR_2018_T",NA,NA,NA,NA,1.68
"14","OR_2019_1",0.234,NA,0.983,1.6e-06,0.95
"15","OR_2019_2",NA,NA,NA,2,2.26
"16","OR_2019_3",NA,NA,NA,1.4,0.376
"17","OR_2019_4",NA,14.6,NA,NA,0.939
"18","OR_2019_T",NA,NA,NA,NA,2.4
"19","OR_2020_1",1.45,NA,0.167,NA,0.292
"20","OR_2020_2",NA,NA,NA,1.65,3.65
"21","OR_2020_3",NA,NA,NA,1.29,0.932
"22","OR_2020_4",NA,5.95,NA,NA,2.99
"23","OR_2020_T",NA,NA,NA,NA,1.63
"24","WA_2018_1",1.6e-06,NA,1.03,1.01,0.498
"25","WA_2018_2",NA,NA,NA,NA,1.09
"26","WA_2018_3",NA,0.692,NA,0.422,0.382
"27","WA_2018_T",NA,NA,NA,NA,0.578
"28","WA_2019_1",0.137,NA,1.42e-06,0.418,1.27
"29","WA_2019_2",NA,NA,0.265,5.95,1.33
"30","WA_2019_3",NA,NA,NA,2.15,1.03
"31","WA_2019_4",NA,NA,NA,2.99,0.415
"32","WA_2019_5",NA,0.692,NA,1.83,0.581
"33","WA_2019_T",NA,NA,NA,NA,1.81
"34","WA_2020_1",1.68,NA,0.419,3.68e-07,2.05
"35","WA_2020_2",NA,NA,1.43,1.99,2.79
"36","WA_2020_3",NA,NA,0.778,1.8,1.6
"37","WA_2020_4",NA,NA,1.36,3.87,0.575
"38","WA_2020_5",NA,NA,1.66,2.37,0.386
"39","WA_2020_T",NA,NA,NA,NA,2.5
