merged,Location,block,Position,ID,id,row,col,Year,Cut,MSC,DM_Pct,Height_inch,Yield_MgHa,FallDormancy_cm,MSC_201,DM_201,Height_201,Yield_201,FD_201,MSC_202,DM_202,Height_202,Yield_202,FD_202
ID_2019_2,ID,1,1,20101,80,1,4,2019,2,NA,NA,NA,5.58,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,2,20102,132,1,3,2019,2,NA,NA,NA,4.73,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,3,20103,202,1,2,2019,2,3.3,20.13,21.3,5.65,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,4,20104,103,1,1,2019,2,NA,NA,NA,5.53,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,5,20105,201,2,4,2019,2,3.1,20.16,18.9,5.95,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,6,20106,104,2,3,2019,2,2.6,19.88,21.3,6.95,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,7,20107,43,2,2,2019,2,NA,NA,NA,6.57,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,8,20108,154,2,1,2019,2,NA,NA,NA,6.67,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,9,20109,40,3,4,2019,2,NA,NA,NA,6.95,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,10,20110,78,3,3,2019,2,NA,NA,NA,5.91,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,11,20111,91,3,2,2019,2,NA,NA,NA,6.67,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,12,20112,48,3,1,2019,2,NA,NA,NA,6.33,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,13,20113,72,4,4,2019,2,NA,NA,NA,6.62,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,14,20114,178,4,3,2019,2,NA,NA,NA,6.62,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,15,20115,110,4,2,2019,2,NA,NA,NA,6.19,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,16,20116,16,4,1,2019,2,NA,NA,NA,5.15,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,17,20117,44,5,4,2019,2,2.2,19.9,22.4,7.3,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,18,20118,51,5,3,2019,2,NA,NA,NA,5.44,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,19,20119,130,5,2,2019,2,NA,NA,NA,5.91,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,1,20,20120,166,5,1,2019,2,2.4,20.33,20.5,5.55,NA,3.1,20.16,18.9,5.95,NA,3.3,20.13,21.3,5.65,NA
ID_2019_2,ID,2,1,20201,54,6,4,2019,2,NA,NA,NA,6.85,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,2,20202,15,6,3,2019,2,NA,NA,NA,5.58,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,3,20203,201,6,2,2019,2,2.4,19.31,18.9,5.45,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,4,20204,6,6,1,2019,2,NA,NA,NA,6.19,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,5,20205,33,7,4,2019,2,NA,NA,NA,7.28,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,6,20206,100,7,3,2019,2,NA,NA,NA,5.25,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,7,20207,179,7,2,2019,2,NA,NA,NA,6.71,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,8,20208,126,7,1,2019,2,NA,NA,NA,4.49,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,9,20209,92,8,4,2019,2,NA,NA,NA,6.33,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,10,20210,174,8,3,2019,2,NA,NA,NA,6.71,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,11,20211,28,8,2,2019,2,NA,NA,NA,3.88,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,12,20212,144,8,1,2019,2,2.2,20.65,21.3,6.75,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,13,20213,202,9,4,2019,2,2.7,19.77,22.4,6.7,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,14,20214,66,9,3,2019,2,NA,NA,NA,6.05,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,15,20215,90,9,2,2019,2,NA,NA,NA,4.87,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,16,20216,68,9,1,2019,2,NA,NA,NA,5.39,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,17,20217,149,10,4,2019,2,NA,NA,NA,6.81,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,18,20218,102,10,3,2019,2,NA,NA,NA,6.71,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,19,20219,168,10,2,2019,2,NA,NA,NA,5.91,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,2,20,20220,164,10,1,2019,2,NA,NA,NA,7.04,NA,2.4,19.31,18.9,5.45,NA,2.7,19.77,22.4,6.7,NA
ID_2019_2,ID,3,1,20301,186,11,4,2019,2,NA,NA,NA,7.42,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,2,20302,159,11,3,2019,2,NA,NA,NA,6.95,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,3,20303,147,11,2,2019,2,NA,NA,NA,6.67,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,4,20304,109,11,1,2019,2,NA,NA,NA,6.33,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,5,20305,29,12,4,2019,2,NA,NA,NA,4.3,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,6,20306,75,12,3,2019,2,NA,NA,NA,4.35,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,7,20307,161,12,2,2019,2,NA,NA,NA,6.67,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,8,20308,127,12,1,2019,2,NA,NA,NA,6.52,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,9,20309,120,13,4,2019,2,NA,NA,NA,6.71,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,10,20310,155,13,3,2019,2,NA,NA,NA,7,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,11,20311,41,13,2,2019,2,NA,NA,NA,6.33,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,12,20312,151,13,1,2019,2,NA,NA,NA,7.09,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,13,20313,150,14,4,2019,2,NA,NA,NA,5.67,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
ID_2019_2,ID,3,14,20314,201,14,3,2019,2,NA,NA,NA,6.29,NA,NA,NA,NA,6.29,NA,2.6,20.57,21.7,6.8,NA
