merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
OR_2019_3,OR,1,1,30101,34,1,2,2019,3,NA,NA,31,3.55,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,2,30102,90,1,1,2019,3,NA,NA,26,3.35,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,3,30103,201,2,2,2019,3,3.5,19.11,29,3.2,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,4,30104,55,2,1,2019,3,NA,NA,33,3.88,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,5,30105,10,3,2,2019,3,NA,NA,25,3.68,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,6,30106,192,3,1,2019,3,NA,NA,31,3.9,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,7,30107,145,4,2,2019,3,NA,NA,27,3.6,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,8,30108,48,4,1,2019,3,NA,NA,23,3.27,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,9,30109,74,5,2,2019,3,NA,NA,21,3.3,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,10,30110,159,5,1,2019,3,NA,NA,29,4.69,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,11,30111,176,6,2,2019,3,NA,NA,24,3.41,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,12,30112,95,6,1,2019,3,NA,NA,24,3.22,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,13,30113,190,7,2,2019,3,NA,NA,28,3.86,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,14,30114,81,7,1,2019,3,NA,NA,24,3.57,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,15,30115,167,8,2,2019,3,NA,NA,26,4.02,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,16,30116,123,8,1,2019,3,NA,NA,23,3.2,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,17,30117,46,9,2,2019,3,NA,NA,23,4.24,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,18,30118,160,9,1,2019,3,NA,NA,32,4.47,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,19,30119,18,10,2,2019,3,NA,NA,30,3.72,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,1,20,30120,202,10,1,2019,3,3,17.81,26,4.7,NA,3.2,4.7,29,26,19.11,17.81,3.5,3
OR_2019_3,OR,2,1,30201,178,11,2,2019,3,NA,NA,28,4.18,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,2,30202,121,11,1,2019,3,NA,NA,25,3.57,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,3,30203,173,12,2,2019,3,NA,NA,29,5.03,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,4,30204,65,12,1,2019,3,NA,NA,24,3.53,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,5,30205,181,13,2,2019,3,NA,NA,31,3.85,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,6,30206,25,13,1,2019,3,NA,NA,24,3.13,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,7,30207,153,14,2,2019,3,NA,NA,28,4.23,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,8,30208,40,14,1,2019,3,NA,NA,22,3.63,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,9,30209,78,15,2,2019,3,NA,NA,22,3.6,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,10,30210,201,15,1,2019,3,3.2,19.44,25,3.32,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,11,30211,179,16,2,2019,3,NA,NA,24,3.48,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,12,30212,21,16,1,2019,3,NA,NA,25,3.27,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,13,30213,59,17,2,2019,3,NA,NA,22,2.81,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,14,30214,92,17,1,2019,3,NA,NA,33,3.88,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,15,30215,27,18,2,2019,3,NA,NA,20,3.19,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,16,30216,193,18,1,2019,3,NA,NA,31,4.4,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,17,30217,202,19,2,2019,3,3.1,19.03,25,3.92,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,18,30218,94,19,1,2019,3,NA,NA,28,3.7,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,19,30219,99,20,2,2019,3,NA,NA,21,3.61,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,2,20,30220,51,20,1,2019,3,NA,NA,29,3.56,NA,3.32,3.92,25,25,19.44,19.03,3.2,3.1
OR_2019_3,OR,3,1,30301,139,21,2,2019,3,NA,NA,23,4.12,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,2,30302,113,21,1,2019,3,NA,NA,25,3.57,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,3,30303,183,22,2,2019,3,NA,NA,25,4.29,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,4,30304,37,22,1,2019,3,NA,NA,24,3.34,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,5,30305,189,23,2,2019,3,NA,NA,25,3.9,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,6,30306,84,23,1,2019,3,NA,NA,28,3.53,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,7,30307,133,24,2,2019,3,NA,NA,21,3.04,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,8,30308,187,24,1,2019,3,NA,NA,32,4.82,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,9,30309,202,25,2,2019,3,2.6,17.67,30,4.24,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,10,30310,110,25,1,2019,3,NA,NA,32,3.84,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,11,30311,144,26,2,2019,3,3.2,19.21,32,2.93,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,12,30312,79,26,1,2019,3,NA,NA,26,3.74,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,13,30313,195,27,2,2019,3,NA,NA,27,4.12,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,14,30314,77,27,1,2019,3,NA,NA,20,3.47,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,15,30315,54,28,2,2019,3,NA,NA,34,3.58,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,16,30316,161,28,1,2019,3,NA,NA,26,3.96,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,17,30317,104,29,2,2019,3,3.4,18.61,30,4.17,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,18,30318,177,29,1,2019,3,NA,NA,24,4.82,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,19,30319,4,30,2,2019,3,NA,NA,28,4.24,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,3,20,30320,201,30,1,2019,3,3,17.57,21,3.56,NA,3.56,4.24,21,30,17.57,17.67,3,2.6
OR_2019_3,OR,4,1,30401,108,31,2,2019,3,NA,NA,27,4.24,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,2,30402,197,31,1,2019,3,NA,NA,30,4.19,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,3,30403,100,32,2,2019,3,NA,NA,24,3.59,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,4,30404,49,32,1,2019,3,NA,NA,23,3.51,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,5,30405,15,33,2,2019,3,NA,NA,24,4.18,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,6,30406,201,33,1,2019,3,2.8,17.4,24,3.69,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,7,30407,13,34,2,2019,3,NA,NA,24,3.8,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,8,30408,63,34,1,2019,3,NA,NA,27,3.04,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,9,30409,191,35,2,2019,3,NA,NA,25,4.09,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,10,30410,44,35,1,2019,3,3.6,18.48,27,4.35,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,11,30411,102,36,2,2019,3,NA,NA,28,3.14,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,12,30412,115,36,1,2019,3,NA,NA,25,3.77,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,13,30413,202,37,2,2019,3,3.2,17.92,28,3.95,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,14,30414,112,37,1,2019,3,2.8,18.71,21,3.74,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,15,30415,131,38,2,2019,3,NA,NA,30,3.61,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,16,30416,85,38,1,2019,3,NA,NA,20,3.09,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,17,30417,126,39,2,2019,3,NA,NA,21,3.84,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,18,30418,67,39,1,2019,3,NA,NA,30,4.3,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
