merged,Location,block,Position,ID,id,row,col,Year,Cut,MSC,DM_Pct,Height_inch,Yield_MgHa,FallDormancy_cm,MSC_201,DM_201,Height_201,Yield_201,FD_201,MSC_202,DM_202,Height_202,Yield_202,FD_202
WA_2020_4,WA,1,1,10101,123,1,4,2020,4,3.9,NA,25.3,5.66,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,2,10102,29,1,3,2020,4,3.3,NA,16.2,3.96,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,3,10103,162,1,2,2020,4,4.1,NA,24.5,5.51,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,4,10104,201,1,1,2020,4,3.7,NA,22,5.35,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,5,10105,126,2,4,2020,4,3.7,NA,20.1,5.21,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,6,10106,191,2,3,2020,4,4,NA,24,5.28,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,7,10107,159,2,2,2020,4,4,NA,26.5,5.28,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,8,10108,139,2,1,2020,4,3.3,NA,22.6,5.17,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,9,10109,77,3,4,2020,4,4.6,NA,25.2,5.03,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,10,10110,69,3,3,2020,4,3.9,NA,32.6,5.12,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,11,10111,121,3,2,2020,4,4.1,NA,23.6,5.73,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,12,10112,84,3,1,2020,4,3.9,NA,26.4,5.17,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,13,10113,133,4,4,2020,4,4.7,NA,21.4,4.76,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,14,10114,125,4,3,2020,4,3.8,NA,15.6,3.74,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,15,10115,202,4,2,2020,4,4,NA,25.1,5.16,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,16,10116,32,4,1,2020,4,3.7,NA,27.7,5.35,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,17,10117,37,5,4,2020,4,3.9,NA,22.5,4.49,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,18,10118,13,5,3,2020,4,4.3,NA,22.4,4.35,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,19,10119,116,5,2,2020,4,3.8,NA,22.3,5.17,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,1,20,10120,164,5,1,2020,4,3.6,NA,22.5,5.35,NA,3.7,NA,22,5.35,NA,4,NA,25.1,5.16,NA
WA_2020_4,WA,2,1,10201,35,6,4,2020,4,4.5,NA,29.5,5.3,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,2,10202,146,6,3,2020,4,4.3,NA,30.4,6.48,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,3,10203,43,6,2,2020,4,3.5,NA,20.7,4.6,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,4,10204,24,6,1,2020,4,3.1,NA,21.7,4.76,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,5,10205,202,7,4,2020,4,4.1,NA,23.6,4.71,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,6,10206,104,7,3,2020,4,4.090909091,NA,27.1,5.78,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,7,10207,76,7,2,2020,4,3.9,NA,22.1,4.85,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,8,10208,107,7,1,2020,4,3.9,NA,29.3,5.94,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,9,10209,158,8,4,2020,4,4.2,NA,25.6,5.23,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,10,10210,195,8,3,2020,4,3.909090909,NA,25.7,5.48,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,11,10211,78,8,2,2020,4,3.9,NA,21.8,4.49,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
WA_2020_4,WA,2,12,10212,3,8,1,2020,4,3.2,NA,31.6,4.98,NA,3.7,NA,23.9,4.85,NA,4.1,NA,23.6,4.71,NA
