trait,loc,year,cut,geno,min,max,mean,sd,cv
DM,ID,2018,1,new,17.21,23.91,20.5885279187817,1.38768871321265,0.0674010652285026
DM,ID,2018,1,201,18.5,22.38,20.9863636363636,1.26204019529707,0.0601362016385866
DM,ID,2018,1,202,17.28,22.84,19.9718181818182,1.49589985080431,0.0749005342020457
DM,ID,2019,1,new,11.09,21.06,17.336345177665,1.59173465979203,0.0918148919786577
DM,ID,2019,1,201,15.27,19.57,17.2690909090909,1.39291388495811,0.0806593637320446
DM,ID,2019,1,202,14.44,19.44,17.5636363636364,1.38982209456659,0.079130657558139
DM,OR,2018,1,new,15.89,27.06,19.9527272727273,1.76683939797515,0.0885512729074479
DM,OR,2018,1,201,17.16,21.87,19.9972727272727,1.4836245543202,0.0741913447175625
DM,OR,2018,1,202,18.62,21.67,19.7363636363636,1.09290688283378,0.0553752911615458
DM,OR,2019,1,new,15.55,23.19,19.6213636363636,1.26504054191205,0.0644726108417658
DM,OR,2019,1,201,18.22,21.88,20.1427272727273,1.05749790457562,0.0525002344646467
DM,OR,2019,1,202,16.43,20.87,18.8863636363636,1.25912090545168,0.0666682549216292
DM,OR,2020,1,new,16.74489556,25.88369441,21.3858946715657,1.55466058710147,0.0726956066593051
DM,OR,2020,1,201,19.77815193,23.49274994,21.9249589509091,1.22838514244997,0.0560267932633478
DM,OR,2020,1,202,18.71362336,22.5379337,19.9971814518182,1.22541534586346,0.0612794032407024
DM,WA,2018,1,new,18.75,26,21.5560101010101,1.52730104003845,0.0708526778787731
DM,WA,2018,1,201,18.08,24.56,21.4409090909091,1.99975725799635,0.0932683054397281
DM,WA,2018,1,202,17.67,24.7,20.5436363636364,1.97862211009214,0.0963131392645964
DM,WA,2019,1,new,8.35,22.1,17.0050253807107,1.7216886656993,0.101245874507913
DM,WA,2019,1,201,13.58,18.86,17.3772727272727,1.63356108492515,0.0940056078167753
DM,WA,2019,1,202,12.68,18.73,17.1890909090909,1.61388013523591,0.0938897899703567
DM,WA,2020,1,new,13.63224638,21.6623168,18.5852838995455,1.26245902850283,0.0679278850582264
DM,WA,2020,1,201,17.77197563,19.76979312,18.9030887118182,0.673851257337641,0.0356476799961453
DM,WA,2020,1,202,17.931236,21.03845212,19.17446608,0.880284904671837,0.0459092264159585
FD,ID,2019,4,new,4.5,22,8.12690355329949,2.67816893277614,0.329543585107371
FD,ID,2019,4,201,5,8,6.31818181818182,1.05528970602217,0.167024270017898
FD,ID,2019,4,202,6,14,9.77272727272727,2.84924232352775,0.291550377291212
FD,WA,2018,3,new,4,31,10.0102040816327,5.31566605414249,0.531024743431156
FD,WA,2018,3,201,5,10,7.27272727272727,1.34839972492648,0.185404962177392
FD,WA,2018,3,202,5,20,10.5454545454545,4.08322510679086,0.387202380816375
FD,WA,2019,5,new,4.1,21.9,10.5464646464646,3.44089508869918,0.326260524644401
FD,WA,2019,5,201,8.3,12.4,10.1363636363636,1.16899335094151,0.115326698299162
FD,WA,2019,5,202,9.2,15.2,12.1545454545455,2.13979608204316,0.176049041903327
He,ID,2019,1,new,57.404,87.884,72.8631878172589,6.30195477854858,0.0864902424301542
He,ID,2019,1,201,65.024,89.662,75.3225454545454,6.94713322693089,0.0922317904288464
He,ID,2019,1,202,62.484,85.598,73.8678181818182,6.33455649304956,0.0857552943753895
He,OR,2018,1,new,45.72,78.74,58.9074747474748,6.87844870118925,0.116766993164719
He,OR,2018,1,201,48.26,71.12,56.5727272727273,7.3695822010601,0.13026740191493
He,OR,2018,1,202,48.26,68.58,56.1109090909091,7.13505354506251,0.127159827931188
He,OR,2018,3,new,7.62,60.96,36.2142424242424,10.0136757847784,0.276512087909234
He,OR,2018,3,201,30.48,40.64,34.4054545454545,2.86550646007425,0.0832864003086635
He,OR,2018,3,202,30.48,48.26,37.6381818181818,4.22254382613566,0.112187773748834
He,OR,2019,1,new,63.5,104.14,80.7283838383838,7.10550800965494,0.0880174688481313
He,OR,2019,1,201,73.66,86.36,80.3563636363636,4.58225113394557,0.0570241226280674
He,OR,2019,1,202,63.5,96.52,81.5109090909091,10.0613850483375,0.123436054885807
He,OR,2019,2,new,38.1,96.52,70.0680808080808,10.278636429818,0.14669499023345
He,OR,2019,2,201,48.26,73.66,66.9636363636364,6.5522870399995,0.0978484352973046
He,OR,2019,2,202,66.04,83.82,75.7381818181818,5.30588695352967,0.0700556420309516
He,OR,2019,3,new,43.18,91.44,66.1041414141414,9.61152781952931,0.145399783037998
He,OR,2019,3,201,53.34,73.66,64.1927272727273,6.12671052182016,0.0954424400102273
He,OR,2019,3,202,63.5,78.74,71.3509090909091,6.0593290957753,0.0849229417393271
He,OR,2019,4,new,15.24,81.28,51.5312121212121,13.4873504769761,0.26173167526607
He,OR,2019,4,201,45.72,58.42,49.4145454545455,3.8291940761376,0.0774912334195187
He,OR,2019,4,202,55.88,66.04,61.4218181818182,2.9660809772554,0.0482903480400945
He,OR,2020,2,new,24.384,88.392,59.2666666666667,12.0497727846809,0.203314501428812
He,OR,2020,2,201,48.768,85.344,60.1287272727273,9.74320355007437,0.16203907835737
He,OR,2020,2,202,54.864,76.2,66.5018181818182,5.75389130620629,0.0865223156827827
He,OR,2020,3,new,39.624,91.44,67.7487272727273,9.25109139597122,0.136550039659495
