Location,Year,Cut,Block,Column,Row,Position,ID,Treatment,ClipWet,ClipWetCorrected,ClipDry,ClipDryCorrected,DM_Pct,DM_PctCorrected,Yield_TonAcre,Yield_MgHa
WA,2018,1,1,1,1,1,10101,123,506.17,,156.60,94.90,30.94,18.75,1.82,4.08
WA,2018,1,1,2,1,5,10105,126,362.11,,76.49,76.49,21.12,21.12,1.47,3.29
WA,2018,1,1,3,1,9,10109,77,405.20,,84.49,84.49,20.85,20.85,1.62,3.63
WA,2018,1,1,4,1,13,10113,133,526.75,,110.16,110.16,20.91,20.91,2.11,4.74
WA,2018,1,1,5,1,17,10117,37,555.37,,114.28,114.28,20.58,20.58,2.19,4.91
WA,2018,1,1,1,2,2,10102,29,514.69,,106.69,106.69,20.73,20.73,2.05,4.59
WA,2018,1,1,2,2,6,10106,191,487.14,,110.38,110.38,22.66,22.66,2.12,4.74
WA,2018,1,1,3,2,10,10110,69,539.81,,112.43,112.43,20.83,20.83,2.16,4.83
WA,2018,1,1,4,2,14,10114,125,564.34,,121.42,121.42,21.52,21.52,2.33,5.22
WA,2018,1,1,5,2,18,10118,13,593.98,,122.88,122.88,20.69,20.69,2.36,5.28
WA,2018,1,1,1,3,3,10103,162,540.98,,110.79,110.79,20.48,20.48,2.13,4.76
WA,2018,1,1,2,3,7,10107,159,595.33,,114.64,114.64,19.26,19.26,2.20,4.93
WA,2018,1,1,3,3,11,10111,121,513.98,,107.69,107.69,20.95,20.95,2.07,4.63
WA,2018,1,1,4,3,15,10115,202,475.85,,96.86,96.86,20.36,20.36,1.86,4.16
WA,2018,1,1,5,3,19,10119,116,512.44,,104.47,104.47,20.39,20.39,2.00,4.49
WA,2018,1,1,1,4,4,10104,201,497.43,,104.35,104.35,20.98,20.98,2.00,4.49
WA,2018,1,1,2,4,8,10108,139,530.69,,105.40,105.40,19.86,19.86,2.02,4.53
WA,2018,1,1,3,4,12,10112,84,473.90,,91.49,91.49,19.31,19.31,1.76,3.93
WA,2018,1,1,4,4,16,10116,32,429.21,,89.82,89.82,20.93,20.93,1.72,3.86
WA,2018,1,1,5,4,20,10120,164,607.50,,121.71,121.71,20.03,20.03,2.34,5.23
WA,2018,1,2,1,1,1,10201,35,450.85,,93.69,93.69,20.78,20.78,1.80,4.03
WA,2018,1,2,2,1,5,10205,202,446.73,,94.01,94.01,21.04,21.04,1.80,4.04
WA,2018,1,2,3,1,9,10209,158,616.60,,118.29,118.29,19.18,19.18,2.27,5.08
WA,2018,1,2,4,1,13,10213,82,543.05,,120.25,120.25,22.14,22.14,2.31,5.17
WA,2018,1,2,5,1,17,10217,6,395.62,,90.46,90.46,22.87,22.87,1.74,3.89
WA,2018,1,2,1,2,2,10202,146,494.95,,105.51,105.51,21.32,21.32,2.02,4.54
WA,2018,1,2,2,2,6,10206,104,553.61,,115.74,115.74,20.91,20.91,2.22,4.98
WA,2018,1,2,3,2,10,10210,195,633.20,,128.45,128.45,20.29,20.29,2.46,5.52
WA,2018,1,2,4,2,14,10214,201,593.24,,107.27,107.27,18.08,18.08,2.06,4.61
WA,2018,1,2,5,2,18,10218,52,509.34,,105.38,105.38,20.69,20.69,2.02,4.53
WA,2018,1,2,1,3,3,10203,43,649.50,,129.20,129.20,19.89,19.89,2.48,5.55
WA,2018,1,2,2,3,7,10207,76,612.30,,122.66,122.66,20.03,20.03,2.35,5.27
