Location,ID,FallDormancy_cm,Year,Cut
WA,10104,5.2,2020,5
WA,10103,7.8,2020,5
WA,10102,3.3,2020,5
WA,10101,4.7,2020,5
WA,10108,2.3,2020,5
WA,10107,6.7,2020,5
WA,10106,6.5,2020,5
WA,10105,4,2020,5
WA,10112,3.3,2020,5
WA,10111,3.9,2020,5
WA,10110,4.9,2020,5
WA,10109,2.4,2020,5
WA,10116,5.4,2020,5
WA,10115,3.3,2020,5
WA,10114,2.5,2020,5
WA,10113,3.4,2020,5
WA,10120,4,2020,5
WA,10119,1.94,2020,5
WA,10118,3.2,2020,5
WA,10117,1.5,2020,5
WA,10204,1.5,2020,5
WA,10203,1.3,2020,5
WA,10202,7.4,2020,5
WA,10201,7,2020,5
WA,10208,7.6,2020,5
WA,10207,5.4,2020,5
WA,10206,6.1,2020,5
WA,10205,3.6,2020,5
WA,10212,4.6,2020,5
WA,10211,4,2020,5
WA,10210,6.8,2020,5
WA,10209,6.5,2020,5
WA,10216,7.2,2020,5
WA,10215,8.9,2020,5
WA,10214,1.8,2020,5
WA,10213,1.3,2020,5
WA,10220,3,2020,5
WA,10219,4.9,2020,5
WA,10218,2.3,2020,5
WA,10217,1.7,2020,5
WA,10304,4.4,2020,5
WA,10303,4,2020,5
WA,10302,4.2,2020,5
WA,10301,7.5,2020,5
WA,10308,6,2020,5
WA,10307,5,2020,5
WA,10306,5.5,2020,5
WA,10305,3.9,2020,5
WA,10312,4.9,2020,5
WA,10311,3.6,2020,5
WA,10310,3.7,2020,5
WA,10309,3.1,2020,5
WA,10316,6.4,2020,5
WA,10315,6.5,2020,5
WA,10314,NA,2020,5
WA,10313,4.7,2020,5
WA,10320,3.4,2020,5
WA,10319,1.5,2020,5
WA,10318,4,2020,5
WA,10317,6.1,2020,5
WA,10404,3.3,2020,5
WA,10403,1.6,2020,5
WA,10402,2.2,2020,5
WA,10401,4,2020,5
WA,10408,NA,2020,5
WA,10407,6.2,2020,5
WA,10406,5.9,2020,5
WA,10405,5,2020,5
WA,10412,5.7,2020,5
WA,10411,3.8,2020,5
WA,10410,3.7,2020,5
WA,10409,3.4,2020,5
WA,10416,6.4,2020,5
WA,10415,4.2,2020,5
WA,10414,4.6,2020,5
WA,10413,2.6,2020,5
WA,10420,5.8,2020,5
WA,10419,7.6,2020,5
