gen,env,predicted.value,standard.error,upper.Confidence.limit,lower.Confidence.limit,est.status
1,ID_2019_4,3.85,0.31,4.46,3.25,Estimable
1,OR_2018_3,4.66,0.4,5.45,3.87,Estimable
1,OR_2019_4,5.93,0.55,7.01,4.86,Estimable
1,OR_2020_4,4.2,0.39,4.96,3.45,Estimable
1,WA_2018_3,3.21,0.33,3.85,2.56,Estimable
1,WA_2019_5,4.24,0.61,5.43,3.04,Estimable
1,WA_2020_5,2.77,0.51,3.77,1.77,Estimable
2,ID_2019_4,3.96,0.32,4.58,3.34,Estimable
2,OR_2018_3,4.09,0.34,4.76,3.43,Estimable
2,OR_2019_4,6.09,0.54,7.15,5.03,Estimable
2,OR_2020_4,4.46,0.36,5.17,3.76,Estimable
2,WA_2018_3,3.15,0.32,3.78,2.53,Estimable
2,WA_2019_5,3.58,0.6,4.76,2.4,Estimable
2,WA_2020_5,3.08,0.48,4.01,2.15,Estimable
3,ID_2019_4,3.84,0.32,4.47,3.21,Estimable
3,OR_2018_3,3.94,0.39,4.7,3.18,Estimable
3,OR_2019_4,5.99,0.55,7.07,4.92,Estimable
3,OR_2020_4,4.3,0.38,5.05,3.54,Estimable
3,WA_2018_3,3.47,0.33,4.11,2.83,Estimable
3,WA_2019_5,3.96,0.61,5.16,2.77,Estimable
3,WA_2020_5,3.52,0.5,4.51,2.54,Estimable
4,ID_2019_4,2.77,0.31,3.38,2.16,Estimable
4,OR_2018_3,2.56,0.3,3.14,1.98,Estimable
4,OR_2019_4,1.58,0.53,2.62,0.54,Estimable
4,OR_2020_4,1.92,0.33,2.57,1.28,Estimable
4,WA_2018_3,2.32,0.29,2.89,1.75,Estimable
4,WA_2019_5,1.68,0.37,2.41,0.95,Estimable
4,WA_2020_5,1.8,0.41,2.61,0.99,Estimable
5,ID_2019_4,3.58,0.3,4.16,2.99,Estimable
5,OR_2018_3,3.64,0.3,4.22,3.06,Estimable
5,OR_2019_4,5.63,0.53,6.67,4.58,Estimable
5,OR_2020_4,3.98,0.33,4.63,3.32,Estimable
5,WA_2018_3,2.47,0.32,3.1,1.83,Estimable
5,WA_2019_5,2.59,0.61,3.78,1.4,Estimable
5,WA_2020_5,2.05,0.49,3.01,1.09,Estimable
6,ID_2019_4,3.52,0.32,4.14,2.89,Estimable
6,OR_2018_3,3.42,0.4,4.2,2.64,Estimable
6,OR_2019_4,5.67,0.55,6.75,4.59,Estimable
6,OR_2020_4,3.56,0.38,4.31,2.81,Estimable
6,WA_2018_3,2.66,0.32,3.28,2.03,Estimable
6,WA_2019_5,2.42,0.6,3.6,1.24,Estimable
6,WA_2020_5,1.94,0.47,2.86,1.01,Estimable
7,ID_2019_4,2.89,0.3,3.47,2.3,Estimable
7,OR_2018_3,1.37,0.3,1.95,0.79,Estimable
7,OR_2019_4,0.47,0.53,1.52,-0.57,Estimable
7,OR_2020_4,0.83,0.33,1.49,0.18,Estimable
7,WA_2018_3,2.66,0.31,3.27,2.06,Estimable
