Location,Year,Cut,Block,Position,ID,Treatment,MSC,DM_Pct,Height_inch,Yield_MgHa,FallDormancy-cm
ID,2019,1,1,1,20101,80,2.7,15.85,28.7,6.47,
ID,2019,1,1,2,20102,132,2.9,14.47,29.8,7.04,
ID,2019,1,1,3,20103,202,2.4,17.69,29.7,6.08,
ID,2019,1,1,4,20104,103,2.8,18.42,26.5,6.06,
ID,2019,1,1,5,20105,201,2.6,15.27,32.8,6.75,
ID,2019,1,1,6,20106,104,2.4,17.20,30.0,6.67,
ID,2019,1,1,7,20107,43,2.2,16.51,24.1,6.32,
ID,2019,1,1,8,20108,154,2.8,17.48,26.7,4.47,
ID,2019,1,1,9,20109,40,2.6,15.67,24.4,7.80,
ID,2019,1,1,10,20110,78,2.4,15.21,28.2,7.73,
ID,2019,1,1,11,20111,91,3.0,18.29,24.8,7.99,
ID,2019,1,1,12,20112,48,2.7,17.05,27.6,7.43,
ID,2019,1,1,13,20113,72,2.4,15.03,33.3,9.40,
ID,2019,1,1,14,20114,178,2.4,17.54,31.1,9.08,
ID,2019,1,1,15,20115,110,2.1,18.34,30.8,7.08,
ID,2019,1,1,16,20116,16,2.8,15.98,25.9,7.36,
ID,2019,1,1,17,20117,44,2.7,16.76,29.7,8.69,
ID,2019,1,1,18,20118,51,2.3,16.38,28.0,7.58,
ID,2019,1,1,19,20119,130,2.5,19.22,27.5,7.54,
ID,2019,1,1,20,20120,166,2.4,18.99,23.2,6.47,
ID,2019,1,2,1,20201,54,2.3,18.75,23.0,6.34,
ID,2019,1,2,2,20202,15,2.3,17.70,26.9,6.73,
ID,2019,1,2,3,20203,201,2.5,16.17,31.5,8.38,
ID,2019,1,2,4,20204,6,3.0,19.14,28.0,6.51,
ID,2019,1,2,5,20205,33,2.4,16.34,31.2,6.91,
ID,2019,1,2,6,20206,100,2.7,13.91,30.2,7.97,
ID,2019,1,2,7,20207,179,2.3,17.94,28.0,8.51,
ID,2019,1,2,8,20208,126,3.0,14.59,30.1,8.43,
ID,2019,1,2,9,20209,92,2.6,18.23,31.1,7.82,
ID,2019,1,2,10,20210,174,2.8,14.91,29.9,9.34,
ID,2019,1,2,11,20211,28,2.3,15.58,24.6,8.74,
ID,2019,1,2,12,20212,144,2.6,18.81,29.3,8.36,
ID,2019,1,2,13,20213,202,2.8,17.73,31.7,9.42,
ID,2019,1,2,14,20214,66,2.0,18.84,29.1,5.86,
ID,2019,1,2,15,20215,90,2.7,14.48,23.4,7.17,
ID,2019,1,2,16,20216,68,2.3,15.83,33.2,7.51,
ID,2019,1,2,17,20217,149,2.8,17.11,30.9,7.82,
