Location,Year,Cut,Block,Position,ID,Treatment,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
ID,2018,1,1,1,20101,80,2,18.33,,2.54,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,2,20102,132,2.3,18.88,,3.41,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,3,20103,202,2.2,17.28,,3.17,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,4,20104,103,2.3,18.45,,2.83,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,5,20105,201,1.5,18.5,,2.87,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,6,20106,104,1.8,18.65,,2.65,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,7,20107,43,1.9,17.65,,2.29,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,8,20108,154,1.8,18.24,,2.69,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,9,20109,40,2.1,17.62,,2.65,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,10,20110,78,2.4,17.9,,2.95,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,11,20111,91,1.8,17.99,,3.49,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,12,20112,48,2.5,17.54,,2.92,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,13,20113,72,2.2,18.14,,2.88,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,14,20114,178,1.8,18.5,,2.57,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,15,20115,110,2.4,18.69,,3.69,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,16,20116,16,2.3,18.75,,3.19,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,17,20117,44,2.1,18.14,,2.05,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,18,20118,51,2,18.14,,2.66,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,19,20119,130,2,18.14,,2.77,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,1,20,20120,166,1.9,17.21,,2.84,,2.87,3.17,,,18.5,17.28,1.5,2.2
ID,2018,1,2,1,20201,54,2.4,20.66,,2.31,,3.05,3.84,,,19.74,18.18,2.2,1.8
ID,2018,1,2,2,20202,15,2,20,,2.97,,3.05,3.84,,,19.74,18.18,2.2,1.8
ID,2018,1,2,3,20203,201,2.2,19.74,,3.05,,3.05,3.84,,,19.74,18.18,2.2,1.8
