Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA,1,1,10101,123,1,4,2018,1,4.1,18.75,19,3.31,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,1,10101,123,1,4,2018,2,NA,NA,NA,5.06,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,1,10101,123,1,4,2018,3,NA,NA,23,3.89,19,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,1,10101,123,1,4,2019,1,2.7,13.74,31,5.32,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,1,10101,123,1,4,2019,2,2.3,NA,15.7,3.62,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,1,10101,123,1,4,2019,3,NA,NA,19.8,4.34,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,1,10101,123,1,4,2019,4,NA,NA,19.5,3.23,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,1,10101,123,1,4,2019,5,NA,NA,21.1,3.31,13.3,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,2,10102,29,1,3,2018,1,4.8,20.73,21,3.32,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,2,10102,29,1,3,2018,2,NA,NA,NA,3.98,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,2,10102,29,1,3,2018,3,NA,NA,16,2.82,7,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,2,10102,29,1,3,2019,1,2.9,17.31,22.5,4.69,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,2,10102,29,1,3,2019,2,1,NA,8.9,1.56,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,2,10102,29,1,3,2019,3,NA,NA,13.4,3.03,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,2,10102,29,1,3,2019,4,NA,NA,9.3,2.28,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,2,10102,29,1,3,2019,5,NA,NA,11.3,2.21,10.2,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
