date_init,date,loc,year,cut,harv_days1,harv_days2,harv_days3,cut_freq,cons_days,env,y_pos,cons_days1
1/1/18,7/11/18,OR,2018,2018_1,1,1,191,1,1,OR_2018_1,0,191
1/1/18,8/16/18,OR,2018,2018_2,36,36,227,36,36,OR_2018_2,0,227
1/1/18,10/5/18,OR,2018,2018_3,50,50,277,50,86,OR_2018_3,0,277
1/1/19,6/5/19,OR,2019,2019_1,243,1,155,1,329,OR_2019_1,0,520
1/1/19,7/10/19,OR,2019,2019_2,35,35,190,35,364,OR_2019_2,0,555
1/1/19,8/14/19,OR,2019,2019_3,35,35,225,35,399,OR_2019_3,0,590
1/1/19,10/2/19,OR,2019,2019_4,49,49,274,49,448,OR_2019_4,0,639
1/1/20,6/12/20,OR,2020,2020_1,254,1,163,1,702,OR_2020_1,0,893
1/1/20,7/15/20,OR,2020,2020_2,33,33,196,33,735,OR_2020_2,0,926
1/1/20,8/19/20,OR,2020,2020_3,35,35,231,35,770,OR_2020_3,0,961
1/1/20,10/8/20,OR,2020,2020_4,50,50,281,50,820,OR_2020_4,0,1011
1/1/21,6/10/21,OR,2021,2021_1,245,1,160,1,1065,OR_2021_1,0,1256
1/1/21,7/14/21,OR,2021,2021_2,34,34,194,34,1099,OR_2021_2,0,1290
1/1/21,8/18/21,OR,2021,2021_3,35,35,229,35,1134,OR_2021_3,0,1325
1/1/21,10/7/21,OR,2021,2021_4,50,50,279,50,1184,OR_2021_4,0,1375
1/1/18,6/29/18,WA,2018,2018_1,1,1,179,1,1,WA_2018_1,-0.2,179
1/1/18,8/3/18,WA,2018,2018_2,35,35,214,35,35,WA_2018_2,-0.2,214
1/1/18,9/12/18,WA,2018,2018_3,40,40,254,40,75,WA_2018_3,-0.2,254
1/1/19,5/14/19,WA,2019,2019_1,244,1,133,1,319,WA_2019_1,-0.2,498
1/1/19,6/11/19,WA,2019,2019_2,28,28,161,28,347,WA_2019_2,-0.2,526
1/1/19,7/10/19,WA,2019,2019_3,29,29,190,29,376,WA_2019_3,-0.2,555
1/1/19,8/6/19,WA,2019,2019_4,27,27,217,27,403,WA_2019_4,-0.2,582
1/1/19,9/10/19,WA,2019,2019_5,35,35,252,35,438,WA_2019_5,-0.2,617
1/1/20,5/23/20,WA,2020,2020_1,256,1,143,1,694,WA_2020_1,-0.2,873
1/1/20,6/18/20,WA,2020,2020_2,26,26,169,26,720,WA_2020_2,-0.2,899
1/1/20,7/16/20,WA,2020,2020_3,28,28,197,28,748,WA_2020_3,-0.2,927
1/1/20,8/19/20,WA,2020,2020_4,34,34,231,34,782,WA_2020_4,-0.2,961
1/1/20,9/26/20,WA,2020,2020_5,38,38,269,38,820,WA_2020_5,-0.2,999
1/1/21,5/18/21,WA,2021,2021_1,234,1,137,1,1054,WA_2021_1,-0.2,1233
1/1/21,6/16/21,WA,2021,2021_2,29,29,166,29,1083,WA_2021_2,-0.2,1262
1/1/21,7/19/21,WA,2021,2021_3,33,33,199,33,1116,WA_2021_3,-0.2,1295
1/1/21,8/16/21,WA,2021,2021_4,28,28,227,28,1144,WA_2021_4,-0.2,1323
1/1/21,9/21/21,WA,2021,2021_5,36,36,263,36,1180,WA_2021_5,-0.2,1359
1/1/18,7/18/18,ID,2018,2018_1,1,1,198,1,1,ID_2018_1,0.2,198
1/1/18,8/17/18,ID,2018,2018_2,30,30,228,30,30,ID_2018_2,0.2,228
1/1/18,10/10/18,ID,2018,2018_3,54,54,282,54,84,ID_2018_3,0.2,282
1/1/19,6/5/19,ID,2019,2019_1,238,1,155,1,322,ID_2019_1,0.2,520
1/1/19,7/11/19,ID,2019,2019_2,36,36,191,36,358,ID_2019_2,0.2,556
1/1/19,8/13/19,ID,2019,2019_3,33,33,224,33,391,ID_2019_3,0.2,589
1/1/19,9/10/19,ID,2019,2019_4,28,28,252,28,419,ID_2019_4,0.2,617
1/1/20,5/27/20,ID,2020,2020_1,260,1,147,1,679,ID_2020_1,0.2,877
1/1/20,6/23/20,ID,2020,2020_2,27,27,174,27,706,ID_2020_2,0.2,904
1/1/20,7/24/20,ID,2020,2020_3,31,31,205,31,737,ID_2020_3,0.2,935
1/1/20,8/27/20,ID,2020,2020_4,34,34,239,34,771,ID_2020_4,0.2,969
