Location,Block,Position,ID,Treatment,row,col
WA,1,1,10101,123,1,4
WA,1,2,10102,29,1,3
WA,1,3,10103,162,1,2
WA,1,4,10104,201,1,1
WA,1,5,10105,126,2,4
WA,1,6,10106,191,2,3
WA,1,7,10107,159,2,2
WA,1,8,10108,139,2,1
WA,1,9,10109,77,3,4
WA,1,10,10110,69,3,3
WA,1,11,10111,121,3,2
WA,1,12,10112,84,3,1
WA,1,13,10113,133,4,4
WA,1,14,10114,125,4,3
WA,1,15,10115,202,4,2
WA,1,16,10116,32,4,1
WA,1,17,10117,37,5,4
WA,1,18,10118,13,5,3
WA,1,19,10119,116,5,2
WA,1,20,10120,164,5,1
WA,2,1,10201,35,6,4
WA,2,2,10202,146,6,3
WA,2,3,10203,43,6,2
WA,2,4,10204,24,6,1
WA,2,5,10205,202,7,4
WA,2,6,10206,104,7,3
WA,2,7,10207,76,7,2
WA,2,8,10208,107,7,1
WA,2,9,10209,158,8,4
WA,2,10,10210,195,8,3
WA,2,11,10211,78,8,2
WA,2,12,10212,3,8,1
WA,2,13,10213,82,9,4
WA,2,14,10214,201,9,3
WA,2,15,10215,34,9,2
WA,2,16,10216,156,9,1
WA,2,17,10217,6,10,4
WA,2,18,10218,52,10,3
WA,2,19,10219,90,10,2
WA,2,20,10220,140,10,1
WA,3,1,10301,91,11,4
WA,3,2,10302,201,11,3
WA,3,3,10303,40,11,2
WA,3,4,10304,177,11,1
WA,3,5,10305,119,12,4
WA,3,6,10306,189,12,3
WA,3,7,10307,145,12,2
WA,3,8,10308,186,12,1
WA,3,9,10309,114,13,4
WA,3,10,10310,50,13,3
WA,3,11,10311,111,13,2
WA,3,12,10312,202,13,1
WA,3,13,10313,66,14,4
WA,3,14,10314,12,14,3
WA,3,15,10315,197,14,2
WA,3,16,10316,185,14,1
WA,3,17,10317,26,15,4
WA,3,18,10318,182,15,3
WA,3,19,10319,33,15,2
WA,3,20,10320,36,15,1
WA,4,1,10401,149,16,4
WA,4,2,10402,115,16,3
WA,4,3,10403,136,16,2
WA,4,4,10404,22,16,1
WA,4,5,10405,53,17,4
WA,4,6,10406,165,17,3
WA,4,7,10407,202,17,2
WA,4,8,10408,56,17,1
WA,4,9,10409,73,18,4
WA,4,10,10410,131,18,3
WA,4,11,10411,89,18,2
WA,4,12,10412,94,18,1
WA,4,13,10413,201,19,4
WA,4,14,10414,190,19,3
WA,4,15,10415,68,19,2
WA,4,16,10416,196,19,1
WA,4,17,10417,100,20,4
WA,4,18,10418,120,20,3
WA,4,19,10419,61,20,2
WA,4,20,10420,179,20,1
WA,5,1,10501,124,21,4
WA,5,2,10502,174,21,3
WA,5,3,10503,128,21,2
WA,5,4,10504,103,21,1
WA,5,5,10505,181,22,4
WA,5,6,10506,108,22,3
WA,5,7,10507,14,22,2
WA,5,8,10508,201,22,1
WA,5,9,10509,127,23,4
WA,5,10,10510,17,23,3
WA,5,11,10511,172,23,2
WA,5,12,10512,23,23,1
WA,5,13,10513,99,24,4
WA,5,14,10514,202,24,3
WA,5,15,10515,67,24,2
WA,5,16,10516,138,24,1
WA,5,17,10517,130,25,4
WA,5,18,10518,87,25,3
WA,5,19,10519,161,25,2
WA,5,20,10520,106,25,1
WA,6,1,10601,188,26,4
WA,6,2,10602,151,26,3
WA,6,3,10603,19,26,2
WA,6,4,10604,202,26,1
WA,6,5,10605,154,27,4
WA,6,6,10606,5,27,3
WA,6,7,10607,80,27,2
WA,6,8,10608,176,27,1
WA,6,9,10609,183,28,4
WA,6,10,10610,117,28,3
WA,6,11,10611,118,28,2
WA,6,12,10612,79,28,1
WA,6,13,10613,201,29,4
WA,6,14,10614,46,29,3
WA,6,15,10615,113,29,2
WA,6,16,10616,25,29,1
WA,6,17,10617,71,30,4
WA,6,18,10618,41,30,3
WA,6,19,10619,95,30,2
WA,6,20,10620,171,30,1
WA,7,1,10701,38,31,4
WA,7,2,10702,202,31,3
WA,7,3,10703,150,31,2
WA,7,4,10704,143,31,1
WA,7,5,10705,72,32,4
WA,7,6,10706,11,32,3
WA,7,7,10707,135,32,2
WA,7,8,10708,54,32,1
WA,7,9,10709,27,33,4
WA,7,10,10710,45,33,3
WA,7,11,10711,64,33,2
WA,7,12,10712,163,33,1
WA,7,13,10713,8,34,4
WA,7,14,10714,51,34,3
WA,7,15,10715,201,34,2
WA,7,16,10716,192,34,1
WA,7,17,10717,18,35,4
WA,7,18,10718,129,35,3
WA,7,19,10719,74,35,2
WA,7,20,10720,70,35,1
WA,8,1,10801,170,36,4
WA,8,2,10802,112,36,3
WA,8,3,10803,93,36,2
WA,8,4,10804,98,36,1
WA,8,5,10805,44,37,4
WA,8,6,10806,180,37,3
WA,8,7,10807,137,37,2
WA,8,8,10808,193,37,1
WA,8,9,10809,10,38,4
WA,8,10,10810,169,38,3
WA,8,11,10811,141,38,2
WA,8,12,10812,58,38,1
WA,8,13,10813,75,39,4
WA,8,14,10814,28,39,3
WA,8,15,10815,47,39,2
WA,8,16,10816,201,39,1
WA,8,17,10817,202,40,4
WA,8,18,10818,48,40,3
WA,8,19,10819,42,40,2
WA,8,20,10820,194,40,1
WA,9,1,10901,97,41,4
WA,9,2,10902,31,41,3
WA,9,3,10903,63,41,2
WA,9,4,10904,110,41,1
WA,9,5,10905,184,42,4
WA,9,6,10906,16,42,3
WA,9,7,10907,201,42,2
WA,9,8,10908,55,42,1
WA,9,9,10909,4,43,4
WA,9,10,10910,202,43,3
WA,9,11,10911,102,43,2
WA,9,12,10912,7,43,1
WA,9,13,10913,132,44,4
WA,9,14,10914,122,44,3
WA,9,15,10915,173,44,2
WA,9,16,10916,155,44,1
WA,9,17,10917,86,45,4
WA,9,18,10918,20,45,3
WA,9,19,10919,175,45,2
WA,9,20,10920,187,45,1
WA,10,1,11001,49,46,4
WA,10,2,11002,92,46,3
WA,10,3,11003,198,46,2
WA,10,4,11004,96,46,1
WA,10,5,11005,57,47,4
WA,10,6,11006,1,47,3
WA,10,7,11007,166,47,2
WA,10,8,11008,101,47,1
WA,10,9,11009,178,48,4
WA,10,10,11010,21,48,3
WA,10,11,11011,88,48,2
WA,10,12,11012,142,48,1
WA,10,13,11013,85,49,4
WA,10,14,11014,15,49,3
WA,10,15,11015,148,49,2
WA,10,16,11016,202,49,1
WA,10,17,11017,59,50,4
WA,10,18,11018,105,50,3
WA,10,19,11019,201,50,2
WA,10,20,11020,153,50,1
WA,11,1,11101,167,51,4
WA,11,2,11102,202,51,3
WA,11,3,11103,134,51,2
WA,11,4,11104,152,51,1
WA,11,5,11105,2,52,4
WA,11,6,11106,109,52,3
WA,11,7,11107,83,52,2
WA,11,8,11108,39,52,1
WA,11,9,11109,9,53,4
WA,11,10,11110,147,53,3
WA,11,11,11111,168,53,2
WA,11,12,11112,160,53,1
WA,11,13,11113,60,54,4
WA,11,14,11114,157,54,3
WA,11,15,11115,62,54,2
WA,11,16,11116,81,54,1
WA,11,17,11117,201,55,4
WA,11,18,11118,65,55,3
WA,11,19,11119,30,55,2
WA,11,20,11120,144,55,1
ID,1,1,20101,80,1,4
ID,1,2,20102,132,1,3
ID,1,3,20103,202,1,2
ID,1,4,20104,103,1,1
ID,1,5,20105,201,2,4
ID,1,6,20106,104,2,3
ID,1,7,20107,43,2,2
ID,1,8,20108,154,2,1
ID,1,9,20109,40,3,4
ID,1,10,20110,78,3,3
ID,1,11,20111,91,3,2
ID,1,12,20112,48,3,1
ID,1,13,20113,72,4,4
ID,1,14,20114,178,4,3
ID,1,15,20115,110,4,2
ID,1,16,20116,16,4,1
ID,1,17,20117,44,5,4
ID,1,18,20118,51,5,3
ID,1,19,20119,130,5,2
ID,1,20,20120,166,5,1
ID,2,1,20201,54,6,4
ID,2,2,20202,15,6,3
ID,2,3,20203,201,6,2
ID,2,4,20204,6,6,1
ID,2,5,20205,33,7,4
ID,2,6,20206,100,7,3
ID,2,7,20207,179,7,2
ID,2,8,20208,126,7,1
ID,2,9,20209,92,8,4
ID,2,10,20210,174,8,3
ID,2,11,20211,28,8,2
ID,2,12,20212,144,8,1
ID,2,13,20213,202,9,4
ID,2,14,20214,66,9,3
ID,2,15,20215,90,9,2
ID,2,16,20216,68,9,1
ID,2,17,20217,149,10,4
ID,2,18,20218,102,10,3
ID,2,19,20219,168,10,2
ID,2,20,20220,164,10,1
ID,3,1,20301,186,11,4
ID,3,2,20302,159,11,3
ID,3,3,20303,147,11,2
ID,3,4,20304,109,11,1
ID,3,5,20305,29,12,4
ID,3,6,20306,75,12,3
ID,3,7,20307,161,12,2
ID,3,8,20308,127,12,1
ID,3,9,20309,120,13,4
ID,3,10,20310,155,13,3
ID,3,11,20311,41,13,2
ID,3,12,20312,151,13,1
ID,3,13,20313,150,14,4
ID,3,14,20314,201,14,3
ID,3,15,20315,195,14,2
ID,3,16,20316,108,14,1
ID,3,17,20317,162,15,4
ID,3,18,20318,60,15,3
ID,3,19,20319,134,15,2
ID,3,20,20320,202,15,1
ID,4,1,20401,34,16,4
ID,4,2,20402,97,16,3
ID,4,3,20403,56,16,2
ID,4,4,20404,23,16,1
ID,4,5,20405,202,17,4
ID,4,6,20406,129,17,3
ID,4,7,20407,187,17,2
ID,4,8,20408,111,17,1
ID,4,9,20409,76,18,4
ID,4,10,20410,158,18,3
ID,4,11,20411,201,18,2
ID,4,12,20412,39,18,1
ID,4,13,20413,87,19,4
ID,4,14,20414,172,19,3
ID,4,15,20415,157,19,2
ID,4,16,20416,169,19,1
ID,4,17,20417,177,20,4
ID,4,18,20418,22,20,3
ID,4,19,20419,61,20,2
ID,4,20,20420,180,20,1
ID,5,1,20501,152,21,4
ID,5,2,20502,202,21,3
ID,5,3,20503,148,21,2
ID,5,4,20504,201,21,1
ID,5,5,20505,85,22,4
ID,5,6,20506,193,22,3
ID,5,7,20507,79,22,2
ID,5,8,20508,89,22,1
ID,5,9,20509,2,23,4
ID,5,10,20510,73,23,3
ID,5,11,20511,196,23,2
ID,5,12,20512,119,23,1
ID,5,13,20513,59,24,4
ID,5,14,20514,9,24,3
ID,5,15,20515,63,24,2
ID,5,16,20516,125,24,1
ID,5,17,20517,122,25,4
ID,5,18,20518,138,25,3
ID,5,19,20519,191,25,2
ID,5,20,20520,183,25,1
ID,6,1,20601,3,26,4
ID,6,2,20602,26,26,3
ID,6,3,20603,8,26,2
ID,6,4,20604,133,26,1
ID,6,5,20605,96,27,4
ID,6,6,20606,64,27,3
ID,6,7,20607,42,27,2
ID,6,8,20608,145,27,1
ID,6,9,20609,10,28,4
ID,6,10,20610,74,28,3
ID,6,11,20611,167,28,2
ID,6,12,20612,188,28,1
ID,6,13,20613,69,29,4
ID,6,14,20614,4,29,3
ID,6,15,20615,201,29,2
ID,6,16,20616,202,29,1
ID,6,17,20617,153,30,4
ID,6,18,20618,112,30,3
ID,6,19,20619,30,30,2
ID,6,20,20620,83,30,1
ID,7,1,20701,184,31,4
ID,7,2,20702,170,31,3
ID,7,3,20703,47,31,2
ID,7,4,20704,57,31,1
ID,7,5,20705,88,32,4
ID,7,6,20706,113,32,3
ID,7,7,20707,93,32,2
ID,7,8,20708,7,32,1
ID,7,9,20709,36,33,4
ID,7,10,20710,165,33,3
ID,7,11,20711,140,33,2
ID,7,12,20712,107,33,1
ID,7,13,20713,182,34,4
ID,7,14,20714,202,34,3
ID,7,15,20715,71,34,2
ID,7,16,20716,198,34,1
ID,7,17,20717,192,35,4
ID,7,18,20718,65,35,3
ID,7,19,20719,190,35,2
ID,7,20,20720,201,35,1
ID,8,1,20801,135,36,4
ID,8,2,20802,117,36,3
ID,8,3,20803,21,36,2
ID,8,4,20804,185,36,1
ID,8,5,20805,20,37,4
ID,8,6,20806,114,37,3
ID,8,7,20807,176,37,2
ID,8,8,20808,46,37,1
ID,8,9,20809,81,38,4
ID,8,10,20810,171,38,3
ID,8,11,20811,201,38,2
ID,8,12,20812,194,38,1
ID,8,13,20813,11,39,4
ID,8,14,20814,45,39,3
ID,8,15,20815,163,39,2
ID,8,16,20816,202,39,1
ID,8,17,20817,141,40,4
ID,8,18,20818,49,40,3
ID,8,19,20819,143,40,2
ID,8,20,20820,19,40,1
ID,9,1,20901,1,41,4
ID,9,2,20902,123,41,3
ID,9,3,20903,35,41,2
ID,9,4,20904,86,41,1
ID,9,5,20905,27,42,4
ID,9,6,20906,131,42,3
ID,9,7,20907,181,42,2
ID,9,8,20908,70,42,1
ID,9,9,20909,14,43,4
ID,9,10,20910,121,43,3
ID,9,11,20911,106,43,2
ID,9,12,20912,53,43,1
ID,9,13,20913,201,44,4
ID,9,14,20914,38,44,3
ID,9,15,20915,115,44,2
ID,9,16,20916,5,44,1
ID,9,17,20917,160,45,4
ID,9,18,20918,175,45,3
ID,9,19,20919,202,45,2
ID,9,20,20920,118,45,1
ID,10,1,21001,105,46,4
ID,10,2,21002,58,46,3
ID,10,3,21003,62,46,2
ID,10,4,21004,201,46,1
ID,10,5,21005,95,47,4
ID,10,6,21006,82,47,3
ID,10,7,21007,12,47,2
ID,10,8,21008,128,47,1
ID,10,9,21009,136,48,4
ID,10,10,21010,101,48,3
ID,10,11,21011,98,48,2
ID,10,12,21012,142,48,1
ID,10,13,21013,202,49,4
ID,10,14,21014,139,49,3
ID,10,15,21015,52,49,2
ID,10,16,21016,37,49,1
ID,10,17,21017,77,50,4
ID,10,18,21018,116,50,3
ID,10,19,21019,13,50,2
ID,10,20,21020,124,50,1
ID,11,1,21101,189,51,4
ID,11,2,21102,17,51,3
ID,11,3,21103,197,51,2
ID,11,4,21104,201,51,1
ID,11,5,21105,156,52,4
ID,11,6,21106,25,52,3
ID,11,7,21107,173,52,2
ID,11,8,21108,84,52,1
ID,11,9,21109,202,53,4
ID,11,10,21110,94,53,3
ID,11,11,21111,146,53,2
ID,11,12,21112,18,53,1
ID,11,13,21113,55,54,4
ID,11,14,21114,31,54,3
ID,11,15,21115,24,54,2
ID,11,16,21116,99,54,1
ID,11,17,21117,137,55,4
ID,11,18,21118,67,55,3
ID,11,19,21119,50,55,2
ID,11,20,21120,32,55,1
OR,1,1,30101,34,1,2
OR,1,2,30102,90,1,1
OR,1,3,30103,201,2,2
OR,1,4,30104,55,2,1
OR,1,5,30105,10,3,2
OR,1,6,30106,192,3,1
OR,1,7,30107,145,4,2
OR,1,8,30108,48,4,1
OR,1,9,30109,74,5,2
OR,1,10,30110,159,5,1
OR,1,11,30111,176,6,2
OR,1,12,30112,95,6,1
OR,1,13,30113,190,7,2
OR,1,14,30114,81,7,1
OR,1,15,30115,167,8,2
OR,1,16,30116,123,8,1
OR,1,17,30117,46,9,2
OR,1,18,30118,160,9,1
OR,1,19,30119,18,10,2
OR,1,20,30120,202,10,1
OR,2,1,30201,178,11,2
OR,2,2,30202,121,11,1
OR,2,3,30203,173,12,2
OR,2,4,30204,65,12,1
OR,2,5,30205,181,13,2
OR,2,6,30206,25,13,1
OR,2,7,30207,153,14,2
OR,2,8,30208,40,14,1
OR,2,9,30209,78,15,2
OR,2,10,30210,201,15,1
OR,2,11,30211,179,16,2
OR,2,12,30212,21,16,1
OR,2,13,30213,59,17,2
OR,2,14,30214,92,17,1
OR,2,15,30215,27,18,2
OR,2,16,30216,193,18,1
OR,2,17,30217,202,19,2
OR,2,18,30218,94,19,1
OR,2,19,30219,99,20,2
OR,2,20,30220,51,20,1
OR,3,1,30301,139,21,2
OR,3,2,30302,113,21,1
OR,3,3,30303,183,22,2
OR,3,4,30304,37,22,1
OR,3,5,30305,189,23,2
OR,3,6,30306,84,23,1
OR,3,7,30307,133,24,2
OR,3,8,30308,187,24,1
OR,3,9,30309,202,25,2
OR,3,10,30310,110,25,1
OR,3,11,30311,144,26,2
OR,3,12,30312,79,26,1
OR,3,13,30313,195,27,2
OR,3,14,30314,77,27,1
OR,3,15,30315,54,28,2
OR,3,16,30316,161,28,1
OR,3,17,30317,104,29,2
OR,3,18,30318,177,29,1
OR,3,19,30319,4,30,2
OR,3,20,30320,201,30,1
OR,4,1,30401,108,31,2
OR,4,2,30402,197,31,1
OR,4,3,30403,100,32,2
