gen,ST1_MS_ID_2018_1,ST1_MS_ID_2019_1,ST1_MS_OR_2018_1,ST1_MS_OR_2019_1,ST1_MS_OR_2020_1,ST1_MS_WA_2018_1,ST1_MS_WA_2019_1,ST1_MS_WA_2019_2,ST1_MS_WA_2020_1,ST1_MS_WA_2020_2,ST1_MS_WA_2020_3,ST1_MS_WA_2020_4,ST1_MS_WA_2020_5,ST1_DM_ID_2018_1,ST1_DM_ID_2019_1,ST1_DM_OR_2018_1,ST1_DM_OR_2019_1,ST1_DM_OR_2020_1,ST1_DM_WA_2018_1,ST1_DM_WA_2019_1,ST1_DM_WA_2020_1,ST1_He_ID_2019_1,ST1_He_OR_2018_1,ST1_He_OR_2018_3,ST1_He_OR_2019_1,ST1_He_OR_2019_2,ST1_He_OR_2019_3,ST1_He_OR_2019_4,ST1_He_OR_2020_2,ST1_He_OR_2020_3,ST1_He_OR_2020_4,ST1_He_WA_2018_1,ST1_He_WA_2018_3,ST1_He_WA_2019_1,ST1_He_WA_2019_2,ST1_He_WA_2019_3,ST1_He_WA_2019_4,ST1_He_WA_2019_5,ST1_He_WA_2020_1,ST1_He_WA_2020_2,ST1_He_WA_2020_3,ST1_He_WA_2020_4,ST1_He_WA_2020_5,ST1_Yi_ID_2018_1,ST1_Yi_ID_2018_2,ST1_Yi_ID_2018_3,ST1_Yi_ID_2019_1,ST1_Yi_ID_2019_2,ST1_Yi_ID_2019_3,ST1_Yi_ID_2019_4,ST1_Yi_OR_2018_1,ST1_Yi_OR_2018_2,ST1_Yi_OR_2018_3,ST1_Yi_OR_2019_1,ST1_Yi_OR_2019_2,ST1_Yi_OR_2019_3,ST1_Yi_OR_2019_4,ST1_Yi_OR_2020_1,ST1_Yi_OR_2020_2,ST1_Yi_OR_2020_3,ST1_Yi_OR_2020_4,ST1_Yi_WA_2018_1,ST1_Yi_WA_2018_2,ST1_Yi_WA_2018_3,ST1_Yi_WA_2019_1,ST1_Yi_WA_2019_2,ST1_Yi_WA_2019_3,ST1_Yi_WA_2019_4,ST1_Yi_WA_2019_5,ST1_Yi_WA_2020_1,ST1_Yi_WA_2020_2,ST1_Yi_WA_2020_3,ST1_Yi_WA_2020_4,ST1_Yi_WA_2020_5,ST1_FD_ID_2019_4,ST1_FD_WA_2018_3,ST1_FD_WA_2019_5,ST3_MS_ID,ST3_MS_OR,ST3_MS_WA,ST3_DM_ID,ST3_DM_OR,ST3_DM_WA,ST3_He_OR,ST3_He_WA,ST3_Yi_ID,ST3_Yi_OR,ST3_Yi_WA,ST4_MS_Overall,ST4_DM_Overall,ST4_He_Overall,ST4_Yi_Overall,ST4_FD_Overall,PC1,PC2,PC3
1,2.6882388395923,2.14829118526165,2.31341134630803,3.52918324925681,3.77992472103931,3.62080401542376,2.63955157163613,3.06983804011253,3.71691586635008,3.20376039079894,3.73234840330627,4.3752011287202,2.05367771030913,19.7268498604993,16.3607967702934,21.0153139115563,19.88812367159,22.4275128519068,21.018120324028,17.1640614764541,19.2920462178969,32.4621729898317,21.8466944228471,18.4822730540706,30.0634029128343,32.5940029355635,26.2796559570457,28.4145579889839,22.7081959982464,28.6877049864294,23.7305639994939,24.2090615265873,25.0679161803204,27.8514890986462,14.166065882846,22.5854725377509,15.2671621594874,16.8537584505352,21.2557458678675,19.780285978475,21.01555724563,25.9252613572557,15.8091870907194,2.29275830713908,2.64445433930021,1.70083918109216,8.38971431939237,6.68744492024476,5.96003646487264,4.93828536816243,4.17698520974373,6.1622920824787,4.31740644260831,6.31313592982575,5.17390620078874,3.24362139958648,4.09838682863106,5.73143150287809,2.08863696441573,2.81994323182646,2.52947633306641,4.08624409880726,4.96325811073352,2.48987046555175,6.0228503093847,3.78922462374253,3.819111835496,2.21691878255421,2.01278792393875,4.82222817931043,3.09560171179565,2.7213770821764,4.06797066873222,0.914866133988869,10.0719018238138,13.457618487132,13.4403854093485,2.41779622983353,3.20753606245331,3.30108461207692,18.0416104413534,21.1108714031437,19.1577167402013,25.86736214746,20.801963250628,4.6687646310619,4.24259224411047,3.48982252795433,3.14393434370116,19.6116031355281,23.4116449373394,4.00938919200856,12.3233019067647,-26.7248424386121,5.04952547188287,-8.68115862208157
2,1.70006630169728,2.18150497417349,2.45315226064679,2.76758631459143,3.72252227663149,4.2633176987011,2.52101417177113,1.89842175825266,3.99286185732329,2.52398104784037,4.30751757845182,3.41180248728481,1.67104310452172,19.9275841050113,18.4884323663385,23.0791305101059,21.3501447699833,23.3528162616532,23.37810771198,21.3455180523047,19.8162483356779,31.5314881529899,25.0210617441061,17.6039673567994,30.5286977829026,31.3347902900777,33.6248560420368,28.171060723558,25.7934577725219,30.3385996510119,27.2098174347982,25.3481323619669,22.0550094966129,32.9949753025504,22.0827369512815,23.3221262640743,22.1280480669243,21.4446387608015,25.1575529677346,21.2813796834009,24.8063963263477,29.0309953592491,18.1972542075946,2.62640903132186,2.92019423052081,1.81127010992833,8.08607759308893,6.04898936000875,6.20019992086698,5.39424203811485,4.61679161550018,5.77326550922943,3.45903822101913,7.52221591373726,4.98769785169077,2.55873924247802,3.43346072701481,8.48742527774287,3.16670274591264,3.65015968529723,2.39706937504008,4.13968527728453,2.7352437292556,2.91967631481881,6.87574796802453,3.63866940750781,4.34226555645005,3.29672149932365,2.75664323978671,6.54845003059741,4.25902848708319,3.66994118619987,4.79423562130512,1.82732131111295,11.7593133426325,13.7181413997553,12.6288576525203,1.94049821308504,2.98103566068734,3.07584636181706,19.2040159105648,22.5934786409364,21.5089799750137,27.7341288006518,24.0306944530551,4.73629911183051,4.54934699104902,3.9906754537815,2.87806091014518,21.3422477641318,25.8639564863337,4.35301864765365,12.702104131636,-59.3515482750374,-0.0700322951581835,-3.5083359755665
3,1.8598126357024,2.38463139676656,2.58292318078955,3.24540565303726,3.97582046401222,2.84192307502961,3.1393900304261,1.75779187740197,2.8846871916504,3.15007063995997,3.09638962901887,3.23985765140058,2.16081426154508,21.0620627220117,18.4751149861909,21.3136899052952,20.3934876555777,22.4036029558985,24.6321596694269,19.5192836324322,19.1691181962085,26.0336653054816,27.0663930616117,16.3493661970812,29.0011803115694,33.0152586797163,35.1758252704053,29.3279872564623,27.1296137281082,28.3619213540457,20.8309339457294,28.5784265281535,23.9504089513552,26.6122339544405,23.3203556813967,23.0115843368641,20.0180578845352,20.7422083463465,27.0955837297461,20.8475182026325,22.5675961557354,30.0696362659848,14.2415938744207,2.14404545548754,1.88039796321121,2.51240511740863,6.89519919342365,7.61980596186917,6.69351125158941,4.20857989185475,3.55844146757036,4.85338911771625,2.96918325065379,7.42171809159438,5.8122577276582,4.2754131030574,3.44340174017382,6.35576412493684,3.48854688503214,3.62755624555989,1.96930345587007,5.82907672903795,5.79929749703904,2.69201722722802,7.10276956398916,5.31792587746946,4.35441609438546,3.46983788145792,3.19676985180009,7.00690820798913,4.57091310571608,4.09895123961224,4.52396404887853,1.26729429052571,8.91796346476077,15.9156612037667,10.8426399910088,2.12242697259336,3.26833225218062,2.78252673290837,19.7680054888157,21.3689618315912,21.1043373999879,27.3596772598882,23.4374862921931,4.56369521373617,4.34280363068921,4.56930446778952,2.7938090528262,20.8710649653802,25.1521522282646,4.48255037612246,11.8920882198454,-42.9064761311201,-35.2364755594798,-2.31900822237277
4,1.32440417036587,2.28795543705644,2.56739730904839,1.98284324841019,3.69449376428887,3.156125872233,2.7751235361116,2.48438468556981,3.56717323869689,2.40913491885549,3.86062610198009,3.88228751572294,2.1178853192063,20.848448024007,18.274672411552,16.4311082443335,19.9611248765018,20.4086398254853,23.7293270182132,14.7630450104348,19.1163157596598,28.7771373761083,28.680456853095,12.2534735248153,31.8228196835689,25.6257780506629,25.9624217334549,17.5830944387673,22.4044837235831,27.1370723620365,15.682610472788,21.3606148954616,18.656106641529,31.33170015654,9.51860092202398,12.519595700857,13.4965368129629,15.8583799145991,23.2917930275693,13.8098274618047,17.2789676642243,25.8448024574998,6.58075168224147,2.09351875463601,2.647702924245,2.15419867587099,7.42520773655003,5.94511028852521,4.70934664769304,3.15408610820815,3.74764097474846,4.00894566337151,3.13586639650748,6.39126705494439,3.72092111902386,4.38590255605724,2.84676525236948,7.04253615554704,3.3365076866001,3.70580978359721,2.48520381875498,4.90851928469461,3.66733474392369,2.58173464891828,3.15685929431099,0.955666290229735,2.06369179298055,2.58534234248288,2.26387867407449,4.15790023340002,1.45100040012599,2.41244538641454,4.3148103250894,0.959971228356309,8.39044741033556,8.54594356951614,8.74115285368028,1.80605128594386,2.74838276100257,3.03359163523111,19.5631402446689,18.9320224127329,19.2054839920722,23.0182848160097,17.4517991657319,4.02584264041561,4.07301707350175,2.70117106462655,2.77767962442661,19.1915851462734,20.2489557070997,3.49728039491134,8.55918127784399,-46.2577697186261,-6.30879426745707,9.38744649265358
5,2.42385729922734,2.28661943833532,2.38344387270223,3.4962615745985,4.38279430761652,3.69843617159964,2.5043570508578,2.37245475706848,2.80891227746985,2.96819042286492,3.52944240753167,3.94074820439474,2.08825144967369,18.0537324817482,18.5545386109065,18.0732870216022,19.6529714805139,23.2134158541261,26.4847533917051,11.9168177035164,19.9546014563509,31.7310472182553,21.8107953654912,15.4343694092796,35.7859191559116,37.5709331775564,31.204789040398,29.5499124223982,29.618370709565,32.2020430093839,24.0077541325222,30.2551073227551,17.7168712886907,26.5734756164019,21.3643561217952,18.5122341834969,16.469527001731,17.6125776611365,27.2917549244287,21.5199590510734,19.2203662868998,24.3431054437358,13.6610971934002,2.69490659420803,6.54099228079136,0.563383336244875,7.35015383303906,6.6679680050657,5.7715268238272,4.36337114390387,4.02133556837845,4.61158176220256,3.2732170865202,5.75328657665321,5.677208079334,3.43645698128488,2.88365176967072,6.52844935745553,2.91091414698881,3.38186583706829,2.13243753802622,5.64544766330318,4.71650999555797,2.68469467211363,4.42797045712105,3.90042969882017,3.37949270641839,2.25451414798883,2.36594608576613,6.68675585710035,4.0773037853846,2.57544251089633,3.64722479656435,1.15103449813145,9.01633793154264,6.30274064129055,8.26900242224322,2.35510020568566,3.42088987311107,2.98743593636266,18.3070112663942,20.3112583203035,19.452096327784,28.5747280493832,21.2046868248342,4.84904747505719,4.05592781728505,3.66044846260404,2.99105917184159,19.4880147500586,24.702562078923,4.06695076115579,7.86269366502547,-53.1852655610954,-13.8797529726936,-4.0884498549483
6,3.00949647354756,2.67016309937256,2.35925635395307,2.50323889693643,3.85198311476401,3.56144078847972,2.72507660873583,1.91894514935255,2.74010932216659,3.34138366563711,3.23525343396568,3.31441887754527,2.4014676545765,22.6692069320076,19.0996883990135,20.489095332784,19.8029119535693,21.3647150890872,23.1142316299388,17.0199555030233,18.830292035698,25.8887567029606,30.8016899654592,15.4167453788857,40.6063657218315,34.448847587862,31.5843366523146,28.0788854892882,34.2688579468837,35.8673458245835,19.5974154884418,26.749054423493,18.2237964974536,33.0747163972187,22.4731783218496,22.0251262537563,19.2642556608445,20.9477586365188,26.1249287136101,20.0590360943829,21.7273733726998,26.0088968435686,8.64572709545867,1.91877979455788,0.813375960501925,1.85400911496211,5.15598236196693,6.55960612853845,5.39703988636613,3.6311930719261,4.66463092036544,4.09345019573162,2.96955708230894,7.25159204303554,5.23963370496139,3.49530567425246,3.25546208534747,6.07325041653735,3.73161840022478,3.47479012076211,3.58320706782835,4.74729279055329,3.84206727189202,2.65554467755268,6.20816146101092,4.41914782478186,3.5300541793351,2.88257238849584,2.18370742800936,5.9672538803307,3.97809520659788,3.16813499069497,3.76045372866406,0.48308942556505,10.6416572007311,14.2529239579285,7.77438672203271,2.84049176960017,2.90490790601642,2.90332063722682,20.8864165719433,20.5505793070614,19.6522447180575,30.0727933451537,22.1178377271035,3.58808359983524,4.3494266603374,3.68000816842277,2.89478718761791,20.2987621093902,25.5401406849712,3.90284062205351,10.8896559602307,-55.2400829179303,-9.98399598515288,-24.3357574657033
7,2.86879379432425,2.76431652267347,2.68851416281311,2.748581452456,3.69634152442665,3.84344709145836,2.77877291312511,2.78464537552789,4.20868460457303,3.14505475538392,3.26981856504138,4.69198908909244,1.98678157378311,21.1971132278314,17.3101497861511,18.282988913857,19.1619077987747,19.3436469299858,21.6419536344976,15.520752078084,18.7153411160696,21.2784591076814,24.933417830199,11.5992495670568,34.880365231482,26.6212666804961,24.998562201301,14.6039780105643,22.4675729182442,24.0009753144015,10.8394033384719,23.5002963318985,20.2670565294406,28.7482488981925,13.1146044452421,15.2270420254512,16.5062910613623,18.9224793970528,26.0417957624267,19.429988250009,19.0397038285144,24.4471369198434,10.0726385043208,3.28711404418938,3.43548504594676,2.176734554733,6.39541595721977,6.78552033010653,3.49593518815246,4.84485819209186,3.87855081659091,4.42288862070005,1.99599920011808,5.5729730698974,4.1683617531882,3.4805188641135,2.17560103910746,6.07639538939977,1.37405847917409,1.62290482009069,1.86168812305524,4.12570781022984,3.27689656313131,1.99008948564785,5.14525446200103,2.07312649415145,2.88388358029007,2.75168523925552,2.48116178049132,5.63398615201559,2.69639852143675,3.07500778464442,3.73946746976644,0.615424813064156,8.38048592037352,7.58980197527007,13.3828679436201,2.81689097126097,3.04428575207328,3.33814314759137,19.2560106870169,18.9288027673324,18.6293269370922,21.6573650912045,19.6573463725108,4.38476709492871,3.32921794304777,3.12485895119779,3.19044164805221,18.8967316856564,20.5245696433478,3.46900302077422,9.78438527975455,-15.8016841142907,21.6226116911828,-17.1392770044888
8,1.85893242869307,2.08566560857729,2.68969807656375,2.90412825179418,3.84033502835114,3.10531443871641,3.09038806763822,0.96782755588787,3.06325182560316,1.4893871994182,4.44911999976695,4.23164971932433,1.28656138747602,20.0544076913642,17.3407225583852,17.3962908166496,18.9140904042925,20.1326496929423,18.8095855876543,11.480010546996,17.9833382334774,26.2412473066594,20.6661768506452,7.84622220610716,33.5290271006792,20.1275206551056,20.5511615200152,14.1884070320047,14.3278940034778,23.195810416683,12.0854424266799,18.9882543949904,13.7674387869897,19.4987827362423,8.50677786605761,10.2703310923055,8.8575727683976,13.4017670638529,17.9116754881921,9.59600425453861,16.6009614332448,17.77597814641,7.95227467780996,2.55877002063193,1.89432017789193,2.06227176628722,7.22003213748099,6.16449216283566,3.74595388670679,1.70139208958813,4.28865783634036,4.19986953432626,0.785043128716927,6.42968412882766,3.32205343952684,3.34234645723021,2.54130526784047,5.35576842992958,1.26305880277099,3.49936310662369,1.63885116266753,3.07687739202647,2.64562342703589,1.16973683494134,2.34061922378205,0.810440234933502,1.46481659487934,2.03719690224727,1.19556682370804,1.91789442822206,0.555077915377737,1.25120890294165,3.69914077872552,0.545015133310185,6.7707312980421,8.1082422713415,5.48814501525065,1.97245669738218,3.14487468974215,2.80131696697792,18.6990209736091,18.8150184607136,16.0932313829998,18.5040292523082,13.5833231452646,3.64380031823227,3.33274479771129,1.73933210592107,2.69709689137005,17.7638869414702,16.1766694648677,2.73298219768884,6.78903952821141,-0.325231540901967,41.457757851596,-1.25792843494648
9,0.901457932755865,2.08174094751178,2.55569469350409,2.58995157362342,4.4442572408713,3.3975560935897,3.23650844532952,1.39066241155722,3.99242119121639,2.69740816587099,3.70765311633601,3.71264832122041,0.608415285194183,18.4844657729645,15.2844731059893,21.3560765897222,18.8794247855307,20.0578501785331,20.196940412104,19.6982950528226,18.0828301187393,28.6117343324714,19.5035283547658,6.76731215152001,34.7087334671013,18.59711017925,18.3194901542981,13.2864188047286,18.7808875861457,21.9198410157323,6.99139936329346,25.7338930477638,16.848246263225,27.5138654024288,10.1129598090653,11.3044968638415,11.7692661756341,10.0202471579927,23.7299027803266,14.7891177714712,16.3832003110085,18.4794154152372,8.9202413356331,2.78344051034821,1.49411563556807,0.464771319974392,7.9282633229305,5.75824834053574,4.50869684628732,1.46901637204276,3.46648688962572,6.08941023564742,1.60184528702651,6.96710891044671,2.92167702528857,3.59802383000805,2.35701240449336,8.26255081031831,1.9611216461938,3.83116207171614,1.46351243642604,3.17782612748977,2.09278127989451,1.58193514112147,3.90944861166085,1.48610652919972,3.15602744626003,2.55258117960197,2.2070360692742,6.75701212147991,2.01736283688741,2.9897346834714,4.39091529003839,0.555366368205163,6.86826721967768,5.896408829068,6.24774329240013,1.4916733950547,3.19657671799045,2.84450418482755,16.8830928235241,20.0995346736386,19.3294046891607,17.6500432031508,16.3425025314063,3.49317072277544,3.86455865004344,2.82782876306043,2.71664426296776,19.0050445020507,17.4132412610425,3.34840637353105,6.33747311371527,5.99425935492155,32.0644194325232,2.55402681965616
10,1.93126941697336,2.48513684709303,2.4539047224946,3.00549737847852,3.74539870435202,2.75566384699805,2.60296775359727,1.76295040987879,3.14826308246977,2.59906001870369,4.46629374126371,3.70316159456111,1.56330125120149,19.4236258202328,16.6534124675449,18.1275724459195,18.8999871060284,21.2192799256084,20.5899603602237,15.1087892283993,18.0637752548554,29.4823938876645,19.3882150668042,15.773043022548,29.4754987654271,23.1868189795087,22.6242439924536,17.3367018665758,22.5458293258865,30.4024861122922,16.868961948521,24.0822816667363,19.885014333394,26.7856986557635,13.1761612492651,15.1706345249204,16.6935967278986,16.0117127869254,24.1728396480977,16.9343429560289,16.686137158613,22.4856442269397,11.9959714904428,2.2862604091957,3.17740208629433,1.98463140968103,7.64821042790727,6.72153771965518,4.81208646925682,3.27987100713795,4.11806283104465,5.21765085963952,3.16265908436021,6.2406673455987,4.49678641460602,3.35343376060734,2.75618459837191,6.90518313061023,2.27841052679812,3.36454525000938,2.23000014305782,5.90099485564137,4.73726278037371,3.51068187301072,5.94623378414204,2.48311344285209,3.37538803344032,2.23871495017643,2.22013811163799,5.79401130458507,1.85406061736602,2.78361695279,4.14610523499153,0.755583863207846,6.46294738649338,4.53767171115511,7.32244505380894,2.20896475886044,3.06854883164259,2.8261473861069,18.0393586829129,19.4163884642202,17.9230888845491,21.9557292216069,18.6698890871093,4.28138909073312,4.01151546811478,3.52887233734922,2.78637452062041,18.5108003261015,20.5074649269412,3.86385449284024,6.10768805048581,2.91605133332674,13.159348946885,-24.9771413317696
