gen,ST1_MS_ID_2018_1,ST1_MS_ID_2019_1,ST1_MS_OR_2018_1,ST1_MS_OR_2019_1,ST1_MS_OR_2020_1,ST1_MS_WA_2018_1,ST1_MS_WA_2019_1,ST1_MS_WA_2019_2,ST1_MS_WA_2020_1,ST1_MS_WA_2020_2,ST1_MS_WA_2020_3,ST1_MS_WA_2020_4,ST1_MS_WA_2020_5,ST1_DM_ID_2018_1,ST1_DM_ID_2019_1,ST1_DM_OR_2018_1,ST1_DM_OR_2019_1,ST1_DM_OR_2020_1,ST1_DM_WA_2018_1,ST1_DM_WA_2019_1,ST1_DM_WA_2020_1,ST1_He_ID_2019_1,ST1_He_OR_2018_1,ST1_He_OR_2018_3,ST1_He_OR_2019_1,ST1_He_OR_2019_2,ST1_He_OR_2019_3,ST1_He_OR_2019_4,ST1_He_OR_2020_2,ST1_He_OR_2020_3,ST1_He_OR_2020_4,ST1_He_WA_2018_1,ST1_He_WA_2018_3,ST1_He_WA_2019_1,ST1_He_WA_2019_2,ST1_He_WA_2019_3,ST1_He_WA_2019_4,ST1_He_WA_2019_5,ST1_He_WA_2020_1,ST1_He_WA_2020_2,ST1_He_WA_2020_3,ST1_He_WA_2020_4,ST1_He_WA_2020_5,ST1_Yi_ID_2018_1,ST1_Yi_ID_2018_2,ST1_Yi_ID_2018_3,ST1_Yi_ID_2019_1,ST1_Yi_ID_2019_2,ST1_Yi_ID_2019_3,ST1_Yi_ID_2019_4,ST1_Yi_OR_2018_1,ST1_Yi_OR_2018_2,ST1_Yi_OR_2018_3,ST1_Yi_OR_2019_1,ST1_Yi_OR_2019_2,ST1_Yi_OR_2019_3,ST1_Yi_OR_2019_4,ST1_Yi_OR_2020_1,ST1_Yi_OR_2020_2,ST1_Yi_OR_2020_3,ST1_Yi_OR_2020_4,ST1_Yi_WA_2018_1,ST1_Yi_WA_2018_2,ST1_Yi_WA_2018_3,ST1_Yi_WA_2019_1,ST1_Yi_WA_2019_2,ST1_Yi_WA_2019_3,ST1_Yi_WA_2019_4,ST1_Yi_WA_2019_5,ST1_Yi_WA_2020_1,ST1_Yi_WA_2020_2,ST1_Yi_WA_2020_3,ST1_Yi_WA_2020_4,ST1_Yi_WA_2020_5,ST1_FD_ID_2019_4,ST1_FD_WA_2018_3,ST1_FD_WA_2019_5,ST3_MS_ID,ST3_MS_OR,ST3_MS_WA,ST3_DM_ID,ST3_DM_OR,ST3_DM_WA,ST3_He_ID,ST3_He_OR,ST3_He_WA,ST3_Yi_ID,ST3_Yi_OR,ST3_Yi_WA,ST3_FD_ID,ST3_FD_WA,ST4_DM,ST4_He,ST4_MS,ST4_Yi,ST4_FD,PC1,PC2,PC3
1,3.13279426127225,2.77480510883677,2.06235633904964,3.20071957477869,3.65165172178315,3.32731748026827,2.46144564907318,2.77576168475861,3.48458469598294,2.9296826484521,3.48134001455948,4.0474594354254,1.8206911504854,20.5652427890201,17.2909642249916,19.7858413520978,19.2867070148463,21.2287135213699,21.600085019221,18.0029939401699,19.3630565955621,28.6920845668456,23.3536020111198,19.1536269216248,30.784436711899,32.1629218096914,27.9086407112758,28.0461084726095,23.6967351761206,28.5980229181053,24.1664332059767,29.0474001656759,29.3038760821597,32.7496203525372,19.7454179774094,26.2892876970351,21.21044476555,22.9199437073172,28.7598789147551,23.9813674206238,25.6273050766006,30.5879473341874,20.0212941138509,2.22053220314868,2.31101600073169,1.44712414118466,7.66552910595802,6.22660191593929,5.17863397575278,4.14521597890709,3.60312842199929,5.74738030938182,3.9729675210928,6.2845130084256,4.73468330557967,3.35356557167331,3.61310147625022,6.13106312679066,2.17997911092614,3.24087220839755,2.41115962187405,4.71962202378473,4.95121166770815,2.93680885984702,6.30656393136449,3.98573560974753,3.87120000073917,3.14231475814207,2.94977377107131,6.59986788598892,3.9275004616975,3.93671385265329,4.98982103379198,1.64896240886691,11.3062545251406,12.1805700642647,12.2515747590327,2.48872951909005,3.3040117862425,3.26695744050303,19.0658555005008,20.4099120401671,19.1279858618544,30.2259668804216,25.1568299720422,20.5724981471778,4.56553075680414,4.27159376201069,3.57870635660851,10.8940791600562,13.1332261366764,19.5345844675074,25.3184316665472,3.01989958194519,4.13861029180778,12.0136526483663,-26.7248424386121,5.04952547188287,-8.68115862208157
2,2.32579536943558,2.73011417844366,2.1932786348232,2.49433174767726,3.47654176931023,3.93677353237092,2.3451540949437,1.63224435118747,3.54689443560064,2.27543584358024,3.88172632996374,3.27326703830197,1.30573506515235,20.7945739846218,19.0458409288755,22.0515693442459,20.2293032547466,22.1973746227862,23.6785901293956,20.495239275174,20.2783048239176,26.9634175386339,26.152089250431,17.8573882124539,30.9155756587902,32.2280043232894,32.9034829764346,28.102470494207,26.1625516196276,31.0678545526576,27.0843818899378,32.0985526234481,26.9227050353875,36.9962943819014,26.6684410778496,27.349735351605,26.2044899252717,26.5565222856067,31.9173698617998,26.3322071486737,28.5261088693489,33.3941732893,22.5526737189345,2.45614106455696,2.53472961177931,1.33716072518726,7.27440455285763,5.61720554545846,5.52004315280276,4.77823261221774,4.39428875814958,5.59194051845814,3.30498047624487,7.25373151596667,4.86932275641495,2.95603406175717,3.24003806585247,7.91510850260523,3.12690472456767,3.24873215795936,2.24981998063289,4.95150006794093,4.31699112319863,3.28637484308699,7.37547910983846,4.21707559132919,4.31429512362624,3.71935117902351,3.30781134882823,7.45562241898197,4.72723145566536,4.52419129578567,5.37560006714779,2.1923958927881,12.7273395664571,12.4965213195231,11.8854964946065,2.00949124969372,2.82477351684618,2.7877191711067,20.0777258952406,21.421782434907,20.1398562565942,33.1287742575139,28.0596373491345,23.4753055242701,4.51258526937956,4.21864827458611,3.52576086918393,10.8243836720245,13.0635306486447,20.5464548622472,28.2212390436395,2.54066131254887,4.0856648043832,11.9439571603346,-59.3515482750374,-0.0700322951581835,-3.5083359755665
3,2.46230507680504,2.89466702034986,2.2223886046359,2.88414180658691,3.60642817548227,2.87779982801979,2.77619739708544,1.53812942903058,2.75333397152413,2.85985855293916,3.01470814780454,3.09546922817926,1.86764267298809,21.5784986212305,18.8942177631153,20.2992943835312,19.816111425857,21.4650123261285,23.765329996155,19.1783269848437,19.4766246104428,21.4467739916691,27.144711336272,17.4789540013273,30.0004495389385,32.9788213712488,33.1405708050481,28.8766742033849,27.6373604711293,29.2098070969086,22.9355887092545,32.7983975802436,28.599674963118,32.9760735279675,26.9795799268163,26.8642056716508,24.6534516612271,25.7362116109889,32.2931707862654,25.6705182233837,27.2898587917825,33.9637707670169,19.6882299433699,2.24712464867731,1.69588331206764,2.07975038007141,6.52977175777717,7.17665965332219,6.11197257862638,3.8184274974244,3.66967063074827,4.79479780760717,2.89760670169097,7.04761631927255,5.4019315996027,4.07462001666477,3.35990426237722,6.58491604111196,3.41641019050483,3.54221882445681,1.96392068815247,6.04594669665754,5.69125262451164,3.59991975457919,7.37153660896613,5.24672480435924,4.71173080430154,4.03872695682083,3.62895445560539,8.09816437568806,5.38242390698376,5.05113157069974,5.25415468320575,2.16480620858373,10.1993849489734,13.3017785105553,9.90447769008467,2.36828028361588,3.18356255076833,3.14650820502886,19.8440635289127,21.1881200685791,19.9061938902663,32.3497498793458,27.2806129709664,22.696281146102,4.61292300715962,4.31898601236617,3.62609860696399,8.95746781986752,11.1966147964877,20.3127924959193,27.4422146654714,2.89945034647102,4.18600254216326,10.0770413081776,-42.9064761311201,-35.2364755594798,-2.31900822237277
4,2.10266379876189,2.81374409999002,2.40188329670337,1.71784345407938,3.41564275615816,3.03745322967629,2.53518072223053,1.74270234252282,3.22533776647339,2.20405686502674,3.59526318705777,3.64039981267904,1.74096720265235,21.2134673956457,18.4093094036243,15.6876002822322,19.1930589773891,19.599819836766,23.6453483580787,15.2444605248288,19.1209022882552,23.5706986613684,27.2009765856614,14.6900589224936,31.9318423353843,25.6429528777613,31.4674771530213,17.7787915598465,22.6385239099224,26.9153627357865,15.9554696315793,25.9815745603438,23.5309478220785,32.7062964873522,16.2452523008536,19.0671565095182,18.5407030853803,20.4458381739648,27.7874865645139,19.567863549611,21.8784161753449,27.3515569254976,12.3233242032976,2.24033407302805,2.29246788301464,1.88989410800639,6.83374225303152,5.35835568477979,4.36111428677048,2.75701696685203,3.64344278782861,4.02187146042101,2.99526766748723,6.27004948630575,3.58653579548694,3.98094165702455,2.7041084094999,6.85333378753137,3.17540719353014,3.33647503950127,2.28955869597904,4.84581525741793,4.22338248818618,2.38392529934136,4.73492084145775,2.28075144174971,3.17038847928098,2.92382106161123,2.38349279774087,5.47837895427675,2.61814159773467,3.00754365001899,4.67633006897805,1.38014346200073,9.01330585778683,7.10028474277027,7.47055222991573,2.16563253046318,2.98091479761564,2.94386045187616,19.2242695529195,20.5683260925858,19.2863999142731,27.3830436972323,22.3139067888529,17.7295749639885,4.55328654074584,4.25934954595238,3.56646214055021,6.44028324801628,8.67943022463648,19.6929985199261,22.4755084833579,2.69680259331833,4.12636607574948,7.55985673632638,-46.2577697186261,-6.30879426745707,9.38744649265358
5,2.95038207410175,2.95550400094294,1.93018548377618,3.1824100908482,4.06482022254072,3.35601544087338,2.34719794025038,2.02830818423596,2.73969577189974,2.72436274330602,3.41713130760609,3.66246467349752,1.94727607292744,19.6537379692518,19.0495731210675,17.2704011773033,18.9687333823572,22.2882451679369,24.2631114357964,13.760352359249,19.2693490985278,27.9395072773051,22.6209292757859,16.8003790310641,35.9010406968522,37.1636160902512,31.2448808341929,29.6309411730865,29.7534313557385,32.0125362038514,24.2496233351575,33.2266651842017,22.9065968682593,32.5097644510338,25.1246858130146,22.9662237224166,21.9081900835673,23.7719099987765,31.6564493589893,24.8252622581666,25.2734263123496,28.6947789750655,18.8925185831892,2.42349319880485,5.65017433762476,0.0556070529045262,6.75682214689407,6.26055975830613,5.01696951095363,4.39727130070677,3.81121046100813,4.52589705094479,3.13523164476952,5.66375737388881,5.40320685526683,3.65322278737344,2.75758849495261,6.50732488372819,2.78689615140253,4.16756792862918,2.04768844416666,5.54410725774467,4.78746076473097,2.93703904602878,4.64834074839472,4.09802590352333,3.87149177888025,3.15823988152185,2.9500098087947,6.73714386646754,3.97975331652598,3.93710107653604,4.28834517688436,1.71480492956055,10.2562890934309,6.48378630222759,7.59349877793236,2.48284237191333,3.29812463906578,3.2610702933263,19.6960384599661,21.0400949996324,19.7581688213197,31.1010852868892,26.0319483785098,21.4476165536454,4.50104712622782,4.20711013143436,3.51422272603219,6.66918180891194,8.90832878553213,20.1647674269727,26.1935500730148,3.01401243476847,4.07412666123146,7.78875529722203,-53.1852655610954,-13.8797529726936,-4.0884498549483
6,3.36368638872647,3.16971812632593,2.04447708356425,2.29200762973212,3.54778348118084,3.26398765648986,2.4808803451285,1.7404356276102,2.64336341366135,3.01815384247792,3.09029381967268,3.10744030060191,2.38046983882578,22.9563293165166,19.4580723327098,19.6733090285789,19.633951468333,20.8297413652578,23.4340289131177,17.799136500105,19.373067600103,21.0488666795617,29.0579484820697,16.2852082951583,39.843601743815,33.7513045856792,30.8115272864773,27.6497324898101,33.5597528417084,34.1948123116897,21.3116041604276,31.8859414490656,23.4880305803238,36.2163516076055,26.1178563923376,26.0250671221424,23.8661538030582,25.4781987325326,31.3330169312302,24.9791691482456,26.3407501914431,30.6935155865779,15.9512003556988,2.18920199877455,1.02311926530444,2.07777012485246,5.46973409236985,5.916684066055,4.91999550735747,3.07852854684284,4.03558733942463,4.3776960128308,2.82958643914513,6.91298555989451,4.84071756285114,3.55724765273505,3.04993352154931,6.24694363155929,3.30943877878308,3.49144677368748,3.31804951509112,5.19773773972134,4.53462907635348,3.00171948386657,6.64119394149755,4.35874637295995,3.95347901638569,3.39886691533284,3.01625847612667,6.80536295909361,4.10517090077553,4.04580377150266,4.33233963061452,1.50224037247831,11.0492259064013,11.3028903690021,7.24279442901968,2.57852222624682,3.39380449339928,3.3567501476598,20.0572993976755,21.4013559373419,20.1194297590291,31.9830464991483,26.9139095907689,22.3295777659045,4.46111887533513,4.16718188054168,3.4742944751395,6.83181950200613,9.07096647862632,20.5260283646822,27.0755112852739,3.10969228910197,4.03419841033877,7.95139299031622,-55.2400829179303,-9.98399598515288,-24.3357574657033
7,3.19784564670778,3.24841735096922,1.64791706568783,2.47779550560997,3.43502964156196,3.54087822905539,2.60190940720678,2.32258965277328,3.82405056433405,2.88799549980486,3.2104182772827,4.29722327870592,1.808469228105,21.686683649651,17.6537195446237,17.4650725253731,18.413839034212,18.5608006791216,21.7722684827409,16.706542945226,19.5038334710583,17.9857746613252,24.5919098915897,11.7551589500474,34.9877666376303,26.5233548925055,20.0227610664761,14.7673697396218,22.4333624624335,24.0426592496263,11.1219537109356,29.381877314226,24.8553075155007,32.4041654454674,19.7536957081882,20.795296898219,20.7654868034925,22.441541273476,31.2265601384501,23.3878093239678,23.9162618492076,28.243951344447,15.8448946115093,2.75247354389378,2.96488498839094,1.60871318526853,6.10736419672042,6.40566108769148,3.16165378151718,4.25013363138042,3.63910328413461,4.42501380678786,1.87675280691684,5.49195078782726,4.03781278266741,3.25092857128989,2.07565643418215,6.12708730084911,1.28964010249195,2.76910221416067,1.79301741126633,4.93227418454423,4.1391082562224,2.58515196046019,5.68369656124097,3.05055447710808,3.42545572438808,3.24612500726339,2.58959636196946,6.19254973749147,3.199725693535,3.34572420696605,4.38472703995395,1.34172303597401,9.96326895073809,7.82126238553552,12.1110544239945,2.4688505486259,3.28413281577836,3.24707847003888,18.7228557102834,20.0669122499498,18.784986071637,29.5239860254893,24.4548491171099,19.8705172922456,3.80652828197314,3.51259128717968,2.81970388177751,10.2970300382294,12.5361770148496,19.1915846772901,24.6164508116149,3.00002061148105,3.37960781697678,11.4166035265395,-15.8016841142907,21.6226116911828,-17.1392770044888
8,2.43616518341735,2.63610894854805,2.32381709678885,2.62471000712646,3.51897263184199,2.96118662896104,2.63681725118974,0.85042813380659,2.92225541120691,1.50879173379344,3.98534267539094,3.94825058882837,0.733657404822608,20.3246331971674,17.4171630259396,16.6261788580515,17.8443360753403,19.4519150672398,19.6496106307019,13.4141689671429,17.6429395015575,20.6480803645309,20.2973789735547,8.05207519970419,33.046272522113,21.014933891269,20.5909311653868,14.2347619447727,14.5448967737466,23.2412991113366,11.9895243911766,22.5992882884087,18.3858325120508,24.817722558216,13.5244380745917,14.228962916987,13.9144739385689,16.723712934989,23.6497665610157,15.5681768566939,19.4293202758692,22.8135340099938,11.4647660468946,2.38620572597188,1.73725623969053,1.57613590870183,6.82278677388171,5.74749104711409,3.56383587163445,1.41197630144706,3.8324923756874,4.21429176264675,0.831043732147733,6.31430158986266,3.22336576843925,3.22476375924237,2.2901152861427,5.23746564726028,1.19158388458655,3.28091654571742,1.48062652367405,3.54706362218097,3.21057960053724,1.63703002875662,3.40258003806131,1.50696956693059,2.22365882595568,2.28903038421207,1.6184993712027,3.85133223673538,1.07723510975112,1.75232234590184,4.17746981794842,0.819892779408954,7.15286052944283,4.55850084096358,4.27300608350798,1.74177693205543,2.55705919920788,2.5200048534684,18.0426883703145,19.3867449099809,18.1048187316681,23.3271824258846,18.2580455175052,13.6737136926409,4.0709792353563,3.77704224056284,3.08415483516066,3.47443053843248,5.71357751505267,18.5114173373212,18.4196472120102,2.27294699491057,3.64405877035993,4.59400402674257,-0.325231540901967,41.457757851596,-1.25792843494648
9,1.67142435841609,2.66460756848616,2.25737959355743,2.32887154267605,3.90007231346306,3.25544861017778,2.882826365081,1.16863671360373,3.62981345242353,2.41123555748239,3.60441171359399,3.54090615714315,0.345125262942108,19.1824902416547,16.0597472791742,20.0943752793682,17.5383230325109,19.1820916922181,20.7847520444155,18.8449621009736,18.4394092080707,24.3478377603375,20.2577526667408,6.6944203843495,34.1065088044582,19.7940308955668,19.5803046575011,13.0278739274859,18.5892397075107,22.5877848903906,7.82989615546459,27.8961313065133,21.5891391425368,31.0728689084804,15.3132142690702,15.7721700545691,16.1919981045685,16.0817024408046,28.3780807654487,19.3855970361034,20.632040693295,22.8920211075781,13.6854715334314,2.49211992447057,1.38349962413889,0.253926342171877,7.1279722320877,5.44630066207018,4.04054985283717,1.38805744107009,3.8627351022669,5.72280480201919,1.57602863275136,6.70767986311177,3.17120077598608,3.45636509143073,2.30324147096995,7.27926354351963,1.94124013186188,3.28720717757783,1.39044214514246,4.09122316021929,3.46466991673424,2.34989537982748,5.21761272471248,2.46190797889545,3.12725635288998,2.91136393840861,2.34863981449383,5.98129223220792,2.64849845550266,2.95035642771612,4.72538827615264,1.18277511766424,7.24882475413779,4.74055933385972,5.20380499615204,1.75134650709544,2.56662877424789,2.52957442850842,17.6031693060805,18.9472258457469,17.6652996674341,26.180554493683,21.1114175853035,16.5270857604392,3.94939197405856,3.65545497926511,2.96256757386293,4.23736610923497,6.47651308585517,18.0718982730871,21.2730192798086,2.28251656995058,3.5224715090622,5.35693959754507,5.99425935492155,32.0644194325232,2.55402681965616
10,2.43833901690893,2.96549949937837,2.16456805723438,2.70969420930738,3.46394761980563,2.67459820904591,2.4082740937258,1.54334930226941,2.92911966290537,2.3574128723444,3.97066551513225,3.47218781312078,1.29169435038292,19.7508206015367,16.9299670747658,17.4021028805811,17.9185183232069,20.0942391897657,21.0170987357265,15.9407036964263,18.2427315572888,24.2518457457616,20.5486571274518,15.0183701140536,29.7224612465663,25.0326396039784,23.8966455260769,17.5238728697537,22.5957879790892,29.8567196678389,16.7130462623801,28.2605674704448,24.3971421804142,31.4361391908747,18.639504852837,20.0117332753676,20.308294925848,20.6662779683694,30.8096810928326,21.5995194367762,21.9959809102817,27.3422842980369,16.6763646105191,2.29108585721723,2.78188777234846,1.52150674858043,6.9678873706862,6.29370649950739,4.53513205578393,2.90102972925765,3.76044041764164,5.12757473944936,2.9942744521415,6.19486674565336,4.32361014145702,3.4405499553672,2.68198630738428,6.4594597413014,2.20210663795566,3.40382964097751,2.13377833158884,5.47832265503321,4.59275238275337,2.66667441144143,6.33279111216188,3.23628753604891,3.5287884379763,2.90169570801713,2.67309258661156,6.20412869994668,3.2481799359107,3.48272752282751,4.77726877011936,1.46221024567827,7.41320565237913,3.91327451103393,6.16858504863568,2.04816056501986,2.86344283217231,2.82638848643284,18.0917181517585,19.4357746914249,18.1538485131121,28.3453328727179,23.2761959643384,18.6918641394741,4.50111672733867,4.20717973254522,3.51429232714304,4.96774946841217,7.20689644503236,18.5604471187652,23.4377976588435,2.579330627875,4.07419626234231,6.08732295672227,2.91605133332674,13.159348946885,-24.9771413317696
