merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
OR_2018_3,OR,1,1,30101,34,1,2,2018,3,NA,NA,19,3.19,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,2,30102,90,1,1,2018,3,NA,NA,7,1.47,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,3,30103,201,2,2,2018,3,1.4,22.15,15,2.71,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,4,30104,55,2,1,2018,3,NA,NA,22,3.25,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,5,30105,10,3,2,2018,3,NA,NA,17,3.36,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,6,30106,192,3,1,2018,3,NA,NA,19,2.96,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,7,30107,145,4,2,2018,3,NA,NA,19,4.07,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,8,30108,48,4,1,2018,3,NA,NA,15,2.14,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,9,30109,74,5,2,2018,3,NA,NA,9,1.94,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,10,30110,159,5,1,2018,3,NA,NA,17,2.28,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,11,30111,176,6,2,2018,3,NA,NA,16,3.39,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,12,30112,95,6,1,2018,3,NA,NA,16,2.57,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,13,30113,190,7,2,2018,3,NA,NA,20,3.48,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,14,30114,81,7,1,2018,3,NA,NA,18,3.71,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,15,30115,167,8,2,2018,3,NA,NA,20,4.33,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,16,30116,123,8,1,2018,3,NA,NA,18,3.11,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,17,30117,46,9,2,2018,3,NA,NA,5,1.65,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,18,30118,160,9,1,2018,3,NA,NA,20,3.46,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,19,30119,18,10,2,2018,3,NA,NA,16,3.24,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,1,20,30120,202,10,1,2018,3,1.9,20.75,19,3.14,NA,2.71,3.14,15,19,22.15,20.75,1.4,1.9
OR_2018_3,OR,2,1,30201,178,11,2,2018,3,NA,NA,17,3.51,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,2,30202,121,11,1,2018,3,NA,NA,19,2.6,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,3,30203,173,12,2,2018,3,NA,NA,15,4.34,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,4,30204,65,12,1,2018,3,NA,NA,20,3.01,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,5,30205,181,13,2,2018,3,NA,NA,19,3.94,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,6,30206,25,13,1,2018,3,NA,NA,24,3.27,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,7,30207,153,14,2,2018,3,NA,NA,14,3.52,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,8,30208,40,14,1,2018,3,NA,NA,14,2.33,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,9,30209,78,15,2,2018,3,NA,NA,10,1.93,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,10,30210,201,15,1,2018,3,1.3,21.61,16,2.75,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,11,30211,179,16,2,2018,3,NA,NA,15,3.28,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,12,30212,21,16,1,2018,3,NA,NA,17,2.68,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,13,30213,59,17,2,2018,3,NA,NA,13,2.5,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,14,30214,92,17,1,2018,3,NA,NA,21,3.49,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,15,30215,27,18,2,2018,3,NA,NA,11,2.36,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,16,30216,193,18,1,2018,3,NA,NA,18,3.02,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,17,30217,202,19,2,2018,3,1.8,23.11,15,2.79,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,18,30218,94,19,1,2018,3,NA,NA,16,2.7,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,19,30219,99,20,2,2018,3,NA,NA,7,1.5,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,2,20,30220,51,20,1,2018,3,NA,NA,16,2.73,NA,2.75,2.79,16,15,21.61,23.11,1.3,1.8
OR_2018_3,OR,3,1,30301,139,21,2,2018,3,NA,NA,14,3.05,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,2,30302,113,21,1,2018,3,NA,NA,15,3.13,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,3,30303,183,22,2,2018,3,NA,NA,15,3.43,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,4,30304,37,22,1,2018,3,NA,NA,8,1.22,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,5,30305,189,23,2,2018,3,NA,NA,17,3.85,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,6,30306,84,23,1,2018,3,NA,NA,14,2.2,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,7,30307,133,24,2,2018,3,NA,NA,10,2.84,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,8,30308,187,24,1,2018,3,NA,NA,16,2.35,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,9,30309,202,25,2,2018,3,1.9,22.84,15,3.57,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,10,30310,110,25,1,2018,3,NA,NA,22,3.58,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,11,30311,144,26,2,2018,3,2,22.37,18,3.83,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,12,30312,79,26,1,2018,3,NA,NA,11,1.9,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,13,30313,195,27,2,2018,3,NA,NA,15,2.38,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,14,30314,77,27,1,2018,3,NA,NA,13,3.21,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,15,30315,54,28,2,2018,3,NA,NA,17,2.03,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,16,30316,161,28,1,2018,3,NA,NA,13,2.48,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,17,30317,104,29,2,2018,3,2,22.74,18,4.03,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,18,30318,177,29,1,2018,3,NA,NA,15,3.59,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,19,30319,4,30,2,2018,3,NA,NA,13,2.55,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,3,20,30320,201,30,1,2018,3,1.3,22.82,12,1.76,NA,1.76,3.57,12,15,22.82,22.84,1.3,1.9
OR_2018_3,OR,4,1,30401,108,31,2,2018,3,NA,NA,16,2.81,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,2,30402,197,31,1,2018,3,NA,NA,18,3.06,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,3,30403,100,32,2,2018,3,NA,NA,7,1.73,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,4,30404,49,32,1,2018,3,NA,NA,13,2.51,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,5,30405,15,33,2,2018,3,NA,NA,12,2.57,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,6,30406,201,33,1,2018,3,1.7,22.36,13,2.18,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,7,30407,13,34,2,2018,3,NA,NA,11,2.17,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,8,30408,63,34,1,2018,3,NA,NA,14,1.95,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,9,30409,191,35,2,2018,3,NA,NA,13,2.52,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,10,30410,44,35,1,2018,3,1.8,21.36,17,3.46,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,11,30411,102,36,2,2018,3,NA,NA,18,2.98,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,12,30412,115,36,1,2018,3,NA,NA,16,2.78,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,13,30413,202,37,2,2018,3,2,21.74,15,2.32,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,14,30414,112,37,1,2018,3,0.6,22.79,11,1.89,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,15,30415,131,38,2,2018,3,NA,NA,17,2.31,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,16,30416,85,38,1,2018,3,NA,NA,5,1.05,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,17,30417,126,39,2,2018,3,NA,NA,10,2.32,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,18,30418,67,39,1,2018,3,NA,NA,20,3.4,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,19,30419,47,40,2,2018,3,NA,NA,16,3.47,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,4,20,30420,182,40,1,2018,3,NA,NA,17,3.59,NA,2.18,2.32,13,15,22.36,21.74,1.7,2
OR_2018_3,OR,5,1,30501,75,41,2,2018,3,NA,NA,7,1.15,NA,2.34,2.6,13,14,22.37,22.58,1,1.4
OR_2018_3,OR,5,2,30502,171,41,1,2018,3,NA,NA,15,3.69,NA,2.34,2.6,13,14,22.37,22.58,1,1.4
OR_2018_3,OR,5,3,30503,154,42,2,2018,3,NA,NA,13,2.98,NA,2.34,2.6,13,14,22.37,22.58,1,1.4
OR_2018_3,OR,5,4,30504,119,42,1,2018,3,NA,NA,15,2.79,NA,2.34,2.6,13,14,22.37,22.58,1,1.4
OR_2018_3,OR,5,5,30505,201,43,2,2018,3,1,22.37,13,2.34,NA,2.34,2.6,13,14,22.37,22.58,1,1.4
OR_2018_3,OR,5,6,30506,17,43,1,2018,3,NA,NA,13,3.09,NA,2.34,2.6,13,14,22.37,22.58,1,1.4
OR_2018_3,OR,5,7,30507,22,44,2,2018,3,NA,NA,14,2.59,NA,2.34,2.6,13,14,22.37,22.58,1,1.4
