merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA_2018_3,WA,1,1,10101,123,1,4,2018,3,NA,NA,23,3.89,19,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,2,10102,29,1,3,2018,3,NA,NA,16,2.82,7,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,3,10103,162,1,2,2018,3,NA,NA,24,3.71,21,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,4,10104,201,1,1,2018,3,2.1,21.3,22,3.9,10,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,5,10105,126,2,4,2018,3,NA,NA,18,2.21,7,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,6,10106,191,2,3,2018,3,NA,NA,22,3.29,9,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,7,10107,159,2,2,2018,3,NA,NA,25,3.33,18,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,8,10108,139,2,1,2018,3,NA,NA,22,3.42,12,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,9,10109,77,3,4,2018,3,NA,NA,22,2.08,12,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,10,10110,69,3,3,2018,3,NA,NA,22,2.96,8,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,11,10111,121,3,2,2018,3,NA,NA,30,3.38,15,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,12,10112,84,3,1,2018,3,NA,NA,18,3.44,17,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,13,10113,133,4,4,2018,3,NA,NA,15,1.84,10,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,14,10114,125,4,3,2018,3,NA,NA,19,2.95,6,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,15,10115,202,4,2,2018,3,2.5,19.49,19,3.15,9,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,16,10116,32,4,1,2018,3,NA,NA,23,3.57,15,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,17,10117,37,5,4,2018,3,NA,NA,21,1,6,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,18,10118,13,5,3,2018,3,NA,NA,22,3.35,6,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,19,10119,116,5,2,2018,3,NA,NA,22,3.17,9,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA_2018_3,WA,1,20,10120,164,5,1,2018,3,NA,NA,20,3.9,11,3.9,3.15,22,19,21.3,19.49,2.1,2.5
