Location,Year,Cut,Block,Position,ID,Treatment,MSC
OR,2020,1,1,1,30101,34,3.6
OR,2020,1,1,3,30103,201,3.9
OR,2020,1,1,5,30105,10,3.8
OR,2020,1,1,7,30107,145,3.6
OR,2020,1,1,9,30109,74,3.7
OR,2020,1,1,11,30111,176,3.7
OR,2020,1,1,13,30113,190,3.8
OR,2020,1,1,15,30115,167,3.8
OR,2020,1,1,17,30117,46,4.6
OR,2020,1,1,19,30119,18,3.6
OR,2020,1,2,1,30201,178,3.8
OR,2020,1,2,3,30203,173,3.9
OR,2020,1,2,5,30205,181,4
OR,2020,1,2,7,30207,153,4.2
OR,2020,1,2,9,30209,78,4.1
OR,2020,1,2,11,30211,179,2.9
OR,2020,1,2,13,30213,59,3.5
OR,2020,1,2,15,30215,27,3.8
OR,2020,1,2,17,30217,202,3.9
OR,2020,1,2,19,30219,99,3.4
OR,2020,1,3,1,30301,139,3.7
OR,2020,1,3,3,30303,183,3.9
OR,2020,1,3,5,30305,189,3.7
OR,2020,1,3,7,30307,133,4
OR,2020,1,3,9,30309,202,3.8
OR,2020,1,3,11,30311,144,3.9
OR,2020,1,3,13,30313,195,3.8
OR,2020,1,3,15,30315,54,4.2
OR,2020,1,3,17,30317,104,4
OR,2020,1,3,19,30319,4,3.7
OR,2020,1,4,1,30401,108,4.5
OR,2020,1,4,3,30403,100,4.2
OR,2020,1,4,5,30405,15,3.8
OR,2020,1,4,7,30407,13,3.8
OR,2020,1,4,9,30409,191,3.9
OR,2020,1,4,11,30411,102,3.8
OR,2020,1,4,13,30413,202,3.9
OR,2020,1,4,15,30415,131,3.8
OR,2020,1,4,17,30417,126,3.9
OR,2020,1,4,19,30419,47,3.8
OR,2020,1,5,1,30501,75,3.9
OR,2020,1,5,3,30503,154,3.8
OR,2020,1,5,5,30505,201,3.9
OR,2020,1,5,7,30507,22,3.8
OR,2020,1,5,9,30509,82,3.9
OR,2020,1,5,11,30511,134,3.8
OR,2020,1,5,13,30513,29,4.1
OR,2020,1,5,15,30515,137,3.9
OR,2020,1,5,17,30517,41,3.9
OR,2020,1,5,19,30519,28,3.8
OR,2020,1,6,1,30601,201,4.1
OR,2020,1,6,3,30603,60,4
OR,2020,1,6,5,30605,188,4
OR,2020,1,6,7,30607,76,3.6
OR,2020,1,6,9,30609,101,4
OR,2020,1,6,11,30611,146,3.9
OR,2020,1,6,13,30613,129,4.2
