Location,Year,Cut,Block,Position,ID,Treatment,P_Height,DM_Pct,Yield_MgHa
OR,2020,1,1,1,30101,34,,20.0426439232,7.1334623795
OR,2020,1,1,3,30103,201,,22.4667714735,6.8688361389
OR,2020,1,1,5,30105,10,,22.7135930446,6.606581064
OR,2020,1,1,7,30107,145,,21.8512898331,8.1223866464
OR,2020,1,1,9,30109,74,,18.6706746827,5.8123453307
OR,2020,1,1,11,30111,176,,19.7639598379,6.2445258834
OR,2020,1,1,13,30113,190,,22.7064013685,8.3136382375
OR,2020,1,1,15,30115,167,,18.7539465376,7.8424503473
OR,2020,1,1,17,30117,46,,17.2787366875,5.7804423944
OR,2020,1,1,19,30119,18,,21.0704607046,6.7748037724
OR,2020,1,2,1,30201,178,,21.6234253775,6.7114683894
OR,2020,1,2,3,30203,173,,20.3400963363,9.8288552562
OR,2020,1,2,5,30205,181,,21.1756456702,7.1431517551
OR,2020,1,2,7,30207,153,,21.3545335614,7.2019692763
OR,2020,1,2,9,30209,78,,21.7307427312,6.5428380521
OR,2020,1,2,11,30211,179,,22.141520854,6.5636395272
OR,2020,1,2,13,30213,59,,22.530987605,4.7318967325
OR,2020,1,2,15,30215,27,,22.5598734749,6.4360828414
OR,2020,1,2,17,30217,202,,19.2736819077,7.5015760368
OR,2020,1,2,19,30219,99,,21.0918450284,6.7228788036
OR,2020,1,3,1,30301,139,,18.9921586716,6.3536519557
OR,2020,1,3,3,30303,183,,23.0548495532,8.5598760476
OR,2020,1,3,5,30305,189,,21.5570151825,8.2333587613
OR,2020,1,3,7,30307,133,,21.0812279272,5.1055501152
OR,2020,1,3,9,30309,202,,19.7291235335,7.6452279255
OR,2020,1,3,11,30311,144,,19.543735513,6.3020760805
OR,2020,1,3,13,30313,195,,19.3351258861,7.4925499917
OR,2020,1,3,15,30315,54,,22.9948537718,6.9448137567
OR,2020,1,3,17,30317,104,,20.2230567884,5.8821721325
OR,2020,1,3,19,30319,4,,21.8196140213,7.9484001197
OR,2020,1,4,1,30401,108,,21.551933836,6.4489455062
OR,2020,1,4,3,30403,100,,18.9507975736,5.6882228856
OR,2020,1,4,5,30405,15,,18.9517107498,6.2520632468
OR,2020,1,4,7,30407,13,,20.4426172148,6.8388895171
OR,2020,1,4,9,30409,191,,21.1113590716,6.2582580388
OR,2020,1,4,11,30411,102,,19.3587126216,5.8286512867
OR,2020,1,4,13,30413,202,,19.3940094831,5.857301168
OR,2020,1,4,15,30415,131,,22.5018046819,6.879546951
OR,2020,1,4,17,30417,126,,20.1887036319,6.753945064
OR,2020,1,4,19,30419,47,,22.0396776193,5.8370940112
OR,2020,1,5,1,30501,75,,21.1319720433,5.8127056182
OR,2020,1,5,3,30503,154,,20.164162924,6.6390718616
OR,2020,1,5,5,30505,201,,21.8805231531,7.0047641654
OR,2020,1,5,7,30507,22,,20.8129866702,4.3710868491
OR,2020,1,5,9,30509,82,,23.2807348092,7.1825946528
OR,2020,1,5,11,30511,134,,21.0838021913,4.5455193225
OR,2020,1,5,13,30513,29,,18.5621122952,6.4340260932
OR,2020,1,5,15,30515,137,,20.7231378561,5.4113849107
OR,2020,1,5,17,30517,41,,23.0118443316,5.9876450761
OR,2020,1,5,19,30519,28,,16.7448955644,6.5666139441
OR,2020,1,6,1,30601,201,,21.853947723,6.4783912563
OR,2020,1,6,3,30603,60,,20.8130754112,5.9570818132
OR,2020,1,6,5,30605,188,,20.8761265982,6.6929195892
OR,2020,1,6,7,30607,76,,22.1460266236,5.7401977681
OR,2020,1,6,9,30609,101,,21.0796538067,5.3673587889
OR,2020,1,6,11,30611,146,,19.4467467882,6.993659995
OR,2020,1,6,13,30613,129,,21.988983177,4.2706897579
OR,2020,1,6,15,30615,150,,20.3993771183,6.7106835416
OR,2020,1,6,17,30617,98,,21.8069666183,4.6811637039
OR,2020,1,6,19,30619,88,,19.563403782,4.490430327
OR,2020,1,7,1,30701,149,,20.8079512664,6.148979319
OR,2020,1,7,3,30703,138,,21.7298614284,6.3934542373
OR,2020,1,7,5,30705,31,,21.2486036986,5.1339346357
OR,2020,1,7,7,30707,70,,21.5251060472,5.6808095555
OR,2020,1,7,9,30709,142,,17.6725119563,5.7315264568
OR,2020,1,7,11,30711,111,,20.4584925321,6.1597804126
OR,2020,1,7,13,30713,186,,20.906738943,5.9450335957
OR,2020,1,7,15,30715,143,,19.5877642116,5.2423250477
OR,2020,1,7,17,30717,132,,19.2052221713,5.0507091672
OR,2020,1,7,19,30719,202,,19.8265068861,4.735064714
OR,2020,1,8,1,30801,58,,23.5976789168,3.9910508936
OR,2020,1,8,3,30803,36,,21.2190527449,6.0929983724
OR,2020,1,8,5,30805,169,,18.427179443,7.2434559393
OR,2020,1,8,7,30807,201,,19.7781519263,6.1571127424
OR,2020,1,8,9,30809,105,,18.3224824554,6.0785377891
OR,2020,1,8,11,30811,158,,18.8556887211,6.5533081911
OR,2020,1,8,13,30813,135,,20.867668444,5.3133824993
OR,2020,1,8,15,30815,57,,19.2590833531,5.2080505647
OR,2020,1,8,17,30817,56,,21.5851602024,5.5562481754
OR,2020,1,8,19,30819,61,,21.3263979194,3.5474569155
OR,2020,1,9,1,30901,96,,20.7423835648,5.512787909
OR,2020,1,9,3,30903,64,,21.4990479488,4.1155988672
OR,2020,1,9,5,30905,196,,18.4216124229,6.4880388411
OR,2020,1,9,7,30907,202,,18.71362336,6.0256
OR,2020,1,9,9,30909,170,,17.903197315,6.2944
OR,2020,1,9,11,30911,16,,21.5573676352,6.5856
OR,2020,1,9,13,30913,33,,21.7881530888,5.6672
OR,2020,1,9,15,30915,23,,20.7426908688,4.928
OR,2020,1,9,17,30917,128,,22.8502342451,7.0336
OR,2020,1,9,19,30919,52,,21.347697043,7.6608
OR,2020,1,10,1,31001,148,,17.9393198941,6.6528
OR,2020,1,10,3,31003,80,,21.7127583016,6.8992
