gen,ST1_MS_ID_2018_1,ST1_MS_ID_2019_1,ST1_MS_OR_2018_1,ST1_MS_OR_2019_1,ST1_MS_OR_2020_1,ST1_MS_WA_2018_1,ST1_MS_WA_2019_1,ST1_MS_WA_2019_2,ST1_MS_WA_2020_1,ST1_MS_WA_2020_2,ST1_MS_WA_2020_3,ST1_MS_WA_2020_4,ST1_MS_WA_2020_5,ST1_DM_ID_2018_1,ST1_DM_ID_2019_1,ST1_DM_OR_2018_1,ST1_DM_OR_2019_1,ST1_DM_OR_2020_1,ST1_DM_WA_2018_1,ST1_DM_WA_2019_1,ST1_DM_WA_2020_1,ST1_He_ID_2019_1,ST1_He_OR_2018_1,ST1_He_OR_2018_3,ST1_He_OR_2019_1,ST1_He_OR_2019_2,ST1_He_OR_2019_3,ST1_He_OR_2019_4,ST1_He_OR_2020_2,ST1_He_OR_2020_3,ST1_He_OR_2020_4,ST1_He_WA_2018_1,ST1_He_WA_2018_3,ST1_He_WA_2019_1,ST1_He_WA_2019_2,ST1_He_WA_2019_3,ST1_He_WA_2019_4,ST1_He_WA_2019_5,ST1_He_WA_2020_1,ST1_He_WA_2020_2,ST1_He_WA_2020_3,ST1_He_WA_2020_4,ST1_He_WA_2020_5,ST1_Yi_ID_2018_1,ST1_Yi_ID_2018_2,ST1_Yi_ID_2018_3,ST1_Yi_ID_2019_1,ST1_Yi_ID_2019_2,ST1_Yi_ID_2019_3,ST1_Yi_ID_2019_4,ST1_Yi_OR_2018_1,ST1_Yi_OR_2018_2,ST1_Yi_OR_2018_3,ST1_Yi_OR_2019_1,ST1_Yi_OR_2019_2,ST1_Yi_OR_2019_3,ST1_Yi_OR_2019_4,ST1_Yi_OR_2020_1,ST1_Yi_OR_2020_2,ST1_Yi_OR_2020_3,ST1_Yi_OR_2020_4,ST1_Yi_WA_2018_1,ST1_Yi_WA_2018_2,ST1_Yi_WA_2018_3,ST1_Yi_WA_2019_1,ST1_Yi_WA_2019_2,ST1_Yi_WA_2019_3,ST1_Yi_WA_2019_4,ST1_Yi_WA_2019_5,ST1_Yi_WA_2020_1,ST1_Yi_WA_2020_2,ST1_Yi_WA_2020_3,ST1_Yi_WA_2020_4,ST1_Yi_WA_2020_5,ST1_FD_ID_2019_4,ST1_FD_WA_2018_3,ST1_FD_WA_2019_5,ST2_He_OR_2018,ST2_He_OR_2019,ST2_He_OR_2020,ST2_He_WA_2018,ST2_He_WA_2019,ST2_He_WA_2020,ST2_Yi_ID_2018,ST2_Yi_ID_2019,ST2_Yi_OR_2018,ST2_Yi_OR_2019,ST2_Yi_OR_2020,ST2_Yi_WA_2018,ST2_Yi_WA_2019,ST2_Yi_WA_2020,ST3_MS_ID,ST3_MS_OR,ST3_MS_WA,ST3_DM_ID,ST3_DM_OR,ST3_DM_WA,ST3_He_OR,ST3_He_WA,ST3_Yi_ID,ST3_Yi_OR,ST3_Yi_WA,ST4_MS_Overall,ST4_DM_Overall,ST4_He_Overall,ST4_Yi_Overall,ST4_FD_Overall,PC1,PC2,PC3
1,2.52588466447627,2.20330559925851,2.464790934933,3.2416975955619,3.95591332792552,3.91388886744935,2.79881865569787,2.60282093191415,3.63881140705509,3.25632638580378,3.79562374388842,4.396406629035,2.01009002361125,20.4305259127472,17.2968486883267,20.3887967546107,20.1264062201355,22.0204049221262,21.4503459703857,17.491858516421,19.9661641430831,31.4247444918821,24.1535246098942,19.3682963379635,30.909539064685,30.822377060539,29.042089120056,26.6167715171815,24.7803496132671,28.9279870970843,24.0406225446471,24.8490232236749,23.8220762013456,28.8208723351111,15.1485548872007,19.4666716213691,15.6384937019832,17.0650170347947,26.4495365592037,20.0614947598972,20.2084970256631,27.4049433550902,14.6367960947575,2.68457541488261,3.22739516189447,2.09559636311992,7.57148053913447,6.65880588920332,5.20958253566719,4.54103163843081,4.07054255232222,5.24668390778074,3.57542185414485,6.34002191614557,4.65643470083643,3.85700024655023,3.03041820114006,6.41842974475396,23.2486363584489,3.38400178612165,2.34986330686559,4.28041503582616,4.35973926615299,2.30672034122649,5.7224180587517,3.07571361036939,3.35554475863322,2.25531204671623,2.02719170594129,4.85393036707136,2.76995598644014,2.75232111286459,4.46797599631576,1.0820228080399,10.027146970043,12.4847276638237,12.6041489442664,21.8209949564427,30.0847100789763,25.3226274804997,24.400124755807,18.3308960379604,21.6949989556249,2.64220736534643,6.13042173256616,4.43570938322777,4.65953660820123,8.76111114257822,3.6506897349523,3.32658696882213,3.13390175767174,2.36148056628927,3.1988673972344,3.29687598146614,18.627428923845,20.8715331626124,19.6266105617362,26.8881052081636,20.818079813563,4.68517691355582,6.14784214822176,3.31932691063853,3.13879836666232,19.8964188909795,23.802649011695,4.56371558747717,11.705341192711,-26.7248424386121,5.04952547188287,-8.68115862208157
2,2.07062201317024,2.20231856270868,2.49464952570158,2.6668576903522,3.90164123127838,3.77013101507753,2.37156232545655,2.02603023978834,3.48826615542585,2.52490769353747,3.89597499108452,3.33844900380499,1.70453194565875,20.468743790702,18.3981032646099,21.3418554223072,20.5846912791172,22.6168110865665,22.6548701521174,17.9018660867086,19.7981730587502,30.5075095101871,25.0315073066362,17.4506461253168,28.8480663585299,33.1975869140659,31.4804922435457,28.4720413769171,26.6993985850353,30.3545469822013,27.7672613854623,25.7532738089578,24.2718284744807,30.334639198048,21.4793550001553,21.540708696954,21.8864915326202,20.7555562698434,27.7782843277017,21.2371954991761,23.8769884682054,27.7526228678541,16.4835842456904,2.71318525346322,3.44030288141111,2.16132152001105,7.61101507949854,6.3612896927053,5.58883696353229,5.08977323813763,4.58147819703582,5.3532223795854,3.18260319141733,6.66811425300584,5.17184101214736,4.05610790556472,3.36273564694448,6.83624603430615,24.8443349727623,3.18280361376646,2.59434301761801,4.28651725686215,3.28436499224499,2.99133923708385,6.15146213086067,3.65590857332225,4.25397981103005,3.24283581962585,2.72459994264655,6.83115743028762,4.35863656026209,3.5485675121416,4.83878566197231,1.48966473905278,11.0052859128918,12.5056455159448,12.2402831426877,20.6314955048971,30.1802100316357,27.2500007761896,24.3342308694439,23.3595633070634,23.4673903383369,2.65048434233161,6.17838304035561,4.37237051476804,4.82152156327189,8.94333499255296,3.48991395032294,4.0478168430493,4.18963669019536,2.13543880183366,3.02749986110266,2.88687168728849,19.2029094611193,21.4924937200281,19.9620736225791,27.203551889661,23.8161504875231,4.71839659502803,6.2328725428344,3.97878405618282,2.80430326100347,20.4706392676099,25.5890720535266,4.98249595226793,11.9170715238414,-59.3515482750374,-0.0700322951581835,-3.5083359755665
3,2.12611810682429,2.30003851173672,2.39060272034312,2.92375269132346,3.87305244031574,3.34501582266588,2.9240693039222,1.94950818226075,3.27638183514484,3.10609481214979,3.47811506427103,3.29804703775964,1.84559887017024,21.0239367721989,18.2207619648548,20.5807072812832,20.4673366273203,22.3694505659353,23.8753861555635,17.7968740196486,19.777236912986,27.4703829373697,24.9010642845775,17.3372029790766,30.8378321618345,32.9776456884389,31.1182155453764,28.7189511318773,28.8059326823272,28.319837675649,26.0662451733818,26.5915814925502,26.0879946924533,30.1097369021068,21.1188642761358,21.1616425067636,19.7023011128808,20.1323535674437,27.5808705573394,21.8339915218476,22.5426597102265,29.703794896552,15.6856290453785,2.69420148873289,3.14761281869641,2.22172814906302,7.41891343776285,7.04362280763077,5.98386324456566,3.65171758281657,3.5710194187327,5.27640459338488,3.06287572104133,6.75829335523939,4.9863807108477,4.04357091522411,3.25430062471317,6.72938524451633,27.5618736555269,3.37507709236127,2.37785694834358,5.17626174850341,5.4946572877456,2.16235951115239,6.60997945179965,3.51621238215312,3.76502712746924,3.54774067096298,2.18152709537264,6.5013583537119,4.00165117135696,3.29880940103973,3.9058413011718,1.37250452690381,8.48266799004454,11.8371695909428,11.6779478446969,20.5618825891593,31.3161238288978,26.3605031390062,26.5058813522744,22.0669964017786,23.5128354745407,2.59820776686684,6.07748081740758,3.8464401234462,4.89152616669311,9.56584388507358,4.27622611413959,4.00584568269311,3.76539407130023,2.21446090203882,3.11098441789558,2.90149399696069,19.4530781514841,20.7082672384846,20.5109942579079,27.4778173140254,23.5773051026916,4.62528775569413,6.35498293410373,3.97017002944498,2.83356887683752,20.5139612874738,25.4002150246176,4.99008476898525,10.6659284752281,-42.9064761311201,-35.2364755594798,-2.31900822237277
4,1.72742210551902,2.28213754728835,2.39410007422468,2.37204499590872,3.81096688270743,3.26806162575135,2.48498476271655,2.03041383848526,3.28354929971972,1.90745554795298,3.78502309055663,3.82701998606014,1.97585156737466,20.5876378170888,17.526216727787,19.429454233721,19.6580046084997,21.4336909747795,23.501310340262,17.0728001095587,19.3178431872295,28.6008363552716,22.4561388909648,14.7076306483669,31.6034351279109,25.8139221539409,24.3279749875534,17.8045187345299,22.0646014292024,27.0723119415436,17.2272542591348,21.8355075133147,23.1325350816583,25.8943382878319,12.9723673535543,14.8918136097493,12.5707262132376,13.1090667984534,23.8806960858354,14.3532353102242,16.9920657616087,21.129894042606,10.2978241751016,2.08717787662123,3.18926003433809,1.9126154165516,7.25813319611653,5.83185408990501,4.9101960154878,3.51580708674421,3.86673014762816,5.0944551779671,2.51326049283779,6.41480873856368,3.97670305183849,3.69032896277048,2.63339898685559,6.42977672076807,22.2390062317627,3.50310868349968,2.2373457402318,4.90091852647298,4.84315233046051,2.36038696836679,4.51874027900365,2.48911023720517,2.3108310498691,2.00913680597801,1.88676386852918,5.52984146359086,1.77770608258914,2.29441995924492,3.71969401848008,0.716449884037234,6.26705734011149,7.5716861610217,8.85266750521842,18.9424821388738,25.447551158256,22.7821113077877,23.0158957211135,15.5404303244737,16.9255382423038,2.41030200382942,5.43337475847746,3.83521689605851,4.24264717954202,8.98984410367922,4.0847374007237,2.5799572828371,2.79103367532496,2.00618557717652,2.88958298648634,2.84360316154051,19.0753155564617,20.1293058033516,19.9423273835781,23.1006748061688,17.2294070174312,4.1463726768308,5.83536725032162,3.00984260423027,2.70377164032811,19.8158697498658,20.124486125527,4.21487477820373,7.56380366878387,-46.2577697186261,-6.30879426745707,9.38744649265358
5,2.06747617887349,2.66843835727671,2.42036281346887,3.21623815168425,3.91258219256823,3.69650883518251,2.71825249903075,2.30807461746675,3.40134308915375,3.36900210669426,3.77035421952405,3.93064057919472,2.05334239446026,19.9014479601178,18.4541963402622,19.9884955387749,20.1052230585698,21.9836314886555,25.6409308705124,17.4729068695489,20.1860119980003,30.6154106080954,24.5705275675351,16.7441786343976,31.5599414495214,32.205764691797,30.2002227805359,27.497942662812,29.2376113892071,32.6288156220019,25.2327925592037,26.691757426936,18.7155741791572,29.5398446581031,20.2143643177004,20.0676368798417,16.6816728697357,18.5441353271784,27.0806329936533,21.6500620303464,20.9168496162929,24.9039671336251,14.661883706664,3.315823395764,4.20393696454893,1.60746458441194,7.23883666480921,6.60855247998379,4.98012356886947,5.07137091335354,3.8327223142012,5.18213039982664,3.01019216491009,6.39519652031845,4.87060173596322,3.84498269195755,2.89456685739304,6.48088495388506,28.0717321930855,4.44244409381855,2.07249383458605,5.41806239620213,4.10194325032497,2.49315779905991,3.01692914984891,2.98584769358944,3.15038665265826,2.49324177025584,1.9094212350359,4.98282710647718,3.02507490014194,2.57922642636295,4.0862385659677,1.02571355821656,8.85406732709721,7.87380735623005,9.36112615547804,20.1955351001368,31.2116967441867,28.7535080457763,22.6429351954891,20.1060921452607,21.6753037455751,3.00180640130834,6.11612246175692,3.99720776069315,4.66421685703628,10.2312512869329,4.01483770709382,2.72120332261707,3.09483418652746,2.37030409207888,3.18942326015074,3.14791956143875,19.1192158842903,20.543949092257,21.0251999929459,28.0300324890478,21.3370535194664,4.83315035707168,6.52460376137554,3.16296312005068,3.04097046419835,20.4666055155552,24.5527995047428,4.69006860760735,8.6963336129351,-53.1852655610954,-13.8797529726936,-4.0884498549483
6,2.47082883854173,2.97455347511267,2.4115339940973,2.76453488979571,3.88340316326788,3.73437309407866,2.73660490900934,2.01038044417169,3.33759196042124,3.2862879543051,3.62670898877027,3.22558601208037,2.28693469563418,21.6195810043009,18.5458483217136,20.5269478400503,20.3914411298717,22.2585414913618,24.3053917964172,17.7289736421547,19.1250319537695,27.8599949206687,24.5740768980064,15.8708128959165,36.3068461688102,32.0290566275887,30.2100802623973,28.0279919699477,30.7727195979935,35.9018414046932,24.0040623761287,26.0025522981388,19.6603475513385,29.5459642079224,20.2169827119456,20.2577925728243,19.3993834570508,21.4315606721799,27.0860045857827,20.3027965843848,20.9275434636418,26.0954484602232,13.8578834295235,2.84972133488491,3.24355391228182,2.23199435004242,7.27704495750726,6.41787437578964,5.1407808306966,3.63263060858944,4.6833119145639,5.27394602514267,3.01169225882918,6.68169928047648,4.81765811941839,3.96651089758483,3.15962018784679,6.55902991820396,30.5566251969571,3.7087907815693,2.97322978881084,4.66028142465554,4.33818455759401,2.57813375801561,6.46022370891305,3.38434583202281,3.67256870307407,2.82002061031417,2.5359131057883,6.24454278530279,4.13348493723425,3.39711558752746,3.60386722293025,1.30276955854023,8.13347199085935,9.21454956982362,9.72605813048098,19.6556124583335,32.2618927994821,29.874053026218,22.5943845474634,22.1446474865008,21.0996757629852,2.72108611260082,5.54136329107278,4.31908995209795,4.58411801157746,11.1587757837177,3.85275549055723,3.79841979786209,3.70385501283505,2.72898721142064,3.02129796304635,3.02020135651544,20.0510021807828,20.5649902253758,20.3497733651159,28.8008503650718,21.9793641763045,4.33285134237473,6.90888181936545,3.77493165632613,2.98071710917586,20.562719647455,25.0155337780503,5.01023117842284,9.02469323038798,-55.2400829179303,-9.98399598515288,-24.3357574657033
7,2.57501335816405,2.69580596990989,2.47987585746152,3.04306771645754,3.90554583811412,3.95854560061529,2.69490561479689,2.34671322727531,3.72958476468429,2.98374886352378,3.77043430467447,4.56706104500795,1.90921831879787,21.008452591869,16.8161663505118,19.1496705632257,19.3460726274395,20.9720978050608,21.828968587415,16.7937282281107,18.3604632857092,25.5022983664666,22.4995958990403,11.7620959108934,38.2067374541815,25.9804189317099,24.4486672342482,16.8512479965635,21.3371016664981,23.7772828610723,15.2346557108989,23.038237775041,17.828974061682,25.9692643416497,15.3836396945672,15.2964595768268,13.5606374592984,16.4602036272455,23.9464643552105,18.3626932929453,18.9459961249514,21.7312948588131,11.1983630273774,3.41260881281303,3.32793408324212,2.08261716645127,6.99480220563668,6.31108786105831,4.29329623426668,5.116574567796,3.95990641007122,5.10767322816032,2.28347620957198,6.21409719785391,3.92314469199909,3.64434399551651,2.60123294589097,6.19946861457007,21.2409746368323,2.70116083240583,1.65108431398835,4.02721150617145,3.55714805260835,2.36281389485298,5.04448182905724,2.5316617985888,2.82871705077745,2.53962305429102,1.97490099105896,4.98425608881303,2.13508526853901,2.28714709077399,3.84261707884223,0.724004329531093,7.95217456466205,9.89423355248438,10.9335932965512,17.1187642938638,25.8825200049351,19.2288080356717,20.9543256900614,17.5122226015356,19.4554865576882,3.05536245189513,5.82864662771523,3.7855920438674,3.90275440735304,7.56192934952561,3.33437695729346,3.07050095604093,2.78191158689195,2.6366786576658,3.10061474420781,3.23925373252652,18.9685550635432,19.7318957765887,19.0733609087765,21.6508314996169,18.9044949765633,4.66066116517806,5.17177270552116,3.01291591698024,3.12765542149869,19.2844525049177,20.3328331921446,4.19048877554936,9.59333380456587,-15.8016841142907,21.6226116911828,-17.1392770044888
8,1.92250571407699,2.0021611165328,2.44154948974935,2.85722590690602,3.84176802434807,3.25082591525373,2.62696848728626,1.53718562929656,3.26671391775096,0.991732029123078,3.83550840555572,4.22378008154056,1.81388260028178,20.1059255716243,16.6411204777242,18.3883711525934,18.2056493699711,19.6409082747491,17.676540281626,15.7734414879471,17.8746138353704,26.6340497924997,20.9172550050336,8.04827476901972,38.8955231150577,21.3359290225624,20.0540647065572,12.4624959376953,15.3578338576088,22.9470996122662,10.7555079509733,19.4575845974791,13.0724912005911,23.2410839115506,9.52510103412401,11.011433965508,9.68023832256296,11.1480327437593,21.5517338671079,9.64750428673623,15.7729108906875,16.8373680046285,8.43054143379936,3.23617211697254,2.87027719239472,1.72428281289718,7.16978827939179,5.85975983732731,4.27886734781364,1.94660979805903,4.30477669224478,5.00700407795786,1.60255682541664,6.41787767608442,3.64133243440925,3.46733607120237,2.28537836172117,5.96859710112559,15.8169046492849,3.46345499430875,1.54638169087421,3.27425097598617,3.80694213587042,1.34541114865141,2.33464439080022,1.91857376145302,2.09342436395098,2.08199372148243,1.65390707788735,4.57778073394735,1.24591882964533,1.79754380111323,3.53104421328175,0.346947389143085,5.77345905471764,4.88865571908618,6.72280545417088,14.8258526461855,24.3610964093618,17.1620134518895,16.6154408264658,12.8929071638811,14.4606511286593,2.72058761305941,4.84271236094035,3.6882032415208,4.0349608591848,6.92346871970176,2.82487579055616,1.990878900683,2.32905082786748,1.96140652153488,3.11218312120823,2.6915125286341,18.817413606032,19.237735200637,17.0001928791284,19.6664955215231,13.806978385124,3.87744152121509,4.91420383627541,2.30734761344246,2.6624467167463,18.0383213064507,16.6720026376277,3.56824969363545,5.7949734093249,-0.325231540901967,41.457757851596,-1.25792843494648
9,1.05730125550725,2.1017225786021,2.46396787593075,2.58943321837315,3.90136392850611,3.4902514336692,3.05862658165434,1.74026382562531,3.43530582134268,2.71076882683089,3.67955695910751,3.68509108772184,0.745404821930138,19.370172101153,16.2339340393676,20.153099228236,18.7560814849427,20.2856555388476,19.7864192109102,16.2658889933693,18.0531295390764,28.453351184352,21.0930000830123,6.52951873617527,34.1841020750417,21.7274563262563,20.5421578645107,11.7887644071311,17.1190868172162,21.944940282919,9.61354377608738,21.0361807478347,19.6291197086239,23.5440933858326,10.5137929668129,11.451470608126,11.6529047720796,9.47183198525176,21.817708220652,14.5585019459499,15.6228784930625,17.1585939525827,8.70381940287568,2.76991895223964,2.79783437417792,1.36912978368368,7.22677566848781,5.92169778040228,4.55829448191422,2.02397661694234,3.42315473887988,5.1341650076636,1.74951417979953,6.60127725455216,3.73172146789983,3.6611052093213,2.56915711133615,6.30427709160456,18.3984936910809,3.17230888720327,1.6183651279428,3.34251567641945,2.55296574824247,1.66980100842289,3.73525730702288,2.44182382225371,2.98867031983532,2.49005006142809,2.07952432373048,7.01540351696105,2.10634263348367,2.81313988042128,4.25164795468586,0.691356395094041,6.08237505230318,4.64062383792351,6.6413103291097,13.8850078157522,22.2126966652446,16.0827366354336,21.6075186211211,13.6505460532765,16.1573585664941,2.21231680594009,4.86880004413749,3.39137164474503,3.98474883345785,7.1561880375608,2.4932187935142,2.77881845891101,3.4528515859136,1.57858700691008,3.01475376862512,2.82276011043057,17.8790874448263,20.1584547978616,18.0989939057964,18.1030873224051,15.7460754915794,3.69672085923384,4.91448858756419,2.96624782392103,2.66608140113856,18.6130475169879,17.1889462610176,3.90998922816558,5.78810307311213,5.99425935492155,32.0644194325232,2.55402681965616
10,2.10702745900915,2.39859838399987,2.37276278451634,2.96492091415617,3.84065537632497,3.33925739455224,2.50509676985397,2.01600483783088,3.26470602375451,2.64710525472905,3.90041249385505,3.74542003651932,1.5854064390764,19.8330369393222,16.8712994594669,18.8071413487569,19.3539721920638,21.1342564530801,20.7518834286377,16.8007956225948,18.3742708850321,28.9487621907576,22.7976380982727,15.4961735091846,31.4129102459795,26.7559160252706,25.2764136491111,18.5261423109824,21.9440067537807,30.4120469013266,17.7534344291098,22.4404251976343,19.3202106923287,26.4831314219793,14.2814856187632,15.8246045768123,17.4372112817108,16.0509341580047,24.3975243916073,16.6502977435407,16.570924243005,21.923540856499,11.8163456513767,2.8548013204578,3.42698759696328,1.89637844847109,7.44008047032445,6.44535360202443,5.00313166292086,2.80281696664706,4.11183544707554,5.23273034961438,3.09752663696598,6.49732195635322,4.28313722691176,3.84524079062888,2.93000706400055,6.49458362908489,22.1006278742404,3.5848604170359,2.36873671325956,5.82978223988392,5.25521218086168,2.98514010498027,5.94463371297977,2.9917351088284,3.49368823915847,2.37289765194502,2.4876285704377,6.13679072974981,2.19676148668951,3.19107785185237,4.21671743682946,1.05987638799247,6.43492281743735,7.27759340314253,8.73242597715264,19.4284308899804,25.124735394628,23.5641382329513,21.0099680973174,18.580208952292,18.1134732763209,2.67782842463911,5.38820274281071,4.22056159845289,4.24318135385798,8.66973719681386,4.74540653629054,3.45657429200417,3.33856081570113,2.25478589013043,3.09727393393593,2.87968782010735,18.3239578102856,20.0528009629771,18.6173984969679,23.2837394567149,18.718183222744,4.218848423808,5.83889299458225,3.70430943727931,2.82210570524446,18.9908320411193,21.0236399975926,4.59929354436029,7.48164739924417,2.91605133332674,13.159348946885,-24.9771413317696
